1481270380029 R
1481270391975 3 1
1481270395072 3 -1
1481270400384 4 2
1481270403769 10 -2
1481270408296 0 3
1481270421515 0 -2
1481270425784 0 -1
1481270432881 4 -2
1481270436055 4 2
1481270440232 0 3
1481270442719 2 1
1481270445024 12 1
1481270446746 12 -1
1481270448562 2 -1
1481270457074 0 -3
1481270459246 10 2
1481270460713 5 -1
1481270462962 9 -2
1481270465818 7 -2
1481270470929 2 1
1481270472367 5 -2
1481270478890 4 -1
1481270481600 4 -2
1481270483430 10 -2
1481270487719 3 2
1481270489488 6 2
1481270493066 1 2
1481270495494 11 -1
1481270496863 8 -1
1481270499815 3 -4
1481270506151 6 -2
1481270507803 7 2
1481270509690 1 1
1481270511102 2 1
1481270517214 2 -1
1481270518700 1 -1
1481270520743 7 -2
1481270522638 6 2
1481270525041 3 4
1481270526407 8 1
1481270528303 11 1
1481270529751 1 -2
1481270534470 10 3
1481270535974 10 1
1481270547214 5 1
1481270557638 10 -3
1481270562286 6 -1
1481270566934 3 -2
1481270568366 6 -1
1481270569991 7 2
1481270573094 4 3
1481270574430 10 1
1481270576086 9 2
1481270579439 5 2
1481270581190 2 -1
1481270586118 10 -2
1481270588599 0 3
1481270592470 2 1
1481270595958 12 1
1481270605695 9 -1
1481270607070 2 -1
1481270608201 0 -2
1481270609697 9 1
1481270611760 4 -2
1481270614706 6 1
1481270616174 3 1
1481270621006 1 1
1481270624673 11 -1
1481270627751 12 -1
1481270629198 11 -1
1481270635551 6 -1
1481270636893 3 -1
1481270639837 4 2
1481270641406 9 -1
1481270644958 0 2
1481270647176 2 1
1481270651233 R
1481270662665 4 1
1481270665530 5 -1
1481270667700 9 -2
1481270674087 4 1
1481270678968 2 1
1481270681318 10 -1
1481270683537 4 -2
1481270686061 1 1
1481270688343 11 -1
1481270711448 5 -2
1481270713520 10 -1
1481270716145 4 -1
1481270719052 1 2
1481270721750 11 1
1481270725624 2 1
1481270998582 6 1
1481270999776 3 1
1481271000880 2 2
1481271004799 10 1
1481271006051 9 1
1481271010493 0 1
1481271012624 12 2
1481271015573 5 -1
1481271016830 10 -1
1481271018509 0 1
1481271024727 1 -2
1481271026325 4 1
1481271028652 4 -1
1481271030005 4 1
1481271032853 0 -1
1481271034781 10 1
1481271037862 10 -1
1481271038929 4 -1
1481271040193 9 -1
1481271041695 1 2
1481271122276 0 1
1481271124388 12 -1
1481271126357 1 -3
1481271127868 4 1
1481271129028 9 2
1481271132348 5 1
1481271135640 5 -1
1481271137428 U
1481271139604 R
1481271145972 4 2
1481271150013 10 -2
1481271151885 0 3
1481271153256 12 1
1481271157172 2 1
1481271160285 9 -1
1481271162742 2 -1
1481271164276 0 -2
1481271166628 10 2
1481271168564 5 -1
1481271170724 9 -1
1481271172708 4 -2
1481271174421 7 -2
1481271176380 6 2
1481271177957 3 2
1481271179341 10 2
1481271185364 0 1
1481271186812 12 -1
1481271193342 0 -2
1481271196644 10 -3
1481271197768 6 -2
1481271199176 3 -2
1481271200348 7 2
1481271237441 4 2
1481271240188 10 1
1481271244327 2 1
1481271245428 5 -2
1481271248064 9 2
