1481289982512 R
1481289986914 4 2
1481289995107 2 1
1481289995793 5 -3
1481289998437 9 -2
1481290001162 10 -2
1481290008783 4 -3
1481290011508 7 -2
1481290012885 6 2
1481290017426 3 2
1481290019347 10 4
1481290024434 10 -4
1481290026510 6 -1
1481290027308 3 -1
1481290028847 7 2
1481290030295 1 3
1481290031991 2 3
1481290033365 1 -3
1481290036252 7 -2
1481290041068 6 1
1481290041572 3 1
1481290052480 10 4
1481290062534 10 -4
1481290066475 0 2
1481290067445 12 1
1481290067891 5 -1
1481290069487 5 1
1481290069989 5 -1
1481290074058 1 2
1481290074717 1 -2
1481290075777 0 -1
1481290076334 10 4
1481290081042 10 -4
1481290081855 6 -1
1481290082436 3 -1
1481290084542 7 2
1481290085285 1 3
1481290086440 0 1
1481290110702 R
1481290131062 4 2
1481290140535 5 -1
1481290141342 2 1
1481290143224 5 -2
1481290145036 9 -2
1481290145778 10 -2
1481290150898 10 2
1481290152137 5 2
1481290153097 2 -1
1481290153731 0 1
1481290157395 0 -1
1481290158450 2 1
1481290168402 2 -1
1481290178990 10 -1
1481290181128 10 1
1481290192187 2 1
1481290194192 5 -1
1481290197214 5 1
1481290200016 2 -1
1481290200476 10 -1
1481290202038 4 -2
1481290202464 4 2
1481290202890 10 1
1481290212492 2 1
1481290213328 5 -2
1481290215607 10 -2
1481290218038 4 -3
1481290219904 1 3
1481290226423 6 1
1481290227053 3 1
1481290228290 2 3
1481290229538 0 2
1481290232000 11 -2
1481290234572 8 -2
1481290239697 2 -1
1481290240704 3 -3
1481290242084 2 1
1481290243517 8 1
1481290243957 11 1
1481290247830 1 -1
1481290249200 7 -2
1481290250184 6 1
1481290252088 6 -1
1481290252803 7 2
1481290253376 1 1
1481290254397 2 -1
1481290255001 3 3
1481290255759 2 1
1481290256193 8 1
1481290256611 11 1
1481290257905 12 2
1481290258384 5 -1
1481290260227 0 -1
1481290264850 0 1
1481290265268 1 -2
1481290267034 1 2
1481290272324 8 -2
1481290273471 8 2
1481290276358 12 -1
1481290277039 1 -3
1481290280145 1 1
1481290281950 1 1
1481290297015 1 1
1481290297719 12 1
1481290298331 12 -1
1481290298927 5 1
1481290299360 12 -1
1481290299834 0 -2
1481290302868 2 -3
