1482417851332 R
1482417851332 R
1482417859172 9 1
1482417859172 9 1
1482417860692 11 1
1482417860692 11 1
1482417863058 0 1
1482417863058 0 1
1482417868801 1 -1
1482417868801 1 -1
1482417905433 11 -3
1482417905433 11 -3
1482417906769 1 -1
1482417906769 1 -1
1482417916747 1 2
1482417916747 1 2
1482417923762 11 3
1482417923762 11 3
1482417926172 1 -1
1482417926172 1 -1
1482418047849 11 -3
1482418047849 11 -3
1482418049657 1 -1
1482418049657 1 -1
1482418056955 R
1482418056955 R
1482418061402 9 1
1482418061402 9 1
1482418065057 9 -2
1482418065057 9 -2
1482418068132 11 1
1482418068132 11 1
1482418075055 2 -2
1482418075055 2 -2
1482418076778 2 -1
1482418076778 2 -1
1482418079084 9 2
1482418079084 9 2
1482418080602 0 1
1482418080602 0 1
1482418085241 7 1
1482418085241 7 1
1482418089018 3 1
1482418089018 3 1
1482418090684 8 -1
1482418090684 8 -1
1482418092098 4 -1
1482418092098 4 -1
1482418095418 3 -1
1482418095418 3 -1
1482418098410 1 -1
1482418098410 1 -1
1482418101353 3 1
1482418101353 3 1
1482418105490 4 1
1482418105490 4 1
1482418106690 8 1
1482418106690 8 1
1482418108377 7 -1
1482418108377 7 -1
1482418113793 1 1
1482418113793 1 1
1482418116769 7 1
1482418116769 7 1
1482418118456 8 -1
1482418118456 8 -1
1482418119848 4 -1
1482418119848 4 -1
1482418122569 3 -1
1482418122569 3 -1
1482418126713 0 -1
1482418126713 0 -1
1482418131241 1 -1
1482418131241 1 -1
1482418132923 9 -2
1482418132923 9 -2
1482418134984 10 -2
1482418134984 10 -2
1482418137960 3 3
1482418137960 3 3
1482418141225 7 1
1482418141225 7 1
1482418142889 9 1
1482418142889 9 1
1482418146633 9 -1
1482418146633 9 -1
1482418149481 5 -1
1482418149481 5 -1
1482418151529 3 -3
1482418151529 3 -3
1482418153370 1 2
1482418153370 1 2
1482418155617 9 1
1482418155617 9 1
1482418161233 3 2
1482418161233 3 2
1482418172042 R
1482418172042 R
1482418179338 1 -2
1482418179338 1 -2
1482418185258 10 -2
1482418185258 10 -2
1482418189674 R
1482418189674 R
1482418192090 9 -1
1482418192090 9 -1
1482418193874 2 -2
1482418193874 2 -2
1482418199850 1 -2
1482418199850 1 -2
1482418202034 10 -2
1482418202034 10 -2
1482418205978 7 3
1482418205978 7 3
1482418209738 8 -1
1482418209738 8 -1
1482418211362 4 -1
1482418211362 4 -1
1482418221126 3 3
1482418221126 3 3
1482418225618 4 1
1482418225618 4 1
1482418227475 8 1
1482418227475 8 1
1482418230522 6 1
1482418230522 6 1
1482418238242 6 -1
1482418238242 6 -1
1482418240965 8 -1
1482418240965 8 -1
1482418246018 7 -2
1482418246018 7 -2
1482418249578 1 1
1482418249578 1 1
1482418253090 1 -1
1482418253090 1 -1
1482418259541 10 1
1482418259541 10 1
1482418262611 3 -3
1482418262611 3 -3
1482418263866 10 1
1482418263866 10 1
1482418268442 1 2
1482418268442 1 2
1482418269435 10 -2
1482418269435 10 -2
1482418270570 7 1
1482418270570 7 1
1482418271466 3 2
1482418271466 3 2
1482418272714 4 -1
1482418272714 4 -1
1482418275577 1 -2
1482418275577 1 -2
1482418277713 7 1
1482418277713 7 1
1482418279850 3 1
1482418279850 3 1
1482418285434 4 1
1482418285434 4 1
1482418286581 8 1
1482418286581 8 1
1482418288303 6 1
1482418288303 6 1
1482418291978 R
1482418291978 R
1482418294377 9 1
1482418294377 9 1
1482418297594 1 -2
1482418297594 1 -2
1482418306307 R
1482418306307 R
1482418307451 R
1482418307451 R
1482418311057 1 -2
1482418311057 1 -2
1482418315410 9 1
1482418315410 9 1
1482418321450 0 1
1482418321450 0 1
1482418328143 11 -2
1482418328143 11 -2
1482418331956 1 2
1482418331956 1 2
1482418337130 1 -2
1482418337130 1 -2
1482418341890 R
1482418341890 R
1482418345993 9 1
1482418345993 9 1
1482418347482 9 -2
1482418347482 9 -2
1482418349914 2 -2
1482418349914 2 -2
1482418351531 10 -2
1482418351531 10 -2
1482418353090 1 -2
1482418353090 1 -2
1482418358906 3 3
1482418358906 3 3
1482418361298 7 3
1482418361298 7 3
1482418363954 8 -1
1482418363954 8 -1
1482418365377 4 -1
1482418365377 4 -1
1482418372826 7 -2
1482418372826 7 -2
1482418374178 10 1
1482418374178 10 1
1482418375610 1 1
1482418375610 1 1
1482418376826 11 1
1482418376826 11 1
1482418378028 2 -1
1482418378028 2 -1
1482418379314 10 -1
1482418379314 10 -1
1482418381074 7 1
1482418381074 7 1
1482418382449 9 1
1482418382449 9 1
1482418390338 5 -1
1482418390338 5 -1
1482418393114 3 -1
1482418393114 3 -1
1482418395098 1 2
1482418395098 1 2
1482418399481 9 -1
1482418399481 9 -1
1482418400714 7 -1
1482418400714 7 -1
1482418401978 10 1
1482418401978 10 1
1482418404602 2 1
1482418404602 2 1
1482418405674 11 -1
1482418405674 11 -1
1482418406874 10 -1
1482418406874 10 -1
1482418409266 7 1
1482418409266 7 1
1482418412914 1 -3
1482418412914 1 -3
1482418414362 7 1
1482418414362 7 1
1482418415634 3 1
1482418415634 3 1
1482418416706 5 1
1482418416706 5 1
1482418503178 7 -2
1482418503178 7 -2
1482418506450 1 1
1482418506450 1 1
1482418508890 11 1
1482418508890 11 1
1482418511226 2 -1
1482418511226 2 -1
1482418516690 7 1
1482418516690 7 1
1482418518130 9 1
1482418518130 9 1
1482418521530 3 -1
1482418521530 3 -1
1482418523674 1 1
1482418523674 1 1
1482418525992 3 -2
1482418525992 3 -2
1482418526996 7 -1
1482418526996 7 -1
1482418527975 9 -1
1482418527975 9 -1
1482418530402 10 2
1482418530402 10 2
1482418533866 1 -1
1482418533866 1 -1
1482418535058 10 -2
1482418535058 10 -2
1482418539145 3 3
1482418539145 3 3
1482418542562 4 1
1482418542562 4 1
1482418543890 7 1
1482418543890 7 1
1482418545050 9 1
1482418545050 9 1
1482418547002 7 -1
1482418547002 7 -1
1482418548154 9 -1
1482418548154 9 -1
1482418549490 10 1
1482418549490 10 1
1482418551466 2 1
1482418551466 2 1
1482418552533 11 -1
1482418552533 11 -1
1482418553437 1 -1
1482418553437 1 -1
1482418554690 10 -1
1482418554690 10 -1
1482418557105 7 2
1482418557105 7 2
1482418559220 4 -1
1482418559220 4 -1
1482418562426 5 -1
1482418562426 5 -1
1482418563148 3 -1
1482418563148 3 -1
1482418564706 R
1482418564706 R
1482418572017 9 -1
1482418572017 9 -1
1482418576706 10 -2
1482418576706 10 -2
1482418580596 2 -2
1482418580596 2 -2
1482418584018 1 -2
1482418584018 1 -2
1482418591025 7 3
1482418591025 7 3
1482418596386 3 3
1482418596386 3 3
1482418608658 7 -3
1482418608658 7 -3
1482418611578 2 2
1482418611578 2 2
1482418613650 10 1
1482418613650 10 1
1482418616539 10 -1
1482418616539 10 -1
1482418618562 2 -1
1482418618562 2 -1
1482418620466 3 -3
1482418620466 3 -3
1482418621842 2 1
1482418621842 2 1
1482418623481 10 2
1482418623481 10 2
1482418624858 1 2
1482418624858 1 2
1482418626521 11 1
1482418626521 11 1
1482418629410 9 2
1482418629410 9 2
1482418631066 0 1
1482418631066 0 1
1482418633370 11 -3
1482418633370 11 -3
1482418636067 1 -2
1482418636067 1 -2
1482418640643 1 2
1482418640643 1 2
1482418645105 11 3
1482418645105 11 3
1482418647138 0 -1
1482418647138 0 -1
1482418649787 1 -1
1482418649787 1 -1
1482418654322 11 -1
1482418654322 11 -1
1482418655834 1 -1
1482418655834 1 -1
1482418659065 9 -2
1482418659065 9 -2
1482418661090 2 -2
1482418661090 2 -2
1482418663155 10 -2
1482418663155 10 -2
1482418668387 3 3
1482418668387 3 3
1482418669892 7 3
1482418669892 7 3
1482418671258 8 -1
1482418671258 8 -1
1482418672770 4 -1
1482418672770 4 -1
1482418674842 5 -1
1482418674842 5 -1
1482418676404 3 -3
1482418676404 3 -3
1482418677874 7 -2
1482418677874 7 -2
1482418679726 1 3
1482418679726 1 3
1482418682011 10 2
1482418682011 10 2
1482418684691 11 1
1482418684691 11 1
1482418685842 2 -1
1482418685842 2 -1
1482418687594 9 3
1482418687594 9 3
1482418689957 0 1
1482418689957 0 1
1482418691186 2 1
1482418691186 2 1
1482418693058 11 -3
1482418693058 11 -3
1482418694093 2 -1
1482418694093 2 -1
1482418696369 9 -1
1482418696369 9 -1
1482418698258 1 -3
1482418698258 1 -3
1482418700114 5 1
1482418700114 5 1
1482418703690 3 1
1482418703690 3 1
1482418713154 R
1482418713154 R
1482418718922 9 1
1482418718922 9 1
1482418720442 0 1
1482418720442 0 1
1482418723423 11 -2
1482418723423 11 -2
1482418725819 1 -2
1482418725819 1 -2
1482418730409 1 2
1482418730409 1 2
1482418734042 11 3
1482418734042 11 3
1482418735850 1 -1
1482418735850 1 -1
1482418738004 11 -3
1482418738004 11 -3
1482418741026 1 -1
1482418741026 1 -1
1482418745194 R
1482418745194 R
1482418751395 9 -1
1482418751395 9 -1
1482418752978 2 -2
1482418752978 2 -2
1482418754354 10 -2
1482418754354 10 -2
1482418755522 1 -2
1482418755522 1 -2
1482418757394 7 3
1482418757394 7 3
1482418761978 8 -1
1482418761978 8 -1
1482418763210 4 -1
1482418763210 4 -1
1482418764865 3 3
1482418764865 3 3
1482418772370 4 1
1482418772370 4 1
1482418778210 8 1
1482418778210 8 1
1482418781486 3 -3
1482418781486 3 -3
1482418783217 7 -3
1482418783217 7 -3
1482418785517 1 2
1482418785517 1 2
1482418786697 10 2
1482418786697 10 2
1482418787802 2 2
1482418787802 2 2
1482418789274 11 1
1482418789274 11 1
1482418791498 9 2
1482418791498 9 2
1482418793122 0 1
1482418793122 0 1
1482418795098 1 -1
1482418795098 1 -1
1482418800321 11 -3
1482418800321 11 -3
1482418802097 1 -1
1482418802097 1 -1
1482418805379 R
1482418805379 R
1482418811042 10 -2
1482418811042 10 -2
1482418813522 1 -2
