1482781160674 R
1482781161573 R
1482781161725 R
1482781161856 R
1482781179984 11 1
1482781193048 9 1
1482781199252 0 1
1482781216291 11 -2
1482781217090 11 -1
1482781223213 1 -2
1482781229004 R
1482781242524 R
1482781249592 1 -1
1482781263832 11 1
1482781267661 10 -2
1482781281413 11 -1
1482781287901 1 -1
1482781300213 9 -1
1482781301931 2 -2
1482781304921 3 3
1482781309215 7 3
1482781311620 8 -1
1482781316783 4 -1
1482781320531 4 1
1482781322866 4 -1
1482781332635 4 1
1482781345430 7 -2
1482781351470 3 -3
1482781358960 4 -1
1482781382177 7 2
1482781390235 3 3
1482781406496 7 -1
1482781413500 3 -3
1482781418067 1 2
1482781421866 3 2
1482781427909 11 1
1482781435335 7 -1
1482781437770 10 1
1482781451805 3 -2
1482781455525 10 1
1482781460909 11 -1
1482781464405 1 -2
1482781467193 10 -2
1482781475133 7 2
1482781477943 3 3
1482781491356 4 1
1482781501639 3 -1
1482781504013 3 -2
1482781506285 3 1
1482781507719 3 -1
1482781510396 3 1
