1481908211535 R
1481908214359 4 1
1481908215152 11 1
1481908217711 11 -1
1481908223903 8 -1
1481908224591 0 -1
1481908230135 6 1
1481908230823 9 2
1481908231455 2 2
1481908235455 0 1
1481908238487 0 -1
1481908241311 4 -4
1481908245056 3 -1
1481908250759 4 3
1481908252600 0 1
1481908253512 8 1
1481908254280 2 -3
1481908255768 1 -1
1481908256472 0 1
1481908257257 9 -2
1481908258193 6 -1
1481908259344 0 1
1481908260424 4 -2
1481908262856 3 1
1481908264304 3 -1
1481908265280 3 1
1481908266488 4 3
1481908267520 11 1
1481908268440 8 2
1481908271536 0 -3
1481908274841 1 1
1481908276096 2 1
1481908277896 9 2
1481908279760 6 1
1481908280384 0 1
1481908281161 8 -3
1481908282185 11 -1
1481908283896 4 -1
1481908284696 3 -1
1481908287448 0 -1
1481908289752 2 2
1481908292336 0 1
1481908293328 0 -1
1481908294521 4 -3
1481908299168 4 2
1481908299848 2 -2
1481908301161 6 -1
1481908304336 9 -2
1481908306936 9 2
1481908307784 4 1
1481908308736 0 1
1481908309408 8 1
1481908309944 2 -1
1481908311360 9 -2
1481908312832 1 -1
1481908315319 0 2
1481908316632 4 -2
1481908320951 4 2
1481908321703 0 -2
1481908322672 10 -1
1481908324207 7 -1
1481908327095 6 3
1481908329479 9 2
1481908331696 9 -2
1481908334240 6 -3
1481908335127 7 1
1481908335976 10 1
1481908336575 0 2
1481908337552 4 -2
1481908346551 4 2
1481908347103 0 -2
1481908349063 10 -1
1481908349967 7 -1
1481908351464 6 3
1481908353464 9 2
1481908355360 9 -2
1481908359223 6 -3
1481908367128 3 1
1481908371527 6 2
1481908372487 9 2
1481908375504 9 -2
1481908377048 6 -2
1481908377959 7 1
1481908378767 10 1
1481908379735 9 2
1481908380375 9 -2
1481908382759 0 2
1481908384800 4 1
1481908385631 11 1
1481908386527 8 2
1481908394992 0 -3
1481908396415 1 1
1481908397479 9 2
1481908399871 2 2
1481908401031 0 1
1481908401599 8 -3
1481908405111 0 -1
1481908406288 2 -1
1481908407728 9 -2
1481908409583 9 2
1481908411815 2 1
1481908413193 0 1
1481908415239 11 -1
1481908416576 4 -1
1481908417680 5 1
1481908420175 0 -1
1481908421008 4 -2
1481908421912 11 1
1481908424464 5 -1
1481908425593 3 -1
1481908428039 11 -1
1481908429744 4 2
1481908431698 0 1
1481908432559 2 -1
1481908434016 9 -2
1481908437600 9 2
1481908438167 2 1
1481908440895 8 1
1481908443975 2 -2
1481908444996 1 -1
1481908445791 9 -2
1481908453872 0 2
1481908458136 0 -2
1481908459352 10 -1
1481908460199 7 -1
1481908461679 6 3
1481908463623 9 2
1481908466192 9 -2
1481908479639 9 2
1481908481330 6 -2
1481908482719 7 1
1481908484536 3 1
1481908485807 4 1
1481908486897 11 1
1481908487767 8 2
1481908488535 0 -1
1481908490992 10 1
1481908493479 0 2
1481908494500 9 -2
1481908495449 0 1
1481908497033 8 -2
1481908498416 11 -1
1481908500905 4 -3
1481908502280 11 1
1481908503312 8 2
1481908516833 6 -1
1481908525409 8 -2
1481908527129 3 -1
1481908529416 11 -1
1481908530985 4 2
