1479356191841 R
1479356210736 0 1
1479356212764 9 1
1479356214984 10 -3
1479356218929 0 -1
1479356220545 2 -1
1479356293120 11 -2
1479356314411 11 2
1479356318071 0 1
1479356319078 2 1
1479356324962 10 3
1479356327177 6 -1
1479356329316 1 -1
1479356330728 5 -1
1479356333379 4 1
1479356335966 3 -1
1479356337885 4 2
1479356366968 9 -1
1479356376884 R
1479356381087 6 -1
1479356382526 1 -1
1479356387376 7 1
1479356388653 5 1
1479356389954 4 1
1479356393487 5 -1
1479356394490 5 1
1479356395853 0 2
1479356399898 4 -1
1479356404467 0 1
1479356408780 10 -1
1479356414824 10 1
1479356416327 2 2
1479356420152 9 1
1479356422167 10 -2
1479356423523 2 -3
1479356426795 11 -2
1479356431437 5 -1
1479356433111 7 -2
1479356440436 4 1
1479356445586 11 1
1479356451685 R
1479356459351 6 -1
1479356461150 1 -1
1479356464199 5 -1
1479356465691 3 -1
1479356467218 4 3
1479356478725 R
1479356484967 6 -1
1479356486309 9 1
1479356487468 0 1
1479356488754 10 -2
1479356491476 2 -1
1479356493010 11 -1
1479356494282 7 -1
1479356498325 1 -1
1479356499467 5 -1
1479356508558 3 -1
1479356509774 4 3
