1481843527611 R
1481843537455 6 1
1481843538633 6 -2
1481843539606 1 -1
1481843541376 9 1
1481843543639 0 1
1481843545297 10 -2
1481843546395 2 -1
1481843548850 5 -1
1481843549647 3 -1
1481843550536 7 1
1481843551647 11 -1
1481843552342 7 -2
1481843553264 3 1
1481843554211 5 1
1481843555116 0 2
1481843555965 11 -1
1481843563344 7 2
1481843564220 5 1
1481843569417 11 2
1481843570925 2 1
1481843574450 2 -1
1481843580053 0 -2
1481843580866 1 2
1481843582758 9 2
1481843585651 9 -2
1481843587681 1 -2
1481843588846 5 -2
1481843590437 11 -1
1481843591151 11 1
1481843591782 5 2
1481843592918 0 2
1481843595606 0 -2
1481843596812 5 -2
1481843597455 3 -1
1481843598498 7 -1
1481843599718 11 -1
1481843600476 7 -1
1481843601365 3 1
1481843602968 5 1
1481843605012 0 2
1481843606315 11 -1
1481843607796 7 2
1481843608728 5 1
1481843612571 5 -1
1481843616354 8 2
1481843617793 11 1
1481843620949 8 -2
1481843621680 11 1
1481843622305 5 1
1481843624019 2 4
1481843625089 11 -2
1481843626720 11 2
1481843627599 0 -2
1481843628628 5 -2
1481843630035 7 -1
1481843631041 11 -1
1481843632303 7 -1
1481843633672 3 -1
1481843636347 10 2
1481843637334 0 -1
1481843638205 11 -1
1481843638996 3 -2
1481843641968 5 1
1481843644533 7 2
1481843646453 8 2
1481843647317 10 1
1481843649982 5 -1
1481843650723 3 3
1481843651942 11 1
1481843652435 5 1
1481843653750 0 3
1481843654599 9 -1
1481843656038 0 -3
1481843657616 5 -1
1481843658289 11 -2
1481843659893 8 -1
1481843660661 3 -3
1481843662484 5 2
1481843666641 2 -4
1481843667532 11 1
1481843668369 1 2
1481843669548 6 2
1481843671309 9 3
1481843672867 11 -1
1481843673676 2 1
1481843677785 U
1481843678242 U
1481843678458 U
1481843678648 U
1481843678845 U
1481843679021 U
1481843679198 U
1481843679665 R
1481843686265 7 1
1481843687473 7 -1
1481843689131 6 -1
1481843690202 1 -1
1481843691288 0 3
1481843693315 0 -3
1481843694221 5 -1
1481843695109 3 -1
1481843697018 4 3
1481843698335 9 1
1481843701641 9 -1
1481843707291 4 -1
1481843708168 7 1
1481843710775 4 -1
1481843711718 3 1
1481843713135 5 2
1481843713847 1 2
1481843714916 6 3
1481843715876 9 3
1481843717399 9 -3
1481843718289 1 -1
1481843719113 2 2
1481843720264 11 -4
1481843724720 0 1
1481843725957 10 -1
1481843727358 2 -2
1481843728937 5 -1
1481843729619 8 2
1481843730902 8 -2
1481843731827 7 -2
1481843736012 10 1
1481843736656 0 -1
1481843738220 11 1
1481843738947 6 -3
1481843741923 1 -1
1481843742568 5 -1
1481843743625 3 -2
1481843744710 3 -1
1481843745833 4 2
1481843747013 5 1
1481843749357 5 -1
1481843750358 3 2
1481843751978 7 1
1481843757599 8 1
1481843758464 10 1
1481843759205 2 -1
1481843760178 11 2
1481843761479 0 1
1481843766473 0 -1
1481843767091 11 -1
1481843767981 3 -2
1481843768695 5 1
1481843770081 11 -1
1481843771328 5 -1
1481843772864 3 2
1481843773757 11 2
1481843774649 0 1
1481843777528 0 -1
1481843779243 11 -1
1481843780053 3 -2
1481843781186 5 1
1481843782466 1 1
1481843783181 6 3
1481843784167 9 1
1481843785471 9 -1
1481843786328 11 -2
1481843792654 2 1
1481843793512 10 -1
1481843794077 8 -1
1481843798641 4 -1
1481843799629 7 1
1481843800342 5 1
1481843805062 1 1
1481843805693 11 1
1481843806735 6 -3
1481843807736 1 -2
1481843809301 2 2
1481843813458 11 1
1481843814143 9 1
1481843820208 8 1
1481843820853 10 1
1481843822730 9 -1
1481843823635 11 -1
1481843825968 2 -3
1481843828781 5 -2
1481843829467 3 2
1481843830250 11 2
1481843831033 0 1
1481843832707 7 -1
1481843833391 4 1
1481843834598 4 -1
1481843837561 4 -1
1481843838576 3 1
1481843839880 7 1
1481843841101 5 2
1481843841898 0 2
1481843842900 11 -2
1481843844490 5 -1
1481843845409 7 -1
1481843847206 11 2
1481843849239 11 -2
1481843852435 2 1
1481843853340 10 -2
1481843854973 8 -1
1481843855716 7 -1
1481843861158 10 1
1481843864615 7 2
1481843865536 5 1
1481843868031 2 2
1481843868990 11 3
1481843873449 0 -2
1481843875274 2 -2
