1480431441105 R
1480431442154 R
1480431455208 4 -1
1480431458315 8 -1
1480431483106 7 1
1480431492365 5 -3
1480431496894 3 2
1480431534673 7 -1
1480431536559 10 -1
1480431540198 11 -1
1480431545816 2 -3
1480431559761 6 -1
1480431573359 9 3
1480431584090 8 -1
1480431621517 R
1480431658391 9 1
1480431661187 4 2
1480431663293 1 -1
1480431664804 0 2
1480431668625 7 -3
1480431671217 3 -1
1480431682084 11 -1
1480431684817 2 -1
1480431710187 8 -1
1480431728682 R
1480431744552 7 1
1480431746981 3 -1
1480431762230 5 -1
1480431764759 6 -1
1480431769062 9 2
1480431772236 4 2
1480431774293 1 -1
1480431777396 0 1
1480431791313 11 -1
1480431792956 2 -1
1480431794609 9 1
1480431799153 8 -1
1480431805391 5 -1
1480431807305 0 -1
1480431809784 11 -1
1480431811366 6 -1
1480431813775 5 1
1480431816192 8 2
1480431821825 5 -1
1480431824072 8 -1
1480431825675 6 1
1480431827569 11 1
1480431830803 1 1
1480431832687 4 -3
1480431834965 8 -2
1480431845299 5 -1
1480431849762 9 -2
1480431852905 6 1
1480431864216 2 1
1480431866120 11 1
1480431870896 3 2
1480431883369 3 -2
1480431885133 8 2
1480431888286 5 3
1480431890757 4 3
1480431892568 1 -1
1480431901954 11 -1
1480431905722 2 -1
1480431907192 11 -1
1480431909328 5 -1
1480431911755 6 -2
1480431930889 6 1
1480431934415 11 1
1480431937538 0 1
1480431942323 6 1
1480431944196 5 1
1480431947571 0 1
1480431962311 0 -1
1480431965020 5 -1
1480431966622 6 -1
1480431969292 9 2
1480431979707 0 -1
1480431981844 11 -1
1480431984050 6 -1
1480431986276 8 1
1480431995434 8 -1
1480431998454 6 1
1480431999693 11 1
1480432001255 0 1
1480432008668 9 -1
1480432010944 2 1
1480432013492 11 1
1480432015295 3 1
1480432018176 7 -4
1480432023182 3 -1
1480432026868 0 -1
1480432029044 1 1
1480432032972 4 -2
1480432035812 5 -1
1480432040757 4 2
1480432042178 1 -1
1480432045099 11 -2
1480432049924 6 -1
1480432051696 2 -1
1480432053388 9 1
1480432057609 5 1
1480432063872 6 1
1480432065283 11 1
1480432067558 0 1
1480432081744 5 -1
1480432082902 8 -1
1480432084524 9 -2
1480432087665 6 1
1480432089549 5 2
1480432091533 0 1
1480432116205 2 1
1480432118372 11 1
1480432124717 0 -1
1480432127557 5 -1
1480432129984 6 -1
1480432132228 11 -1
1480432133970 2 -1
1480432138220 9 2
1480432150142 8 1
1480432162615 R
1480432185133 5 -2
1480432193125 3 1
1480432196967 8 -2
1480432207258 3 2
1480432215978 7 1
1480432223743 4 -1
1480432236198 3 -4
1480432243668 9 1
1480432245813 8 2
1480432248018 5 2
1480432253375 4 3
1480432255589 1 -1
1480432257795 0 2
1480432260584 3 1
1480432262928 7 -4
1480432265516 3 -1
1480432275514 11 -1
1480432278061 2 -1
1480432285330 8 -1
1480432314154 2 1
1480432316529 11 1
1480432319590 0 -1
1480432324522 5 -1
1480432326626 6 -1
1480432328739 9 1
1480432349420 3 1
1480432353396 3 -1
1480432355389 11 -1
1480432358238 2 -1
1480432361127 9 1
1480432370449 8 1
1480432374183 0 -1
1480432376407 1 1
1480432378853 4 -2
1480432396309 9 -1
1480432397961 2 1
1480432400185 11 1
1480432404554 4 2
1480432406315 1 -1
1480432413745 0 1
1480432431019 3 1
1480432435277 7 4
1480432437109 3 -1
1480432441430 0 -1
1480432443733 11 -2
1480432445596 2 -1
1480432447779 6 -1
1480432462909 6 1
1480432464168 2 1
1480432466785 11 2
1480432484322 0 1
1480432486183 3 1
1480432495496 0 -1
1480432497086 1 1
1480432498444 4 -3
1480432503689 3 -1
1480432508169 11 -1
1480432509568 2 -1
1480432511068 9 1
1480432518245 8 -1
1480432522373 5 -1
1480432524557 4 3
1480432525996 1 -1
1480432539123 11 -1
1480432541166 6 -1
1480432544971 5 1
1480432548635 8 1
1480432550588 6 1
1480432558923 11 1
1480432561892 11 -1
1480432565244 8 -1
1480432566423 5 -1
1480432567942 11 1
1480432569532 0 1
1480432575723 0 -1
1480432577434 11 -1
1480432578572 6 -1
1480432588274 6 1
1480432593379 9 -1
1480432595079 2 1
1480432599225 11 2
1480432601742 0 1
1480432604842 3 3
1480432608708 7 -4
1480432616136 10 -1
1480432617475 11 -1
1480432618897 2 -3
1480432634948 0 -1
1480432640514 11 -1
1480432643141 6 -1
1480432650761 9 -1
1480432654203 6 1
1480432657172 11 1
1480432662154 2 2
1480432666522 10 1
1480432667951 11 -1
1480432669873 6 -1
1480432671393 10 -1
1480432673848 2 -2
1480432677974 6 1
1480432712062 11 1
1480432713602 0 1
1480432717848 2 3
1480432720717 11 1
1480432722407 10 1
1480432727016 3 -3
1480432728135 6 1
1480432729572 5 2
1480432731243 0 1
1480432745150 3 1
1480432749467 3 -1
1480432751438 11 -1
1480432765386 11 1
1480432770447 8 1
1480432774068 3 1
1480432775286 3 -1
1480432781213 0 -1
1480432785903 11 -1
1480432789313 2 -1
1480432791014 8 -1
1480432792935 5 -1
1480432794455 6 -1
1480432806958 9 2
1480432809544 8 1
1480432843725 0 -1
1480432845476 1 1
1480432848475 4 -2
1480432853133 8 -2
1480432861797 9 -3
1480432865641 6 1
1480432868177 5 1
1480432871065 2 1
1480432873600 11 1
1480432881520 5 -2
1480432882949 11 -1
1480432885324 2 -1
1480432891976 2 1
1480432893314 11 1
1480432900600 3 1
1480432903859 5 2
1480432910400 3 -1
1480432923009 5 -2
1480432925966 6 -1
1480432933211 3 2
1480432947756 10 -1
1480432951812 3 2
1480432953824 11 -1
1480432954993 2 -3
1480432959571 3 -1
1480432963504 9 3
1480432965165 8 1
1480432966643 4 2
1480432968304 1 -1
1480432974019 11 -1
1480432977772 6 -1
1480432979191 2 2
1480432988447 6 1
1480432989795 11 1
1480433022314 2 -2
1480433026511 11 -1
1480433029026 6 -1
1480433037369 6 1
1480433040447 11 1
1480433046041 11 -1
1480433047290 6 -1
1480433052330 9 -2
1480433055470 2 2
1480433061004 10 1
1480433063579 6 1
1480433065300 11 1
1480433069002 0 1
1480433070702 10 -1
1480433072774 2 -2
1480433081748 9 1
1480433083408 0 -1
1480433084968 11 -1
1480433090943 6 -1
1480433092563 9 1
1480433095349 6 1
1480433096788 11 1
1480433098880 1 1
1480433100500 4 -2
1480433102140 8 -1
1480433113203 9 -3
1480433121632 3 1
1480433124309 6 1
1480433131513 5 3
1480433135608 5 -1
1480433150901 2 3
1480433158478 11 1
1480433160811 10 1
1480433166880 5 -2
1480433175762 3 -4
1480433178368 11 -1
1480433180854 2 -1
1480433182282 6 -1
1480433185923 9 3
1480433188590 8 1
1480433190531 4 2
1480433192584 1 -1
1480433197734 0 1
1480433231473 9 -2
1480433233194 6 1
1480433234493 5 2
1480433236194 0 1
1480433246833 2 1
1480433248754 11 1
1480433258194 0 -1
1480433259713 5 -2
1480433262561 3 2
1480433265207 3 1
1480433266827 10 -1
1480433268116 11 -1
1480433271005 2 -3
1480433273187 6 -1
1480433282605 6 1
1480433285102 2 3
1480433287093 10 1
1480433288311 11 1
1480433290244 3 -3
1480433292587 5 2
1480433294780 0 1
1480433311483 11 -1
1480433313304 2 -1
1480433323407 2 1
1480433325498 11 1
1480433328316 3 1
1480433329544 8 1
1480433335741 0 -1
1480433343680 5 -2
1480433346406 8 -1
1480433352645 5 2
1480433358499 0 1
1480433360802 3 -1
1480433362554 11 -1
1480433365280 2 -1
1480433384225 2 1
1480433386047 8 1
1480433391520 11 1
1480433394236 0 -1
1480433396651 5 -2
1480433401572 3 2
1480433402747 8 -1
1480433404126 3 1
1480433405665 11 -1
1480433407456 10 -1
1480433414781 6 -1
1480433419146 11 1
1480433420886 3 -1
1480433422748 8 1
1480433425374 10 1
1480433427224 3 -1
1480433432537 6 1
1480433434578 5 2
1480433439226 0 1
1480433441430 3 -1
1480433444367 11 -1
1480433450543 2 -1
1480433480466 2 1
1480433481445 11 1
1480433490361 11 -1
1480433494597 2 -1
1480433496749 R
1480433527715 7 1
1480433530421 3 -1
1480433532344 9 1
1480433535563 4 2
1480433537404 1 -1
1480433540332 0 2
1480433541771 3 1
1480433542902 7 -4
1480433558615 3 -1
1480433562106 11 -1
1480433567216 2 -1
1480433569369 8 -1
1480433573565 2 1
1480433577268 0 -1
1480433579621 5 -2
1480433585638 6 -1
1480433587458 9 1
1480433589169 2 -1
1480433591282 9 1
1480433612013 5 1
1480433616380 8 1
1480433642310 8 -1
1480433643548 5 -1
1480433646830 9 -2
1480433648269 6 1
1480433649315 2 1
1480433650684 11 1
1480433655112 3 3
1480433656723 10 -1
1480433664492 10 1
1480433666071 3 -3
1480433667389 11 -1
1480433669320 2 -1
1480433676676 5 2
1480433678698 2 1
1480433680216 5 -2
1480433681516 11 1
1480433685047 3 3
1480433689062 10 -1
1480433690329 11 -1
1480433693338 2 -3
1480433694908 6 -1
1480433702264 0 -1
1480433703642 11 -1
1480433705321 6 -1
1480433709578 2 2
1480433711922 10 1
1480433713401 9 2
1480433721410 R
1480433897429 9 1
1480433899755 4 2
1480433901598 1 -1
1480433908506 0 1
1480433912079 0 1
1480433930124 7 -3
1480433934987 3 -1
1480433963241 3 1
1480433965455 0 -1
1480433972742 5 -1
1480433984343 0 -1
1480433991066 3 -1
1480434012773 11 -2
1480434014452 6 -2
1480434016124 8 1
1480434017462 2 -1
1480434019002 9 2
1480434027125 8 -1
1480434029319 6 1
1480434030838 11 1
1480434033093 0 1
1480434037389 9 -2
1480434038658 6 1
1480434039896 5 1
1480434044434 0 1
1480434047645 2 1
1480434051689 11 1
1480434055384 3 1
1480434057136 7 4
1480434059207 3 -1
1480434067088 11 -1
1480434068757 2 -1
1480434076145 0 -2
1480434077424 1 1
1480434078731 5 -2
1480434079839 8 -1
1480434086269 6 -1
1480434087297 9 2
1480434096303 1 -1
1480434097380 11 -1
1480434098608 6 -1
1480434101496 8 2
1480434103780 5 1
1480434109627 8 -1
1480434110885 6 1
1480434115564 11 1
1480434117123 1 1
1480434118151 4 -3
1480434125627 8 -1
1480434128495 5 -1
1480434129904 4 3
1480434131394 1 -1
1480434136324 11 -1
1480434137450 6 -1
1480434139202 8 2
1480434148752 5 1
1480434150794 9 -2
1480434154236 8 -1
1480434155265 6 2
1480434156752 11 1
1480434158241 5 1
1480434166191 2 1
1480434168123 11 1
1480434169823 5 -2
1480434171162 6 -1
1480434172389 9 1
1480434173597 8 -1
1480434179604 1 1
1480434196493 1 -1
1480434199420 1 1
1480434211032 9 -1
1480434212440 6 1
1480434215811 5 2
1480434221385 1 -1
1480434226253 8 1
1480434227571 1 2
1480434229050 4 -3
1480434231154 5 -3
1480434235912 8 -2
1480434237290 1 -1
1480434239503 3 3
1480434251476 7 -1
1480434252734 10 -1
1480434253811 11 -1
1480434254868 2 -3
1480434264424 8 1
1480434265823 5 1
1480434273027 6 -1
1480434293568 9 2
1480434295561 8 -1
1480434297009 5 -1
1480434304967 9 -3
1480434306134 3 1
1480434307271 6 1
1480434312220 5 2
1480434314535 6 -1
1480434315642 5 -1
1480434321819 3 -1
1480434324595 9 3
1480434328279 8 1
1480434329365 4 3
1480434333871 2 2
1480434336909 7 1
1480434340552 10 1
1480434343408 1 -1
1480434348751 9 -2
1480434350451 2 1
1480434352714 11 1
1480434355411 0 1
1480434360994 3 -2
1480434362153 6 1
1480434369193 5 2
1480434380582 7 -4
1480434387623 5 -2
1480434390089 3 2
1480434391537 10 -1
1480434392865 11 -1
1480434397118 2 -3
1480434407871 6 -1
1480434408969 9 2
1480434415376 0 -1
1480434423102 0 1
1480434425174 0 -1
1480434427689 11 -1
1480434433624 11 1
1480434440404 9 -1
1480434442274 2 3
1480434445905 11 -1
1480434451609 6 -1
1480434453289 2 -3
1480434464184 6 1
1480434467181 11 1
1480434475149 2 3
1480434477189 11 1
1480434478577 10 1
1480434480440 3 -3
1480434490304 0 1
1480434501387 11 -1
1480434502443 2 -1
1480434506214 8 1
1480434510760 8 -1
1480434513556 9 -1
1480434515135 6 1
1480434516502 5 2
1480434524166 0 -1
1480434538357 5 -1
1480434539966 6 -1
1480434541756 8 1
1480434543073 1 1
1480434546423 4 -2
1480434558411 4 2
1480434559959 1 -1
1480434569092 0 1
1480434584411 9 2
1480434595494 9 -2
1480434596863 6 1
1480434599365 5 1
1480434601397 0 1
1480434605350 2 1
1480434606797 11 1
1480434609121 3 1
1480434616421 0 -1
1480434618686 5 -1
1480434620123 6 -1
1480434623260 9 1
