1482550622885 R
1482550643800 8 1
1482550650288 8 -1
1482550652704 3 -1
1482550654120 1 -1
1482550657358 5 -1
1482550659271 11 1
1482550661744 2 -1
1482550663912 6 1
1482550666736 10 -3
1482550671552 10 3
1482550674943 10 -2
1482550675990 5 -1
1482550678944 4 -1
1482550679928 7 2
1482550682448 6 1
1482550683856 10 -1
1482550688778 10 1
1482550693456 10 -1
1482550695649 6 -2
1482550697105 7 -2
1482550698384 4 1
1482550699761 5 2
1482550704184 1 1
1482550705161 3 1
1482550706152 8 1
1482550707279 6 1
1482550709767 10 3
1482550711240 8 -1
1482550713032 3 -1
1482550714024 1 -1
1482550715856 10 -3
1482550717280 6 -1
1482550718528 4 -1
1482550720040 5 -2
1482550722776 11 -1
1482550724952 7 2
1482550726215 6 2
1482550730639 5 1
1482550732151 1 1
1482550733055 3 1
1482550734423 8 1
1482550738382 0 1
1482550740694 8 -1
1482550741608 4 -1
1482550743975 5 -1
1482550748255 0 -1
1482550749856 6 -2
1482550751552 2 3
1482550753448 12 -1
1482550754471 11 -1
1482550758064 7 -2
1482550760000 2 -2
1482550762984 5 3
1482550765351 4 3
1482550768222 8 1
1482550773945 R
1482550781343 5 1
1482550783102 2 -1
1482550784551 6 1
1482550786887 8 1
1482550787864 10 -3
1482550791535 5 -3
1482550793383 11 1
1482550795071 4 -1
1482550796415 7 2
1482550799759 6 1
1482550807734 5 1
1482550810305 U
1482550812279 8 -1
1482550813503 3 -1
1482550814398 1 -1
1482550815663 5 1
1482550818415 11 -1
1482550823591 0 1
1482550825670 0 -1
1482550827127 5 -1
1482550828868 U
1482550830655 0 1
1482550833038 11 1
1482550838086 5 -1
1482550839190 11 -1
1482550841909 1 1
1482550842886 3 1
1482550844606 10 1
1482550845638 10 -1
1482550847631 4 -1
1482550851454 10 1
1482550856886 11 1
1482550864726 U
1482550868006 10 -1
1482550870166 5 1
1482550871518 4 1
1482550872886 8 1
1482550878719 5 -1
1482550880980 U
1482550882782 8 -1
1482550883790 3 -1
1482550884558 1 -1
1482550887086 5 -1
1482550888726 5 1
1482550890974 11 1
1482550901380 1 1
1482550902309 3 1
1482550903206 4 -1
1482550906829 11 -1
1482550913974 10 1
