1482098951270 R
1482098952388 4 -3
1482098956467 3 -3
1482098957454 3 3
1482098959537 8 -1
1482098960787 6 -1
1482098962663 1 1
1482098966094 0 2
1482098966903 10 -1
1482098967558 9 -1
1482098968373 7 -1
1482098981018 10 1
1482098981904 0 -2
1482098983661 1 -1
1482098985138 2 -1
1482098986136 6 3
1482099048616 8 2
1482099049646 4 3
1482099050230 5 3
1482099051157 1 -2
1482099055645 0 1
1482099057179 0 -1
1482099064025 3 -1
1482099064837 6 -1
1482099066217 7 2
1482099067753 9 2
1482099068387 10 1
1482099071079 0 1
1482099072308 0 -1
1482099073694 10 -1
1482099074360 9 -2
1482099080566 0 1
1482099081762 0 -1
1482099082516 8 -1
1482099084038 7 -2
1482099084960 3 1
1482099085554 6 1
1482099088638 0 1
1482099089485 8 1
1482099092396 0 -1
1482099093087 1 2
1482099094185 4 -3
1482099095644 5 -4
1482099100129 4 3
1482099101046 1 -2
1482099105544 1 2
1482099106255 4 -3
1482099107184 6 -3
1482099109548 6 3
1482099111406 8 -2
1482099113467 8 2
1482099115890 4 3
1482099117033 1 -2
1482099123750 0 1
1482099125222 8 -1
1482099126235 8 1
1482099127422 3 -2
1482099128190 6 -2
1482099130191 7 2
1482099130821 2 2
1482099131438 8 2
1482099132115 0 1
1482099139833 10 -1
1482099140977 8 -1
1482099142491 7 -2
1482099148164 10 1
1482099148967 0 -2
1482099149585 8 -2
1482099151503 2 -2
1482099153468 2 2
1482099154106 8 2
1482099157417 0 2
1482099161442 0 -2
1482099163727 1 3
1482099166044 4 -3
1482099168723 3 -1
1482099170596 6 -1
1482099171967 8 -3
1482099172549 1 -2
1482099174530 2 -2
1482099175535 3 3
1482099176312 6 3
1482099181278 8 2
1482099182924 1 1
1482099184931 5 4
1482099187064 4 3
1482099188048 1 -2
1482099188651 0 1
1482099192041 0 -1
1482099192971 1 1
1482099193637 1 1
1482099197957 4 -3
1482099198943 5 -4
1482099207111 6 -3
1482099207788 3 -2
1482099209118 3 -1
1482099210750 7 2
1482099211388 2 2
1482099217025 8 2
1482099219241 1 2
1482099224160 0 2
1482099226547 1 -1
1482099227095 8 -1
1482099227686 7 -2
