1482859287697 R
1482859297715 7 2
1482859298685 3 2
1482859301303 6 -1
1482859302661 5 3
1482859307017 1 1
1482859308707 12 1
1482859309966 2 1
1482859311079 10 1
1482859312049 0 1
1482859312854 6 1
1482859316905 U
1482859317635 R
1482859320324 6 -1
1482859321230 5 1
1482859322068 10 1
1482859330172 7 2
1482859331892 7 -2
1482859334298 1 1
1482859335378 12 1
1482859336674 2 1
1482859338823 10 -1
1482859339685 2 -1
1482859340569 5 -1
1482859341381 6 1
1482859342815 7 2
1482859343660 3 2
1482859357527 2 1
1482859494125 R
1482859498666 1 1
1482859499633 12 1
1482859500769 2 1
1482859502475 3 2
1482859503451 7 2
1482859505364 6 -1
1482859506563 5 3
1482859512456 2 -1
1482859514903 12 -1
1482859516073 1 -1
1482859518665 9 -1
1482859521303 5 -2
1482859522504 7 -2
1482859534807 3 -2
1482859538767 9 1
1482859539863 5 -1
1482859540810 7 2
1482859541533 3 2
1482859542757 5 3
1482859544332 6 1
1482859545447 8 -1
1482859548396 10 1
1482859552072 1 1
1482859552980 12 1
1482859553883 2 1
1482859554971 0 1
1482859556062 8 -3
1482859557245 0 -1
1482859559325 6 -1
1482859562527 5 -2
1482859563300 7 -3
1482859564442 3 -3
1482859565405 11 2
1482859566286 4 -1
1482859567220 1 3
1482859568533 9 1
1482859569240 4 1
1482859571245 10 1
1482859573428 10 -1
1482859576845 R
1482859580075 3 2
1482859580952 7 2
1482859583072 8 -1
1482859584807 8 1
1482859585512 6 -1
1482859586394 5 3
1482859587922 9 -1
1482859589672 1 1
1482859590454 12 1
1482859591184 9 1
1482859593820 2 1
1482859595191 5 -3
1482859596493 7 -2
1482859597425 3 -2
1482859598735 7 2
1482859599804 3 2
1482859603209 7 -2
1482859604131 3 -2
1482859607694 7 2
1482859608775 3 2
1482859610871 5 3
1482859612698 0 1
1482859613342 6 1
1482859614125 10 1
1482859615622 8 -4
1482859616659 0 -1
1482859617549 6 -1
1482859621057 6 1
1482859621717 0 1
1482859622353 8 4
1482859623580 10 -1
1482859626261 2 -1
1482859628485 6 -1
1482859629177 5 -1
1482859629937 3 -2
1482859632284 12 -1
1482859633245 1 -1
1482859634742 9 -1
1482859636180 3 2
1482859637059 5 1
1482859638025 6 1
1482859639075 8 -2
1482859642383 1 1
1482859643168 12 1
1482859643888 9 1
1482859644867 2 1
1482859646093 8 2
1482859646977 10 1
1482859647842 0 -1
1482859650837 6 -1
1482859651757 5 -2
1482859655500 R
1482859657928 7 2
1482859658949 3 2
1482859660777 6 -1
1482859663722 7 -2
1482859664546 3 -2
1482859665730 1 1
1482859666614 12 1
1482859667796 7 2
1482859668984 7 -2
1482859671422 2 1
1482859673694 7 2
1482859674222 3 2
1482859676222 6 1
1482859676993 8 -1
1482859680123 U
1482859681382 R
1482859684993 1 1
1482859687199 12 1
1482859688153 2 1
1482859689864 8 -1
1482859691199 7 2
1482859698994 3 2
1482859700210 8 1
1482859701097 6 -1
1482859703434 5 3
1482859704500 6 1
1482859707010 6 -1
1482859708015 9 -1
1482859709663 9 1
1482859711118 9 -1
1482859715074 R
1482859718646 1 1
1482859719704 1 -1
1482859721141 6 -1
1482859721981 5 1
1482859723737 9 -1
1482859725562 1 1
1482859726622 12 1
1482859730729 2 1
1482859732427 7 2
1482859733319 3 2
1482859735131 5 2
1482859736059 0 1
1482859736975 6 1
1482859738209 8 -2
1482859743898 2 -1
1482859744642 12 -1
1482859745407 1 -1
1482859747238 9 1
1482859748729 10 1
1482859749458 8 -1
1482859750290 6 -1
1482859752923 1 1
1482859753575 12 1
1482859754286 2 1
1482859755064 8 -1
1482859755897 0 -1
1482859757574 5 -2
1482859759245 5 2
1482859760176 6 1
1482859760930 0 1
1482859768169 8 4
1482859770029 10 -1
1482859771260 0 -1
1482859772050 6 -1
1482859773094 5 -3
1482859774742 6 1
1482859775517 8 -1
1482859777230 8 1
1482859779389 6 -1
1482859780629 7 -2
1482859782134 3 -2
1482859786706 R
1482859790525 1 1
1482859791619 1 -1
1482859793818 3 2
1482859794838 7 2
1482859798064 8 -1
1482859800240 1 1
1482859801173 12 1
1482859801979 2 1
1482859804411 R
1482859806801 7 2
1482859808793 6 -1
1482859810311 3 2
1482859811802 5 3
1482859816214 5 -3
1482859817282 6 1
1482859818179 8 -1
