1481468989609 R
1481468998183 1 1
1481469003693 0 1
1481469004462 1 -1
1481469005405 3 1
1481469005998 0 -1
1481469006925 7 -1
1481469007615 1 -1
1481469008267 4 -1
1481469009357 3 2
1481469010940 0 2
1481469011940 9 -1
1481469012748 5 -3
1481469015802 9 1
1481469016299 3 -3
1481469017268 10 -1
1481469027482 0 -1
1481469028145 1 1
1481469028649 7 1
1481469029176 5 -1
1481469029721 0 -1
1481469033616 4 1
1481469034144 6 1
1481469034791 7 2
1481469037225 0 1
1481469037839 5 1
1481469039263 7 -3
1481469040407 1 -1
1481469042191 4 -1
1481469042754 4 1
1481469043271 10 -1
1481469046519 8 -1
1481469047120 2 -1
1481469047725 6 2
1481469049557 4 -1
1481469050285 4 1
1481469051941 4 -1
1481469058548 4 1
1481469060091 6 -3
1481469062843 6 2
1481469063587 2 1
1481469065499 2 -1
1481469067562 6 -1
1481469068441 8 1
1481469069265 2 1
1481469069890 10 2
1481469071898 0 1
1481469075784 4 -1
1481469076841 6 -1
1481469080410 3 3
1481469081582 5 3
1481469084624 0 -2
1481469086751 3 -3
1481469088887 4 1
1481469089520 10 -2
1481469090446 8 -1
1481469091055 2 -1
1481469091734 6 3
1481469093102 4 -1
1481469096646 6 -2
1481469097381 8 1
1481469098079 2 1
1481469099357 4 1
1481469100126 10 1
1481469101148 10 1
1481469102932 1 2
1481469106107 1 -2
1481469106996 3 1
1481469108107 5 -1
1481469110449 0 2
1481469111189 5 -2
1481469112475 3 -1
1481469113603 3 1
1481469117698 0 -1
1481469119353 4 -1
1481469119865 6 -1
1481469121361 3 -1
1481469128857 10 -1
1481469130288 2 -1
1481469131735 2 1
1481469134039 1 1
1481469134431 10 1
1481469135195 1 1
1481469135964 4 1
1481469136446 6 1
1481469137263 7 3
1481469138335 5 -1
1481469139182 0 -1
1481469139943 1 -1
1481469140589 10 -1
1481469143045 0 1
1481469144780 2 -1
1481469146493 0 -1
1481469147373 7 -2
1481469153892 R
1481469162177 7 -1
1481469162966 1 -1
1481469167635 10 -2
1481469172464 10 2
1481469174080 4 -1
1481469176080 3 3
1481469177655 9 -3
1481469180407 3 -3
1481469184966 10 -2
1481469185918 8 -3
1481469186806 2 -3
1481469187758 10 2
1481469188950 4 3
1481469189742 6 3
1481469190932 1 2
1481469191797 1 -2
1481469197668 1 1
1481469198315 7 3
1481469199611 9 -1
1481469201092 1 1
1481469203147 1 -1
1481469204235 3 1
1481469204955 5 -1
1481469206066 2 -1
1481469209194 0 1
1481469209997 5 -3
1481469210689 3 -1
1481469211385 8 -1
1481469217106 3 1
1481469217824 8 1
1481469218572 8 -1
1481469219122 3 -1
1481469220880 1 1
1481469222623 0 -1
1481469223616 9 1
1481469224116 7 -2
1481469224923 1 -1
1481469229278 4 -3
1481469234366 1 1
1481469235038 4 2
1481469235718 7 2
1481469237814 7 -2
1481469239076 7 2
1481469240044 9 -1
1481469240565 0 1
1481469241133 5 1
1481469247315 4 -1
1481469249250 6 -1
1481469250466 R
1481469253791 7 -1
1481469255186 1 1
1481469260673 1 -2
1481469265432 6 1
1481469266281 6 -1
1481469266942 4 -1
1481469269592 3 3
1481469272874 3 -3
1481469274567 3 3
1481469279775 5 -1
1481469281421 5 1
1481469283565 3 -3
1481469284348 10 -2
1481469285188 2 -1
1481469286189 8 -1
1481469287077 6 3
1481469288148 4 1
1481469289724 0 1
1481469290884 0 -1
1481469293340 R
1481469301287 7 -1
1481469302083 1 -1
1481469307289 3 1
1481469308697 0 2
1481469309448 3 -1
1481469311000 10 -1
1481469311953 2 -1
1481469314815 4 -1
1481469315535 0 -2
1481469316383 10 -1
1481469317743 8 -1
1481469318639 6 3
1481469319424 4 1
1481469322767 R
1481469325534 4 -1
1481469329038 7 -1
1481469332542 1 1
1481469334428 4 1
1481469334900 6 1
1481469336011 7 3
1481469337131 1 -1
1481469338331 3 1
1481469339082 5 -1
1481469341547 0 1
1481469342395 5 -3
1481469344319 3 -1
1481469346664 7 -2
1481469347761 1 1
1481469348779 4 -1
1481469349442 6 -1
1481469350729 4 1
1481469351138 6 1
1481469353031 5 1
1481469353600 7 -1
1481469354608 1 -2
1481469365471 3 1
1481469368574 6 -1
1481469369446 4 -1
1481469370838 3 -1
1481469372900 10 -2
1481469376103 10 2
1481469377573 0 1
1481469379956 0 -1
1481469380743 10 -2
1481469381412 8 -1
1481469382006 2 -1
1481469382636 6 3
1481469388171 R
1481469394754 7 -1
1481469396010 1 -1
1481469398529 0 2
1481469399156 3 1
1481469400225 5 -3
1481469401320 0 -1
1481469402648 3 -1
1481469405815 10 -2
1481469407079 8 -1
1481469408592 8 1
1481469410592 10 2
1481469411238 3 1
1481469412231 5 3
1481469413407 3 -1
1481469414463 10 -2
1481469416462 0 -1
1481469417694 10 2
1481469418941 3 1
1481469420341 4 -1
1481469420909 3 2
1481469422141 9 -3
1481469423237 3 -3
1481469426540 10 -2
1481469427275 8 -3
1481469428372 2 -3
1481469429398 10 2
1481469430123 4 3
1481469430819 6 3
1481469433386 1 2
1481469434410 7 3
1481469435578 9 -1
1481469436538 1 -1
1481469439737 9 1
1481469441915 9 -1
1481469442625 0 1
1481469443345 3 1
1481469444224 5 -4
1481469446352 3 -1
1481469450311 0 -1
1481469452031 1 1
1481469454562 9 1
1481469455118 7 -2
1481469455870 1 -1
1481469456797 3 1
1481469457343 8 -1
1481469458014 2 -1
1481469459773 3 -1
1481469460854 10 -1
1481469464213 10 1
1481469467397 7 1
1481469468320 1 1
1481469469492 7 1
1481469470084 9 -1
1481469471725 1 -1
1481469473538 10 -1
1481469475403 2 2
1481469476346 8 1
1481469477434 8 -1
1481469477970 2 -2
1481469482787 9 1
1481469483265 7 -2
1481469484785 7 2
1481469485778 9 -1
1481469486873 0 1
1481469488193 5 1
1481469490178 5 -1
1481469490643 0 -1
1481469491793 9 1
1481469492458 7 -2
1481469496418 7 2
1481469497529 9 -1
1481469498688 10 1
1481469500361 1 1
1481469505351 6 -2
1481469506015 4 -2
1481469509381 6 2
1481469510029 4 2
1481469511197 1 -1
1481469513142 10 -1
1481469514150 2 2
1481469514926 8 1
1481469515934 0 1
1481469518846 4 -2
1481469519438 6 -2
1481469520375 6 2
1481469520989 4 2
1481469524964 5 1
1481469525613 5 -1
1481469526844 0 -1
1481469527789 8 -1
1481469528875 2 -2
1481469530139 10 1
1481469533428 1 1
1481469535245 9 1
1481469536882 7 -2
1481469538147 1 -1
1481469549168 4 -3
1481469552599 6 -3
1481469553639 3 3
1481469555598 9 3
1481469557812 3 -3
1481469559853 4 2
1481469560572 6 3
1481469561316 4 1
1481469562131 7 2
1481469564652 0 1
1481469565428 5 1
1481469566197 7 -3
1481469567150 1 -1
1481469568236 0 4
