1479357490421 R
1479357513301 10 -1
1479357523822 0 1
1479357532519 7 -1
1479357543499 7 2
1479357545233 0 -1
1479357549858 7 -2
1479357551225 1 -1
1479357552378 4 -1
1479357557818 0 2
1479357562868 10 1
1479357565835 3 3
1479357567427 5 -3
1479357569811 9 -1
1479357581141 0 -1
1479357587802 9 1
1479357589318 3 -3
1479357591158 4 1
1479357592318 1 2
1479357594270 6 1
1479357596864 7 3
1479357603736 5 -1
1479357605889 0 -1
1479357607864 1 -1
1479357609561 0 1
1479357615577 3 1
1479357621362 5 4
1479357624314 7 -3
1479357628338 1 -1
1479357629266 4 -1
1479357630251 6 -1
1479357632686 3 2
1479357633883 0 1
1479357637484 5 -3
1479357640220 9 -1
1479357646036 0 -1
1479357652820 9 1
1479357656389 3 -3
1479357660903 10 -2
1479357663463 8 -1
1479357668146 6 2
1479357670207 4 1
1479357686266 6 -2
1479357689586 8 1
1479357691186 10 2
1479357693511 1 2
1479357694642 4 -1
1479357696660 7 1
1479357697939 5 -1
1479357701682 0 -1
1479357703243 1 -1
1479357704676 0 1
1479357708748 0 -1
1479357712989 1 1
1479357718421 4 1
1479357719439 6 1
1479357728910 7 2
1479357732527 1 -1
1479357734294 3 1
1479357735928 0 1
1479357738561 5 1
1479357740646 5 3
1479357747737 0 -1
1479357751704 3 -1
1479357757394 7 -3
1479357758890 1 -1
1479357760917 4 -1
1479357763476 10 -2
1479357766835 6 -1
1479357779477 0 1
