1481773846997 R
1481773856036 4 -1
1481773857797 4 1
1481773860908 2 -1
1481773861675 4 -1
1481773862844 3 -1
1481773863781 12 -1
1481773865988 8 -1
1481773866724 1 -1
1481773868620 10 -2
1481773871036 5 3
1481773873845 11 2
1481773876811 7 1
1481773877757 7 -1
1481773880124 11 -2
1481773881324 5 -3
1481773884468 10 2
1481773887997 10 -2
1481773888740 1 1
1481773889365 9 -4
1481773890668 1 1
1481773891332 8 2
1481773892676 12 2
1481773893667 3 1
1481773894331 2 2
1481773895115 4 1
1481773896907 11 -1
1481773898226 1 -1
1481773901460 11 1
1481773902309 2 -2
1481773903565 1 -1
1481773904315 12 -1
1481773905236 8 -1
1481773906542 9 4
1481773907956 5 2
1481773914797 4 -1
1481773915395 3 -1
1481773917340 9 -4
1481773917868 5 -2
1481773919092 1 2
1481773921836 1 -2
1481773923381 1 2
1481773925492 10 2
1481773927013 8 1
1481773927683 12 -1
1481773930325 12 2
1481773932763 2 2
1481773935028 3 1
1481773937364 11 -1
1481773943276 1 -1
1481773944188 R
1481773951508 4 -1
1481773952605 2 -1
1481773955108 3 -1
1481773955995 12 -1
1481773960572 10 -2
1481773962131 9 -4
1481773964723 10 2
1481773965452 1 1
1481773965996 8 1
1481773972724 12 2
1481773978892 12 -2
1481773982067 1 -2
1481773984179 10 -2
1481773986294 8 -2
1481773987086 5 3
1481773988276 11 2
1481773989868 11 -2
1481773990781 5 -3
1481773993260 10 2
1481773994780 1 2
1481773996564 8 2
1481773998316 2 1
1481773999732 12 2
1481774001571 2 1
1481774003331 3 1
1481774007580 10 -2
1481774008812 1 -1
1481774009948 2 -2
1481774010357 3 -1
1481774010900 12 -2
1481774011508 1 -1
1481774012124 8 -2
1481774012972 5 3
1481774014228 11 2
1481774017044 11 -2
1481774017748 9 4
1481774018587 11 2
1481774021332 R
1481774024988 10 -2
1481774027468 10 2
1481774033100 2 -1
1481774035019 1 -1
1481774042148 10 -2
1481774042844 9 -4
1481774045396 10 2
1481774051100 1 2
1481774053451 8 1
1481774056116 12 1
1481774057756 4 -1
1481774061228 2 2
1481774062494 11 -1
1481774070843 7 2
1481774073131 7 -2
1481774083636 3 -1
1481774084683 11 1
1481774085748 2 -2
1481774087394 3 1
1481774089747 4 1
1481774091957 1 -2
1481774092541 R
1481774104044 4 -1
1481774104508 2 -1
1481774105947 3 -1
1481774106755 12 -1
1481774111212 10 -2
1481774111716 9 -4
1481774118388 10 2
1481774119308 1 1
1481774120315 8 1
1481774123189 12 2
1481774123947 2 2
1481774125259 11 -1
1481774132676 7 2
1481774135580 7 -2
1481774136628 3 1
1481774139115 11 1
1481774139860 11 -1
1481774142371 11 1
1481774147445 2 -2
1481774148309 10 -2
1481774149781 1 -2
1481774150899 12 -1
1481774154438 3 -1
1481774154867 12 -1
1481774155555 8 -2
1481774156292 5 3
1481774157651 11 2
1481774159044 0 1
1481774162460 11 -1
1481774163213 6 1
1481774164020 4 -1
1481774164510 3 -1
1481774175235 1 -1
1481774178886 11 1
1481774180495 7 1
1481774181355 6 2
1481774183467 2 -1
1481774186372 10 -1
1481774189748 1 1
1481774190291 10 1
1481774192060 3 1
1481774194339 3 -1
1481774195676 1 -1
1481774196636 10 -1
1481774202508 7 2
1481774204555 11 -1
1481774205325 9 4
1481774206621 11 1
1481774207365 6 1
1481774208085 7 -3
1481774213524 10 1
1481774214004 1 1
1481774216004 3 1
1481774217222 4 1
1481774217624 2 1
1481774218804 7 1
1481774219653 6 -4
1481774220518 7 -1
1481774222452 0 -1
1481774223651 11 -2
1481774224500 5 -3
1481774225269 9 -4
1481774240876 5 3
1481774244244 11 2
1481774245364 R
