1480324481523 R
1480324491322 4 -1
1480324492090 3 -1
1480324492906 12 -1
1480324498178 2 -1
1480324502538 1 -1
1480324503986 8 -1
1480324506354 8 1
1480324506794 1 1
1480324507355 12 1
1480324508082 2 1
1480324510194 R
1480324514146 2 -1
1480324517370 1 -1
1480324520211 10 -2
1480324521042 1 1
1480324521970 2 1
1480324522682 2 -1
1480324525466 9 -4
1480324527033 1 -1
1480324527873 8 1
1480324531442 1 2
1480324532618 12 1
1480324533674 2 2
1480324534530 11 -1
1480324535442 10 2
1480324540882 10 -2
1480324542210 1 -1
1480324545273 1 1
1480324545937 11 1
1480324546689 2 -2
1480324548257 1 -2
1480324549010 12 -1
1480324550098 8 -1
1480324550842 5 2
1480324553354 5 -2
1480324554226 8 1
1480324555378 10 2
1480324557401 1 2
1480324560585 4 -1
1480324563729 3 -1
1480324564577 12 -1
1480324569738 10 -2
1480324571674 1 -2
1480324572761 5 2
1480324575258 8 -2
1480324575898 5 1
1480324576889 11 2
1480324579769 0 1
1480324581545 11 -1
1480324583457 6 1
1480324585066 4 -1
1480324585594 3 -1
1480324587034 1 -1
1480324592353 11 1
1480324592945 11 -1
1480324593593 9 4
1480324594337 11 1
1480324595601 7 1
1480324596945 6 3
1480324600362 7 -1
1480324600921 2 -1
1480324603802 10 -1
1480324613057 7 3
1480324614985 7 -3
1480324616250 11 -1
1480324617456 9 -3
1480324623172 10 1
1480324624073 10 -1
1480324625705 9 3
1480324626554 11 1
1480324628449 7 3
1480324630769 6 -2
1480324631945 7 -2
1480324634129 7 2
1480324634913 11 -1
1480324635512 9 -4
1480324636345 11 1
1480324638329 7 -2
1480324686457 1 1
1480324687105 3 1
1480324693682 6 1
1480324694626 6 -1
1480324696818 10 1
1480324697313 10 -1
1480324701337 R
1480324869928 R
1480324871016 R
1480324872063 R
1480324872231 R
1480324872327 R
1480324872416 R
1480324882152 10 -2
1480324883192 9 -4
1480324884920 10 2
1480324886087 1 1
1480324886751 8 1
1480324888295 2 -1
1480324889199 12 1
1480324890095 2 2
1480324893591 4 -1
1480324894327 2 -2
1480324896087 3 -1
1480324896959 10 -2
1480324898022 5 1
1480324898912 9 2
1480324899720 1 -2
1480324900320 5 1
1480324901063 12 -2
1480324903167 9 1
1480324907914 8 -1
1480324909423 8 1
1480324911207 8 -2
1480324911823 5 1
1480324913065 11 2
1480324914639 7 1
1480324915238 7 -1
1480324916327 0 1
1480324917008 6 1
1480324918127 4 -1
1480324918593 3 -1
1480324919991 1 -1
1480324920935 1 1
1480324944591 1 -1
1480324947007 9 1
1480324948638 11 -1
1480324950727 9 -4
1480324955919 1 1
1480324956527 1 -1
