1481774585140 R
1481774589003 4 -1
1481774590882 2 -1
1481774596090 10 -2
1481774597906 5 1
1481774600442 1 -1
1481774602362 5 -1
1481774604386 10 2
1481774606464 10 -2
1481774608274 9 -4
1481774611890 10 2
1481774613630 1 2
1481774615041 8 1
1481774629090 10 -2
1481774633691 12 1
1481774634873 12 -1
1481774636609 1 -2
1481774639177 10 2
1481774645642 9 1
1481774653193 3 -1
1481774653914 U
1481774668809 10 -2
1481774670681 5 2
1481774672713 9 2
1481774677473 4 1
1481774684305 5 -2
1481774685721 10 1
1481774687889 1 1
1481774690177 2 1
1481774699632 9 -3
1481774701465 10 1
1481774703632 1 1
1481774705169 12 1
1481774715202 4 -1
1481774716717 2 -1
1481774719980 3 -1
1481774725576 10 -2
1481774727416 10 2
1481774729480 12 -2
1481774734545 1 -2
1481774738480 8 -2
1481774742744 10 -2
1481774744472 5 3
1481774747520 9 4
1481774757424 11 2
1481774760616 7 1
1481774761992 0 1
1481774763288 7 -1
1481774767192 9 -1
1481774771778 6 1
1481774772928 4 -1
1481774773920 3 -1
1481774775624 1 -1
1481774786872 1 1
1481774788311 3 1
1481774789815 4 1
1481774791307 6 -1
1481774797192 U
1481774801459 11 -1
1481774803407 9 -3
1481774806967 11 1
1481774812323 11 -1
1481774816463 4 -1
1481774818839 3 -1
1481774820711 1 -1
1481774822839 11 1
1481774825167 7 1
1481774826095 7 -1
1481774828528 1 1
1481774832007 11 -1
1481774837893 1 -1
1481774844245 11 1
1481774849169 7 1
1481774850470 6 2
1481774853150 2 -1
1481774856082 10 -1
1481774860526 6 -1
1481774867926 10 1
1481774876055 1 1
1481774892071 R
1481774897470 2 -1
1481774901062 4 -1
1481774902782 3 -1
1481774904454 12 -1
1481774910350 10 -2
1481774911502 5 1
1481774915270 9 -4
1481774918014 8 1
1481774919806 1 1
1481774922678 5 -1
1481774924390 10 2
1481774928286 2 1
1481774936710 12 2
1481774938677 2 1
1481774945638 3 1
1481774946742 4 1
1481774961189 4 -1
1481774963977 2 -2
1481774967311 3 -1
1481774968806 12 -2
1481774973869 10 -2
1481774975653 1 -2
1481774978033 5 2
1481774982846 5 -2
