1481776499303 R
1481776525031 4 -1
1481776525754 3 -1
1481776540871 12 -1
1481776546257 10 -2
1481776547478 9 -4
1481776548776 1 1
1481776560064 8 1
1481776561084 1 -1
1481776562575 5 1
1481776563447 9 3
1481776565700 R
1481776573229 10 -2
1481776577142 9 -4
1481776581144 8 1
1481776586805 1 1
1481776588142 1 -1
1481776591734 4 -1
1481776592769 3 -1
1481776594389 12 -1
1481776595649 2 -1
1481776597639 1 -1
1481776600430 5 2
1481776603300 8 -2
1481776604640 5 1
1481776607223 11 2
1481776608658 0 1
1481776617081 6 1
1481776618662 4 -1
1481776619424 3 -1
1481776620672 1 -1
1481776627856 1 1
1481776628958 3 1
1481776630031 4 1
1481776631164 6 -1
1481776635471 0 -1
1481776639346 R
1481776665735 4 -1
1481776667376 3 -1
1481776669835 12 -1
1481776670987 2 -1
1481776675603 10 -2
1481776677535 9 -4
1481776679741 10 2
1481776681429 1 1
1481776683049 8 1
1481776691559 12 2
1481776693100 2 2
1481776695718 3 1
1481776699787 4 1
1481776701465 4 -1
1481776702636 3 -1
1481776703514 2 -2
1481776705505 12 -2
1481776709213 1 -2
1481776710726 10 -2
1481776713879 8 -2
1481776714754 5 3
1481776719266 11 2
1481776726039 7 1
1481776727209 0 1
1481776730059 6 3
1481776731523 0 -1
1481776734782 4 -1
1481776736880 3 -1
1481776740120 1 -1
1481776741106 2 -1
1481776742686 10 -1
1481776744570 7 2
1481776745819 11 -2
1481776747459 9 4
1481776749284 6 1
1481776751831 11 2
1481776759871 7 -3
1481776762232 11 -2
1481776764780 9 -3
1481776766897 5 -2
1481776770282 5 2
1481776772255 11 1
1481776777047 11 -1
1481776779048 5 -2
1481776782855 8 2
1481776785361 1 3
1481776786563 12 2
1481776787272 3 2
1481776789686 10 -1
1481776791805 10 2
1481776792354 2 3
1481776795786 11 -2
1481776802069 11 2
1481776804003 3 -2
1481776805029 2 -3
1481776813634 12 -2
1481776815325 1 -3
1481776820260 8 -2
1481776821055 5 2
1481776824330 5 -2
1481776825521 8 2
