1482131840604 R
1482131878932 10 -1
1482131885252 10 1
1482131914948 10 -2
1482131921161 9 -4
1482131923020 1 1
1482131924272 8 1
1482131930061 10 2
1482131933492 2 -1
1482131944317 2 1
1482131946430 4 -1
1482131946990 4 1
1482131948821 4 -1
1482131951667 2 -1
1482131952701 3 -1
1482131953652 12 -1
1482131955157 2 1
1482131959588 2 -1
1482131961131 2 1
1482131969398 10 -2
1482131970999 1 -1
1482131975805 1 1
1482131977496 10 2
1482131980658 9 1
1482131982513 9 -1
1482132003793 10 -2
1482132004854 5 1
1482132005645 5 -1
1482132007322 9 2
1482132008388 9 -2
1482132009456 1 -1
1482132010198 8 -2
1482132012502 5 1
1482132015229 5 -1
1482132018997 9 4
1482132021473 5 1
1482132023910 8 1
1482132024570 8 -1
1482132033680 2 -1
1482132039046 1 -1
1482132040462 5 2
1482132044381 11 2
1482132047493 11 -2
1482132060031 11 2
1482132062830 9 -1
1482132066662 9 1
1482132067702 11 -2
1482132069232 11 2
1482132071291 11 -2
1482132072764 5 -3
1482132074984 5 3
1482132082388 11 2
1482132088781 9 -1
1482132098516 11 -2
1482132099296 11 2
1482132100270 9 1
1482132107093 0 1
1482132115678 11 -1
1482132126612 9 -4
1482132129415 11 1
1482132132684 7 1
1482132137398 0 -1
1482132139289 7 -1
1482132141758 11 -2
1482132149838 11 2
1482132155688 11 -2
1482132156977 11 2
1482132159355 11 -2
1482132160416 5 -3
1482132163849 9 4
1482132167840 10 2
1482132169285 10 -2
1482132172472 5 3
1482132173268 9 -4
1482132174469 11 2
1482132177798 7 1
1482132180231 7 -1
1482132181126 0 1
1482132184570 11 -1
1482132186707 11 1
1482132191814 7 1
1482132197225 0 -1
1482132197920 7 -1
1482132198967 11 -2
1482132200572 11 2
1482132201523 11 -2
1482132202459 11 2
1482132203785 11 -2
1482132204799 5 -2
1482132209566 5 -1
1482132210994 5 2
1482132213573 5 -2
1482132215205 8 2
1482132216614 8 -2
1482132217667 1 2
1482132220173 8 2
1482132222650 10 2
1482132223783 2 1
1482132228062 12 2
1482132229628 2 1
1482132235421 3 1
1482132236474 4 1
1482132238780 4 -1
1482132239833 3 -1
1482132241112 2 -2
1482132242189 2 2
1482132243109 3 1
1482132248745 2 -2
1482132250629 2 2
1482132251401 11 -1
1482132257866 1 -1
1482132263828 10 -2
1482132271705 11 1
1482132272294 11 -1
1482132273465 5 1
1482132274213 5 -1
1482132275539 1 1
1482132276098 1 -1
1482132276814 1 1
1482132278441 1 -1
1482132280760 3 -1
1482132282295 11 1
1482132284713 11 -1
1482132286332 11 1
1482132287077 2 -2
1482132288231 1 -1
1482132291822 5 2
1482132296237 12 -2
1482132297813 8 -2
1482132303036 5 1
1482132305133 11 2
1482132310800 11 -2
1482132312926 5 -3
1482132314845 10 2
1482132316639 1 2
1482132317462 8 2
1482132319001 12 2
1482132320681 12 -2
1482132322787 2 1
1482132324394 2 -1
1482132329138 1 -2
1482132330875 8 -2
1482132333558 8 2
1482132334710 1 2
1482132343766 2 1
1482132344888 2 -1
1482132347072 12 2
1482132351767 1 -2
1482132355309 3 1
1482132356434 12 -1
1482132359701 10 -2
1482132361334 5 2
1482132364108 5 -2
1482132367213 12 1
1482132368118 1 1
1482132370661 1 1
1482132384045 2 2
1482132385174 4 1
1482132387858 2 -2
1482132388714 12 -1
1482132389914 1 -2
1482132391660 5 2
1482132393295 8 -1
1482132397242 8 1
1482132398053 5 -2
1482132400440 12 1
1482132401304 1 2
1482132407030 1 -2
