1482364282297 R
1482364284656 0 1
1482364285833 5 3
1482364286913 4 -1
1482364287769 7 -1
1482364290040 0 -1
1482364291528 3 2
1482364293152 8 -3
1482364295656 2 1
1482364297064 5 1
1482364298248 8 2
1482364299138 0 2
1482364303488 5 -3
1482364304360 2 -1
1482364306664 8 1
1482364307344 3 -3
1482364310224 6 1
1482364310992 1 1
1482364316736 3 1
1482364317592 5 2
1482364318544 0 -2
1482364319824 7 1
1482364323791 0 1
1482364324680 5 -2
1482364326041 3 -1
1482364327968 9 -1
1482364330410 7 -1
1482364332793 1 -1
1482364335960 9 -1
1482364337648 6 -2
1482364339841 10 -1
1482364342176 6 4
1482364347856 1 1
1482364356249 1 -1
1482364361945 1 1
1482364362864 6 -4
1482364364784 10 1
1482364366272 9 2
1482364367448 1 -1
1482364368648 0 1
1482364369456 3 3
1482364372177 8 -1
1482364374208 8 1
1482364374928 3 -3
1482364379841 3 3
1482364383144 5 2
1482364384393 0 -2
1482364385568 7 1
1482364387208 6 1
1482364392072 8 -3
1482364394072 2 1
1482364395431 3 -2
1482364396943 3 2
1482364398463 3 -2
1482364399351 1 1
1482364400607 6 1
1482364401367 6 -2
1482364403390 7 -1
1482364404671 1 -1
1482364406231 3 2
1482364408110 8 2
1482364409790 0 2
1482364412167 5 1
1482364415135 5 -3
1482364415871 2 -1
1482364416911 8 1
1482364417582 3 -3
1482364420007 9 -1
1482364420854 9 1
1482364424687 1 1
1482364426255 6 2
1482364428975 3 1
1482364431711 6 -2
1482364432846 1 -1
1482364434982 3 -1
1482364437302 0 -1
1482364441126 7 2
1482364442326 4 1
1482364443183 6 2
1482364443967 1 1
1482364446054 5 -1
1482364446934 0 -1
1482364449631 7 -1
1482364450662 3 1
1482364453990 6 -2
1482364454991 1 -1
1482364455568 3 2
1482364459031 8 -3
1482364460568 2 1
1482364461511 3 -3
1482364463519 9 -1
1482364466599 6 2
1482364467423 1 1
1482364468407 4 2
1482364469543 8 -1
1482364470279 0 1
1482364472007 2 -1
1482364476175 6 -1
1482364477136 9 1
1482364480623 3 1
1482364483391 2 1
1482364484536 5 4
1482364485686 0 -1
1482364487007 8 1
1482364487918 3 -1
1482364489551 4 -3
1482364490910 7 -1
1482364491806 1 -1
1482364492750 6 -1
1482364496750 9 -2
1482364498447 10 -3
1482364502399 6 4
1482364503895 1 3
1482364504974 9 2
1482364506791 7 2
1482364508585 4 3
1482364509782 8 -1
1482364510502 7 -1
1482364511295 1 -2
1482364512310 6 -3
1482364513966 9 -1
1482364516550 2 3
1482364517653 9 1
1482364523925 8 1
1482364524709 4 -3
1482364525998 7 -1
1482364526982 1 -1
1482364529949 9 -2
1482364531149 10 3
1482364532413 9 2
1482364533421 3 3
1482364537222 8 3
1482364539741 6 -1
1482364545637 0 2
1482364546901 8 -1
1482364547805 5 -3
1482364550661 6 1
1482364552061 8 1
1482364552685 3 -3
1482364554557 6 -1
1482364555581 1 1
1482364556909 9 -1
1482364557599 2 -1
1482364559341 6 2
1482364560813 1 -1
1482364565340 2 1
1482364566317 9 1
1482364568509 6 -2
1482364569814 3 3
1482364571245 0 -1
1482364572621 3 -3
1482364578877 9 -2
1482364580589 10 -1
1482364581206 2 -1
1482364582261 6 4
1482364584526 1 1
1482364587558 1 -1
1482364590918 6 -4
1482364593374 1 1
1482364600421 2 1
1482364600966 10 1
1482364604845 9 2
1482364606070 1 -1
1482364607141 0 1
1482364614269 9 -1
1482364615222 2 -1
1482364623349 6 2
1482364624247 1 1
1482364627373 2 1
1482364628445 9 1
1482364630413 3 1
1482364631541 5 3
1482364633557 3 -1
1482364634517 0 -2
1482364639837 9 -2
1482364640541 10 -1
1482364641236 2 -1
1482364642205 6 2
1482364644597 1 -1
1482364649173 6 -4
1482364650765 10 1
1482364651477 2 1
1482364653141 9 2
1482364654733 3 3
1482364657477 0 2
1482364660501 8 -1
1482364661252 5 -3
1482364666253 6 1
1482364668845 8 1
1482364669693 3 -3
1482364673652 6 -1
1482364675333 9 -1
1482364677172 2 -1
1482364682381 1 1
1482364683301 6 2
1482364686100 2 1
1482364687078 9 1
1482364688333 1 -1
1482364689444 6 -2
1482364690332 3 3
1482364693878 5 3
1482364694877 3 -3
1482364697573 9 -1
1482364698885 2 -1
1482364701462 0 -2
1482364702700 9 -1
1482364703877 2 1
1482364704724 9 2
1482364707812 1 1
1482364709508 6 2
1482364711292 7 2
1482364712942 4 3
1482364714596 0 1
1482364717067 4 -3
1482364719004 6 -2
1482364721228 7 -2
1482364725132 3 1
1482364725876 0 -1
1482364728259 7 1
1482364728924 1 -1
1482364730196 3 2
1482364734588 6 1
1482364743236 0 1
1482364744668 8 -1
1482364745427 5 -2
1482364746726 5 -1
1482364748100 6 -1
1482364751189 7 -1
1482364756195 5 3
1482364758067 8 1
1482364759125 3 -3
1482364761260 9 -2
1482364761995 10 -1
1482364762851 2 -1
1482364764651 6 4
1482364769083 1 1
1482364770931 0 -1
1482364773778 1 -1
1482364775530 6 -4
1482364777274 1 1
1482364780866 0 1
1482364784314 1 -1
1482364785514 10 1
1482364786362 2 1
1482364787938 9 2
1482364789346 0 1
1482364792410 0 -2
1482364801819 7 2
1482364802698 1 1
1482364803578 6 2
1482364804450 4 3
1482364805586 7 -1
1482364806370 6 -1
1482364810066 3 1
1482364811138 5 -1
1482364814778 6 1
1482364819513 0 1
1482364820626 5 -3
1482364822107 3 -1
1482364823124 0 -1
1482364824731 0 1
1482364826371 9 -1
1482364828026 6 -1
1482364831467 0 -1
1482364838538 4 -2
1482364839363 6 -1
1482364841243 1 -1
1482364845331 0 1
1482364846819 5 1
1482364847674 4 -1
1482364848699 7 -1
1482364851082 1 1
1482364851883 6 2
1482364853811 7 1
1482364854722 9 1
1482364856730 7 -1
1482364857498 1 -1
1482364859202 6 -2
1482364864083 7 2
1482364864826 4 1
1482364865594 5 -1
1482364866754 0 -1
1482364868083 7 -1
1482364916682 7 1
1482364918137 6 2
1482364919865 1 1
1482364920809 0 1
1482364922257 4 2
1482364925786 6 -1
1482364928186 7 -1
1482364928826 9 -1
1482364930465 2 -1
1482364938105 4 -2
1482364939025 6 -1
1482364939681 1 -1
1482364941426 2 1
1482364942577 9 1
1482364943468 3 3
1482364945185 8 -1
1482364947435 5 4
1482364949057 4 -1
1482364949993 7 -1
1482364952153 8 1
1482364953145 3 -3
1482364959049 9 -2
1482364960977 10 -1
1482364961634 2 -1
1482364963017 6 4
1482364964841 1 1
1482364969665 6 -4
1482364970705 1 -1
1482364971473 10 1
1482364972105 2 1
1482364973225 9 2
1482364974337 0 1
1482364989032 R
1482364994063 3 -1
1482364996752 6 -1
1482364999568 9 -1
1482365002560 6 2
1482365003280 1 1
1482365003903 4 2
1482365006760 6 -1
1482365009856 0 1
1482365012391 9 1
1482365013008 7 1
1482365013983 4 -2
1482365014911 6 -1
1482365018656 7 -1
1482365022479 5 1
1482365023063 4 -1
1482365023720 7 -1
1482365025855 9 -2
1482365027071 10 -1
1482365029439 6 4
1482365034023 1 -1
1482365042775 6 -4
1482365044455 10 1
1482365045192 9 2
1482365047167 7 2
1482365048463 4 1
1482365049128 5 -1
1482365049920 0 -1
1482365050552 7 -1
1482365051152 3 3
1482365052360 0 1
1482365053648 8 -1
1482365056984 5 3
1482365058680 4 -1
1482365060281 7 -1
1482365065352 0 -1
1482365066528 8 -2
1482365068176 3 -2
1482365070255 1 1
1482365071000 6 2
1482365071920 7 1
1482365072914 4 3
1482365073825 8 -1
1482365075079 6 -1
1482365079048 0 1
1482365080047 5 -3
1482365083319 0 -1
1482365084178 3 -1
1482365085511 0 1
1482365086761 2 1
1482365089032 5 1
1482365090599 3 1
1482365091767 6 1
1482365128207 6 -1
1482365129999 3 -1
1482365131991 9 -1
1482365132751 2 3
1482365134239 2 -4
1482365136775 2 4
1482365138015 9 1
1482365139639 5 -1
1482365141304 7 1
1482365142039 6 1
1482365144182 0 -1
1482365145463 8 1
1482365146335 4 -2
1482365150351 6 -2
1482365152703 7 -1
1482365153599 1 -1
1482365156431 3 3
1482365157934 8 3
1482365159583 3 -3
1482365161695 6 2
1482365162430 7 1
1482365163511 0 1
1482365164295 5 1
1482365164825 4 -1
1482365166430 6 -2
1482365168798 7 -2
1482365169606 0 1
1482365170614 3 3
1482365171951 8 -1
1482365174358 5 3
1482365175247 8 1
1482365175742 3 -3
1482365177719 1 1
1482365178670 9 -1
1482365180895 6 2
1482365182406 1 -1
1482365183446 0 -2
1482365185358 7 1
1482365186225 9 1
1482365188127 7 -1
1482365190230 6 -2
1482365193702 9 -2
1482365194342 10 -1
1482365194927 2 -1
1482365195625 6 4
1482365198424 1 1
1482365202342 1 -1
1482365205446 6 -4
1482365206846 10 1
1482365207606 2 1
1482365208806 9 2
1482365209814 3 3
1482365210902 0 2
1482365212709 5 -3
1482365214133 3 -3
1482365216070 3 3
1482365217462 3 -3
1482365218717 9 -1
1482365220110 2 -1
1482365222558 0 -1
1482365223526 9 -1
1482365225006 10 -1
1482365226838 6 4
1482365233670 6 -4
1482365235909 1 1
1482365243134 10 1
1482365243742 2 1
1482365245550 9 2
1482365246407 1 -1
1482365250845 7 2
1482365252364 6 2
1482365253372 1 1
1482365256732 7 -2
1482365257581 3 1
1482365258260 0 1
1482365260484 5 3
1482365261941 3 -1
1482365264460 6 -2
1482365266356 9 -1
1482365267228 2 -1
1482365271260 0 -2
1482365273044 1 -1
1482365275637 9 -1
1482365277877 10 -1
1482365279260 1 1
1482365280412 6 4
1482365283844 1 -1
1482365285284 0 1
1482365287740 6 -4
1482365290837 1 1
1482365297244 1 -1
1482365298324 10 1
1482365298844 2 1
1482365300980 1 1
1482365301956 6 2
1482365303204 9 2
1482365304092 7 2
1482365305404 4 3
1482365306876 7 -1
1482365307764 9 -1
1482365308531 6 -1
1482365311388 4 -3
1482365312725 4 3
1482365314132 6 1
1482365314837 9 1
1482365315797 7 1
1482365320020 6 -1
1482365322909 7 -1
1482365324029 9 -1
1482365325317 2 -1
1482365326948 0 -1
1482365328692 4 -3
1482365331741 6 -1
1482365334268 1 -1
1482365335589 7 -1
1482365337005 9 -1
1482365337997 10 -1
1482365340524 6 4
1482365342604 1 1
1482365344916 0 1
1482365347637 1 -1
1482365358548 6 -3
1482365360013 10 1
1482365360460 2 1
1482365361260 9 2
1482365363381 1 1
1482365364357 7 2
1482365365644 6 1
1482365366964 4 3
1482365368964 0 -1
1482365370148 7 -1
1482365371172 6 -1
1482365371987 4 -3
1482365373819 1 -1
1482365377899 9 -1
1482365379451 9 1
1482365379987 3 3
1482365381643 0 1
1482365382508 5 -3
1482365384539 3 -3
1482365385931 7 -1
1482365387180 6 -1
1482365388843 0 1
1482365392435 3 3
1482365395443 0 -1
1482365396291 7 1
1482365397147 6 1
1482365398402 3 -3
1482365399723 1 1
1482365401275 7 1
1482365402379 6 1
1482365405315 1 -1
1482365406146 6 -2
1482365407058 7 -2
1482365407858 0 1
1482365408875 3 3
1482365410475 0 -1
1482365413498 8 -1
1482365415764 8 1
1482365418164 3 -3
1482365419243 0 1
1482365420842 6 2
1482365421587 1 1
1482365431706 6 -2
1482365434178 1 -1
1482365436938 3 3
1482365437946 8 -1
1482365441779 6 1
1482365443930 8 1
1482365444563 3 -3
1482365446522 9 -1
1482365448210 9 1
1482365449739 0 -1
1482365451394 9 -2
1482365452266 10 -1
1482365452970 2 -1
1482365454211 6 3
1482365455962 1 1
1482365459858 6 -4
1482365462034 10 1
1482365462706 2 1
1482365464250 9 2
1482365465018 1 -1
1482365467834 0 1
1482365468513 3 3
1482365469970 8 -1
1482365471866 5 3
1482365472722 0 -2
1482365474490 8 1
1482365475339 3 -3
1482365477874 9 -2
1482365478666 10 -1
1482365479796 2 -1
1482365480698 1 1
1482365483613 6 4
1482365485794 1 -1
1482365490178 0 1
1482365491866 1 1
1482365495274 6 -4
1482365497106 10 1
1482365498153 2 1
1482365499313 9 2
1482365500162 7 2
1482365501297 1 -1
1482365501905 7 -2
1482365504273 6 2
1482365505473 9 -2
1482365506257 10 -1
1482365506897 2 -1
1482365507833 6 2
1482365510466 0 -1
1482365512049 1 1
1482365514817 6 -4
1482365517458 2 1
1482365518113 10 1
1482365519290 9 2
1482365520257 7 2
1482365522897 7 -2
1482365523665 3 1
1482365525722 0 2
1482365526673 1 -1
1482365529059 3 -1
1482365532921 9 -1
1482365533769 2 -1
1482365535169 6 2
1482365536433 1 1
1482365538681 1 -1
1482365539529 6 -2
1482365540337 0 -2
1482365541937 9 -1
1482365543162 10 -1
1482365545929 6 4
1482365547985 1 1
1482365552073 6 -4
1482365552929 1 -1
1482365553849 0 1
1482365555169 1 1
1482365555860 10 1
1482365556729 2 1
1482365557538 9 2
1482365558994 0 1
1482365562065 3 1
1482365563890 5 -3
1482365566354 1 -1
1482365567106 3 2
1482365568618 8 -1
1482365570466 0 -1
1482365571441 7 1
1482365572209 4 1
1482365573242 5 -1
1482365574506 0 -1
1482365575874 8 1
1482365576418 3 -3
1482365578385 9 -1
1482365579393 2 -1
1482365581561 0 1
1482365582442 5 1
1482365583497 4 -1
1482365584633 7 -1
1482365586866 9 -1
1482365587650 10 -1
1482365593561 6 4
1482365595209 1 1
