1481810370829 R
1481810376837 3 -1
1481810379404 6 -1
1481810380292 1 1
1481810389012 1 -1
1481810392516 3 3
1481810394628 0 1
1481810396701 0 -1
1481810398564 8 -3
1481810399385 3 -3
1481810400732 7 1
1481810406382 6 2
1481810406998 6 -2
1481810414164 7 -1
1481810415476 3 3
1481810416733 8 3
1481810418780 3 -3
1481810424884 0 1
1481810425824 5 1
1481810426749 4 -1
1481810427804 7 -1
1481810431861 3 2
1481810433300 5 2
1481810438548 3 -1
1481810440582 1 1
1481810442764 5 -2
1481810446190 3 -1
1481810451812 1 -1
1481810456820 3 2
1481810457758 5 2
1481810460508 0 1
1481810463124 3 -1
1481810468661 5 -2
1481810470492 3 -1
1481810474278 1 1
1481810477396 1 -1
1481810481676 3 3
1481810483485 0 -1
1481810485548 8 -1
1481810487380 2 1
1481810492301 5 3
1481810496349 0 -1
1481810500572 8 -2
1481810502288 3 -3
1481810507109 1 1
1481810510756 3 1
1481810511893 5 -1
1481810514365 7 1
1481810515212 4 2
1481810520221 5 1
1481810521036 3 -1
1481810522089 7 1
1481810530060 4 -2
1481810531276 7 -2
1481810533612 3 1
1481810534413 3 -1
1481810535260 1 -1
1481810538558 3 3
1481810540948 5 -1
1481810541902 2 -1
1481810543773 3 -2
1481810545061 1 1
1481810549028 2 1
1481810569390 6 2
1481810570604 1 -1
1481810572565 3 1
1481810574756 5 1
1481810575715 3 -2
1481810577023 1 1
1481810582228 1 -1
1481810582924 6 -2
1481810586246 3 3
1481810587878 8 2
1481810594372 0 2
1481810601932 5 -3
1481810608012 2 -1
1481810609736 8 1
1481810610599 3 -3
1481810613359 1 1
1481810615318 6 2
1481810616900 6 -2
1481810625764 0 -1
1481810627060 7 2
1481810628452 1 -1
1481810629404 7 -2
1481810632364 0 1
1481810644908 6 2
1481810646085 1 1
1481810647948 3 1
1481810650212 5 2
1481810651413 0 -2
1481810652333 7 1
1481810653365 1 -1
1481810655005 6 -2
1481810656676 7 -1
1481810658223 0 2
1481810661584 3 2
1481810663437 0 -2
1481810665626 0 2
1481810670804 3 -1
1481810673468 3 -1
1481810676999 1 1
1481810687532 5 -2
1481810688398 3 -1
1481810691924 9 -1
1481810697524 9 1
1481810701020 1 -1
1481810705749 R
1481810715380 3 2
1481810718277 0 1
1481810720199 5 3
1481810722341 4 -1
1481810725596 3 -2
1481810728422 5 -2
1481810729332 3 -1
1481810730727 1 1
1481810736836 1 -1
1481810738990 6 -1
1481810739796 7 -1
1481810743420 0 1
1481810746156 3 3
1481810747317 5 2
1481810751940 0 -2
1481810754348 0 2
1481810763741 5 -2
1481810765282 3 -3
1481810774961 3 3
1481810776045 8 -1
1481810778812 2 1
1481810781797 2 -1
1481810782926 8 1
1481810783720 3 -3
1481810785749 1 1
1481810792140 6 2
1481810795489 3 1
1481810796237 5 2
1481810800244 1 -1
1481810801164 6 -2
1481810803318 3 2
1481810804118 0 -2
1481810805380 8 -3
1481810807045 3 -2
1481810810101 2 1
1481810811080 3 2
1481810815886 7 1
1481810817276 4 1
1481810820702 4 -1
1481810821492 7 -1
1481810824997 3 -2
1481810833746 3 2
1481810834846 8 2
1481810835884 0 2
1481810837852 5 -2
1481810839686 2 -1
1481810851732 2 1
1481810854893 0 -1
1481810856269 7 1
1481810859524 4 1
1481810860516 5 -1
1481810861326 0 -1
1481810862812 8 -2
1481810866853 2 -1
1481810869485 3 -3
1481810880467 3 3
1481810889917 3 -3
1481810892022 3 3
1481810894225 8 3
1481810896884 0 1
1481810897957 3 -3
1481810899037 7 1
1481810901116 5 1
1481810901958 4 -1
1481810902972 7 -2
1481810904116 0 1
1481810906084 0 -1
1481810907309 7 2
1481810911740 1 1
1481810914589 7 -2
1481810915452 1 -1
1481810916741 0 1
1481810918887 0 -1
1481810920148 7 2
1481810921094 1 1
1481810922190 6 2
1481810935708 1 -1
1481810936573 7 -2
1481810937256 6 -2
1481810940949 3 3
1481810942868 8 -1
1481810944310 8 1
1481810946380 0 1
1481810949293 0 -1
1481810952420 0 1
1481810953358 5 2
1481810959541 3 -2
1481810960671 0 -2
1481810973517 6 2
1481810974333 1 1
1481810975279 7 1
1481810977077 4 3
1481810979052 0 1
1481810981536 4 -3
1481810983549 1 -1
1481810985479 1 1
1481810988476 5 -2
1481810989158 4 3
1481810990908 5 -1
1481810992063 3 -1
1481810998756 4 -2
1481811000140 1 -1
1481811003614 3 2
1481811005493 0 -1
1481811008612 3 -2
1481811010365 7 1
1481811011509 1 1
1481811012543 6 -2
1481811013297 1 -1
1481811040566 7 -1
1481811041005 U
1481811043853 7 -1
1481811044229 U
1481811048253 6 2
