1482686140834 R
1482686144505 0 1
1482686145722 0 -1
1482686152567 7 1
1482686155031 0 3
1482686159505 0 -3
1482686163356 5 -1
1482686166988 7 1
1482686170894 0 3
1482686173956 0 -3
1482686226425 0 1
1482686227319 R
1482686229352 5 -1
1482686230746 7 2
1482686236795 4 -1
1482686243256 6 1
1482686247676 4 1
1482686251495 0 2
1482686252882 0 -1
1482686254006 0 -1
1482686254879 6 -1
1482686255721 1 -1
1482686256624 9 -1
1482686264100 7 -2
1482686265036 2 -1
1482686265862 10 -1
1482686266774 9 3
1482686274546 3 1
1482686276664 4 -2
1482686279244 11 1
1482686281380 8 -1
1482686282908 5 -1
1482686284942 10 -1
1482686290088 2 -2
1482686291366 7 1
1482686298616 9 -1
1482686300104 1 1
1482686301500 9 1
1482686302458 1 -1
1482686312076 7 -1
1482686315280 10 1
1482686318998 7 1
1482686323043 5 1
1482686323965 8 1
1482686324953 11 -1
1482686327566 4 1
1482686329950 12 1
1482686332220 1 1
1482686333816 6 1
1482686334938 12 -1
1482686337097 4 -1
1482686339123 6 -1
1482686344090 4 1
1482686361217 4 -1
1482686400061 4 1
1482686405603 3 -1
1482686409818 7 -1
1482686410809 2 2
1482686411683 4 1
1482686415049 3 1
1482686417171 1 -1
1482686418861 4 -2
1482686424499 2 -2
1482686426244 7 1
1482686428520 1 1
1482686430820 4 1
1482686433577 4 -1
1482686446556 4 1
1482686448231 3 -1
1482686449417 9 -2
1482686451322 10 1
1482686453720 7 1
1482686454982 9 1
1482686458288 1 -1
1482686459387 9 -2
1482686465069 7 -2
1482686466283 10 -1
1482686467593 9 3
1482686469353 7 1
1482686474726 3 1
1482686476369 1 1
1482686481849 3 -1
1482686482823 3 1
1482686484047 12 1
1482686487616 7 -1
1482686491332 9 -1
1482686492300 10 1
1482686493054 5 1
1482686493655 2 2
1482686496398 4 1
1482686497380 0 1
1482686498292 12 -1
1482686503140 3 -1
1482686504668 9 -1
1482686506000 2 1
1482686508244 7 1
1482686510396 0 -1
1482686513515 4 -1
1482686514340 7 -1
1482686518244 5 -1
1482686519172 7 2
1482686522626 4 1
1482686524590 0 3
1482686530233 4 -1
1482686534620 7 -1
1482686535360 10 -1
1482686539344 1 -1
1482686540465 9 -1
1482686557729 9 1
1482686560068 10 1
1482686561901 7 1
1482686567775 4 1
1482686574321 9 -1
1482686577727 7 -1
1482686580657 7 1
1482686581967 4 -1
1482686587049 7 -1
1482686588265 10 -1
1482686591088 9 1
1482686592481 9 -1
1482686596966 10 1
1482686597836 7 1
1482686599207 7 -1
1482686600603 4 1
1482686607136 0 -3
1482686608763 7 -1
1482686609589 4 -1
1482686612231 2 -3
1482686613254 10 -1
1482686615645 9 3
1482686617843 7 1
1482686623456 7 -1
1482686625350 3 1
1482686626969 4 -1
1482686628630 1 1
1482686631053 7 1
1482686633049 6 1
1482686636579 4 1
1482686641902 4 -1
1482686642610 4 1
1482686645486 6 -1
1482686650608 3 -1
1482686651676 1 -1
1482686653781 9 -3
1482686655432 10 1
1482686657038 7 1
1482686660913 9 2
1482686662384 3 1
1482686663530 4 -1
1482686665758 11 3
1482686671511 11 -3
1482686672892 11 3
1482686674770 11 -3
1482686675993 11 3
1482686677983 4 1
1482686679813 4 -1
1482686680624 11 -3
1482686682463 11 3
1482686683897 4 1
1482686688167 3 -1
1482686689383 9 -2
1482686692407 11 1
1482686697209 7 -2
1482686699408 10 -1
1482686703623 7 1
1482686710185 10 1
1482686711066 7 1
1482686712289 11 -1
1482686713506 9 2
1482686717417 3 1
1482686719133 4 -1
1482686721190 11 -3
1482686724899 7 -2
1482686726263 10 -1
1482686727097 9 1
1482686761804 7 1
1482686764779 1 1
1482686767687 9 -1
1482686770741 7 -1
1482686772066 10 1
1482686773873 7 2
1482686776196 4 1
1482686777521 3 -1
1482686778509 6 1
1482686780333 9 -1
1482686784159 7 -2
1482686785078 2 3
1482686787172 7 2
1482686788763 4 1
1482686790257 0 3
1482686791427 4 -1
1482686796095 6 -1
1482686797037 1 -1
1482686798184 9 -1
1482686800661 4 1
1482686804153 4 -1
1482686805945 7 -1
1482686807729 10 -1
1482686810667 4 1
1482686812265 0 -3
1482686813177 4 -1
1482686813971 7 -1
1482686814774 2 -3
1482686816589 7 1
1482686819659 9 3
1482686820937 3 1
1482686821873 1 1
1482686823541 4 -1
1482686826727 6 1
1482686831490 11 1
1482686832463 8 -1
1482686833890 5 -1
1482686834981 10 -1
1482686841955 7 -1
1482686842834 2 2
1482686846739 9 -1
1482686849546 2 -2
1482686850426 7 1
1482686852006 7 -1
1482686853230 10 2
1482686855084 7 2
1482686856085 5 1
1482686857361 8 1
1482686858327 11 -1
1482686859378 4 1
1482686861344 6 -1
1482686862591 3 -1
1482686864033 9 -1
1482686866166 7 -2
1482686866878 2 3
1482686870470 5 1
1482686871857 4 1
1482686872574 7 1
1482686873672 0 3
1482686874902 4 -1
1482686879704 5 -1
1482686880631 7 1
1482686883552 1 -1
1482686884432 9 -1
1482686886367 7 -1
1482686887364 10 -1
1482686892140 4 1
1482686892966 4 -1
1482686894402 4 1
1482686895368 0 -3
1482686896434 7 -1
1482686897298 4 -1
1482686897956 2 -3
1482686899279 9 3
1482686900906 7 1
1482686903572 1 1
1482686904288 3 1
1482686905242 6 1
1482686906066 12 1
1482686907624 7 -1
1482686910477 2 2
1482686913344 4 1
1482686920148 9 -1
1482686921459 10 1
1482686924801 6 -1
1482686925465 12 -1
1482686926501 1 -1
1482686927354 3 -1
1482686928598 3 1
1482686929804 4 -2
1482686931144 2 -2
1482686933226 7 2
1482686936000 1 1
1482686944254 7 -2
1482686947443 2 2
1482686950036 11 1
1482686950972 8 -1
1482686952304 5 -1
1482686953239 2 -2
1482686954173 10 -2
1482686955282 7 1
1482686958352 9 1
1482686960683 1 -1
1482686962332 R
1482686969224 6 1
1482686973534 7 1
1482686974525 7 -1
1482686975271 4 -1
1482686976831 2 -3
1482686977752 5 -1
1482686978710 10 -1
1482686979956 9 2
1482686988141 3 1
1482686989631 4 -1
1482686990815 7 1
1482686997721 7 -1
1482686998649 2 2
1482687001229 4 2
1482687002743 0 1
1482687007192 6 -1
1482687015819 0 -1
1482687018663 4 -2
1482687021338 2 -2
1482687022615 7 1
1482687026701 7 -1
1482687033279 2 1
1482687034643 9 -1
1482687035736 10 1
1482687037021 5 1
1482687038042 2 1
1482687040215 4 2
1482687042703 3 -1
1482687045213 3 1
1482687047987 5 -1
1482687049179 10 -1
1482687050178 9 1
1482687053614 4 -2
1482687055025 11 1
1482687056023 8 -1
1482687056711 5 -1
1482687057808 2 -2
1482687058690 10 -1
1482687059670 7 1
1482687063911 7 -1
1482687064868 2 2
1482687070257 6 1
1482687072157 6 -1
1482687072974 1 -1
1482687075563 9 -1
1482687077332 10 2
1482687079226 2 -2
1482687080238 7 2
1482687084346 11 2
1482687085500 4 1
1482687088300 4 -1
1482687089563 11 -2
1482687090653 7 -2
1482687091745 2 2
1482687098776 2 -2
1482687099346 7 2
1482687103390 11 2
1482687104192 4 1
1482687105152 3 -1
1482687106406 9 -2
1482687107124 11 1
1482687109172 7 -2
1482687110023 2 3
1482687110887 4 2
1482687112610 0 1
1482687113514 8 -1
1482687114839 4 -1
1482687115635 7 2
1482687116632 0 2
1482687117894 11 -1
1482687119928 4 -1
1482687121552 4 2
1482687122828 11 -2
1482687124152 9 1
1482687125580 9 -1
1482687126991 11 2
1482687127870 4 -2
1482687130194 11 1
1482687131082 7 -1
1482687132041 10 -2
1482687134496 8 1
1482687135766 4 1
1482687138120 4 -1
1482687139064 8 -1
1482687140950 4 1
1482687142188 0 -2
1482687143132 7 -1
1482687144075 2 -1
1482687151496 8 1
1482687154311 0 -1
1482687155377 4 -1
