1479959865298 R
1479959874218 R
1479959878361 6 1
1479959883801 7 1
1479959885867 0 3
1479959888806 4 -1
1479959891361 6 -1
1479959892544 1 -1
1479959900013 4 1
1479959902826 4 -1
1479959904087 5 -1
1479959905529 7 1
1479959909073 9 -1
1479959916491 4 1
1479959919234 0 -2
1479959921558 7 -2
1479959922965 2 -1
1479959924315 10 -1
1479959925894 9 2
1479959928230 9 1
1479959931596 3 1
1479959935593 1 1
1479959937361 0 -1
1479959939421 4 -2
1479959940627 2 -2
1479959941750 7 1
1479959947858 4 1
1479959949598 1 -1
1479959951205 3 -1
1479959956271 3 1
1479959957565 4 -1
1479959959920 11 1
1479959967651 1 1
1479959970882 11 -1
1479959973034 4 1
1479959974463 3 -1
1479959983534 R
1479959989034 5 -1
1479959991134 7 2
1479959993007 1 -1
1479959997946 0 3
1479959999734 4 -1
1479960001460 7 -1
1479960004241 7 1
1479960006100 9 -1
1479960050560 9 1
1479960052504 4 1
1479960059726 R
1479960062551 7 1
1479960064361 0 3
1479960073308 4 -1
1479960074796 1 -1
1479960076473 9 -1
1479960077941 5 -1
1479960079266 10 -1
1479960081344 4 1
1479960084302 0 -2
1479960085540 7 -1
1479960086837 2 -1
1479960087792 9 3
1479960092003 3 1
1479960093332 1 1
1479960097597 12 1
1479960138728 R
1479961088804 7 1
1479961094306 0 3
1479961097704 1 -1
1479961099121 9 -1
1479961102460 4 -1
1479961103886 5 -1
1479961104942 10 -1
1479961110369 R
1479961117833 5 -1
1479961119336 7 2
1479961125146 0 3
1479961138946 4 -1
1479961145741 4 1
1479961147198 0 -3
1479961149981 1 -1
1479961157433 9 -1
1479961166404 7 -2
1479961167331 2 -1
1479961168606 10 -1
1479961169835 9 3
1479961176142 3 1
1479961180342 4 -2
1479961181271 2 -2
1479961183570 7 1
1479961189484 4 1
1479961192264 12 1
1479961193825 1 1
1479961199886 12 -1
1479961202054 4 -1
1479961203187 7 -1
1479961204332 2 2
1479961206172 4 2
1479961229917 3 -1
1479961231153 1 -1
1479961232071 9 -3
1479961238601 9 3
1479961244457 9 -3
1479961245992 2 1
1479961247405 7 1
1479961249246 0 3
1479961252439 4 -1
1479961278776 9 1
1479961281076 4 1
1479961282015 0 -3
1479961285454 9 -1
1479961289147 0 3
1479961297610 10 1
1479961298582 7 1
1479961306211 0 -3
1479961309027 7 -1
1479961311553 10 -1
1479961312689 4 -1
1479961314077 7 -1
1479961315618 2 -3
1479961316641 9 3
1479961320118 3 1
1479961325077 7 1
1479961329212 7 -1
1479961330396 2 2
1479961333362 2 -2
1479961335055 4 -1
1479961338757 7 1
1479961343636 4 1
