1480142268887 R
1480142277121 5 -1
1480142279993 10 -1
1480142280505 2 -1
1480142281430 9 2
1480142284322 3 1
1480142286512 4 -2
1480142287321 2 -2
1480142288354 7 1
1480142294474 9 -1
1480142296123 7 -1
1480142297995 7 1
1480142298659 9 1
1480142300803 1 -1
1480142301827 1 1
1480142302443 6 1
1480142306740 6 -1
1480142307252 1 -1
1480142309508 4 1
1480142310045 3 -1
1480142311045 9 -3
1480142314652 10 1
1480142315181 5 1
1480142317838 7 -1
1480142318853 2 3
1480142319693 4 1
1480142320254 7 1
1480142326270 0 3
1480142328015 4 -1
1480142329527 4 1
1480142330775 5 -1
1480142331542 7 1
1480142332399 4 -1
1480142334598 9 1
1480142337263 9 -1
1480142338543 7 -1
1480142339371 4 1
1480142340232 5 1
1480142343160 4 -1
1480142345520 9 1
1480142347064 1 1
1480142347478 6 1
1480142348792 6 -1
1480142349426 1 -1
1480142350106 9 -1
1480142351827 4 1
1480142352633 0 -3
1480142353746 7 -1
1480142354162 4 -1
1480142354930 2 -3
1480142355801 5 -1
1480142356769 10 -1
1480142357770 10 1
1480142358738 7 2
1480142364628 7 -2
1480142365267 10 -1
1480142366595 9 3
1480142369123 3 1
1480142370874 1 1
1480142371635 4 -1
1480142373372 2 2
1480142374148 11 1
1480142375194 8 -1
1480142375811 5 -1
1480142377195 2 -2
1480142378499 10 -1
1480142379603 7 1
1480142382628 1 -1
1480142394086 1 1
1480142394669 6 1
1480142399406 10 1
1480142401102 10 -1
1480142402030 7 -1
1480142409655 9 -1
1480142410408 7 1
1480142412576 9 1
1480142413920 R
1480142416701 0 1
1480142417353 7 1
1480142418265 5 -1
1480142419608 10 -1
1480142422650 6 1
1480142425162 0 2
1480142426075 4 -1
1480142431868 6 -1
1480142432564 1 -1
1480142433132 9 -1
1480142438396 4 1
1480142439854 4 -1
1480142441956 4 1
1480142442805 0 -3
1480142443508 7 -1
1480142444061 4 -1
1480142445454 2 -3
1480142446461 7 1
1480142450479 9 3
1480142452934 7 -1
1480142453815 2 2
1480142454502 4 1
1480142456086 4 -1
1480142456567 2 -2
1480142457087 7 1
1480142458423 9 -3
1480142461144 9 3
1480142463047 3 1
1480142470001 1 1
1480142471425 4 -1
1480142473152 7 -1
1480142474057 2 2
1480142475122 11 1
1480142475897 8 -1
1480142476436 5 -1
1480142482115 1 -1
1480142483787 1 1
1480142485258 6 1
1480142492178 2 -2
1480142492890 7 1
1480142494843 10 -1
1480142496042 7 -1
1480142496586 2 2
1480142498323 2 -2
1480142499723 7 1
1480142502283 6 -1
1480142503549 R
1480142505708 2 -1
1480142506245 5 -1
1480142519478 9 1
1480142521413 3 1
1480142522702 4 -2
1480142523574 11 1
1480142524463 8 -1
1480142524975 5 -1
1480142525518 2 -2
1480142526462 10 -2
1480142527150 7 1
1480142528175 9 1
1480142540456 7 -1
1480142541536 2 2
1480142543689 10 1
1480142545097 5 1
1480142545690 8 1
1480142546417 11 -1
1480142551218 4 2
1480142553978 3 -1
1480142554923 9 -2
1480142555546 2 1
1480142556018 10 1
1480142557075 7 2
1480142567276 0 3
1480142568364 4 -1
1480142569996 7 -1
1480142570732 5 1
1480142573453 4 1
1480142574653 4 -1
1480142576950 6 1
1480142579469 5 -1
1480142579934 10 -1
