1482437926031 R
1482438068839 6 3
1482438070007 6 -4
1482438078063 1 1
1482438079494 5 1
1482438081607 5 -1
1482438082590 1 -2
1482438091655 8 -2
1482438099198 7 2
1482438100406 3 1
1482438103721 0 -1
1482438109456 0 1
1482438114135 6 3
1482438115520 0 -1
1482438116551 2 1
1482438117478 11 -3
1482438118879 12 -1
1482438122376 3 -1
1482438124519 8 1
1482438126087 1 1
1482438127294 6 1
1482438128463 6 -1
1482438129832 1 -1
1482438131638 8 -1
1482438132416 3 1
1482438135496 12 1
1482438136600 11 3
1482438137577 2 -1
1482438138584 0 1
1482438141415 3 -1
1482438142887 7 -2
1482438143687 8 2
1482438145574 7 1
1482438148431 6 -2
1482438161087 U
1482438162695 R
1482438171102 1 1
1482438174110 5 1
1482438175256 6 3
1482438176154 0 -1
1482438177327 4 -2
1482438181536 7 1
1482438182327 7 -1
1482438185391 2 2
1482438188537 2 -2
1482438190183 2 2
1482438190928 11 -3
1482438192567 12 -1
1482438195022 12 2
1482438195934 9 -4
1482438197031 12 -2
1482438197826 3 -2
1482438201887 7 -2
1482438206458 10 1
1482438208702 10 1
1482438210047 2 1
1482438216511 10 -1
1482438217600 10 1
1482438222566 12 3
1482438223446 3 1
1482438225159 11 2
1482438228126 7 2
1482438230016 7 -2
1482438233022 9 2
1482438234935 12 -1
1482438235742 2 -1
1482438236926 10 -2
1482438239510 3 1
1482438240399 9 1
1482438242270 7 3
1482438243158 9 1
1482438245521 11 -2
1482438247071 12 -2
1482438251646 12 2
1482438252510 9 -4
1482438253896 12 -2
1482438258047 3 -2
1482438260784 2 -1
1482438263013 4 3
1482438264094 6 -1
1482438264967 5 -1
1482438266304 1 -2
1482438268711 10 1
1482438269415 8 -2
1482438270375 7 1
1482438272506 4 1
1482438273400 10 -1
1482438275407 4 -2
1482438276608 3 3
1482438283431 3 -3
1482438289591 4 2
1482438291318 10 1
1482438292016 8 1
1482438298936 10 -1
1482438300961 8 -1
1482438302271 4 -2
1482438304503 7 -4
1482438317103 3 2
1482438318320 8 2
1482438322087 3 -2
1482438322824 10 2
1482438324136 4 2
1482438326440 12 4
1482438328311 12 -4
1482438329175 2 3
1482438331767 4 -2
1482438337921 8 -1
1482438338607 10 -1
1482438340559 7 4
1482438342447 3 1
1482438344111 7 -4
1482438345431 10 1
1482438347889 8 1
1482438350815 3 -1
1482438352406 4 2
1482438354105 2 -3
1482438355681 8 -2
1482438356783 10 -2
1482438357695 4 -2
1482438359017 3 3
1482438368151 3 -3
1482438369535 4 2
1482438372510 12 2
1482438374270 2 1
1482438378952 2 -1
1482438379648 12 -2
1482438380624 10 2
1482438381985 8 2
1482438383513 2 3
1482438385166 12 4
1482438386647 4 -2
1482438388591 3 1
1482438389775 11 2
1482438391904 11 -2
1482438392849 3 -1
1482438394727 4 2
1482438396326 12 -4
1482438397352 2 -3
1482438399681 1 2
1482438400758 5 1
1482438401575 6 1
1482438402976 4 -4
1482438406360 10 -2
1482438410062 10 2
1482438414478 12 3
1482438415304 2 2
1482438416246 3 1
1482438417487 7 2
1482438418247 7 -2
1482438419015 3 -1
1482438420152 12 -3
1482438421007 2 -2
1482438422048 10 -2
1482438422992 3 2
1482438424937 4 2
1482438426015 5 -1
1482438427594 5 1
1482438428976 12 1
1482438429599 12 -1
1482438430496 3 -2
1482438431584 12 1
1482438432119 12 -1
1482438432960 4 2
1482438433689 10 2
1482438434576 2 2
1482438435495 0 2
1482438437473 9 1
1482438438488 6 -3
1482438439464 5 -2
1482438440983 1 -2
1482438442544 8 -2
1482438444528 10 -1
1482438446255 5 1
1482438447015 6 2
1482438447792 9 -1
1482438448551 0 -2
1482438454431 4 -1
1482438459678 7 4
1482438460270 4 1
1482438461744 12 2
1482438464046 0 1
1482438466864 12 -2
1482438467615 0 -1
1482438469239 2 -2
1482438470215 10 -1
1482438470967 4 -2
1482438472121 3 3
1482438474533 12 1
1482438475855 11 3
1482438477000 2 -1
1482438479686 2 1
1482438480294 11 -3
1482438481826 12 -1
1482438487583 7 -4
1482438492685 3 -3
1482438493983 8 2
1482438494871 10 2
1482438495893 4 2
1482438497582 2 3
1482438499655 4 -2
1482438500894 10 -1
1482438502703 10 1
1482438505126 4 2
1482438506726 12 4
1482438508062 4 -2
1482438510855 4 2
1482438511862 11 1
1482438512543 9 2
1482438513399 0 2
1482438514573 2 -1
1482438515181 12 -1
1482438515975 5 -2
1482438516734 6 -3
1482438519295 1 2
1482438521054 1 -2
1482438522031 8 -2
1482438524174 7 1
1482438526577 5 2
1482438527374 6 3
1482438528191 9 -2
1482438528735 0 -2
1482438529944 12 -2
1482438530551 2 -2
1482438531614 4 -2
1482438532367 10 -2
1482438533127 7 3
1482438534270 3 3
1482438535918 11 2
1482438538150 2 -1
1482438539302 0 1
1482438540144 6 -1
1482438543375 3 -2
1482438544734 10 1
1482438545950 8 1
1482438550302 7 -3
1482438551384 10 1
1482438552141 8 1
1482438552927 1 2
1482438553774 6 2
1482438554550 5 1
1482438555079 0 -1
1482438555775 4 -2
1482438558773 2 3
1482438559681 2 -3
1482438560726 10 -2
1482438561583 3 1
1482438562288 7 2
1482438562983 12 1
1482438564126 2 2
1482438564903 11 -3
1482438566933 9 4
1482438568142 7 -1
1482438569537 12 -2
1482438570368 2 -1
1482438571320 2 1
1482438573998 7 1
1482438576343 12 2
