1479524229930 R
1479524236303 7 1
1479524240938 8 -1
1479524242552 7 1
1479524247154 6 -1
1479524250827 1 -1
1479524252486 8 -1
1479524254269 3 1
1479524257851 0 -1
1479524264908 3 -1
1479524266671 8 1
1479524268021 1 1
1479524272039 7 -2
1479524273963 8 1
1479524275533 1 1
1479524278188 5 1
1479524280325 4 -2
1479524283425 12 1
1479524286312 2 2
1479524289332 9 -3
1479524294788 11 -2
1479524297383 9 3
1479524301346 12 -1
1479524302552 2 -1
1479524303920 4 2
1479524313876 7 1
1479524316845 4 -2
1479524318343 2 1
1479524320117 12 1
1479524322608 9 -3
1479524327638 11 2
1479524331379 12 -1
1479524332609 3 -1
1479524334043 7 -2
1479524336042 10 2
1479524338196 12 2
1479524340030 2 1
1479524341788 0 2
1479524343022 9 1
1479524345304 6 1
1479524347944 11 -3
1479524351169 7 -1
1479524352400 3 -1
1479524366318 9 -1
1479524367792 3 1
1479524369666 7 2
1479524375939 7 -2
1479524380500 3 -1
1479524384269 9 1
1479524390506 9 -1
1479524391700 0 -1
1479524393273 12 -3
1479524395980 10 -1
1479524400446 7 3
1479524403029 3 1
1479524405224 12 2
1479524407879 11 3
1479524409842 9 1
1479524411168 6 -1
1479524418758 7 -2
1479524420618 10 1
1479524422117 12 1
1479524423918 0 -1
1479524427529 9 -1
1479524430674 0 2
1479524432905 6 1
1479524434668 9 1
1479524440080 11 -3
1479524441605 3 -1
1479524443007 7 -1
1479524451451 9 -1
1479524452860 0 -1
1479524454795 12 -3
1479524457638 10 -1
1479524466780 7 3
1479524471914 0 1
1479524474221 7 -3
1479524476171 10 1
1479524482528 10 -1
1479524484106 7 3
1479524489891 3 1
1479524499592 7 -3
1479524502056 3 -1
1479524504106 10 1
1479524520060 10 -1
1479524521550 7 3
1479524528182 3 1
1479524534730 3 -1
1479524537751 7 -3
1479524539300 10 1
1479524549460 0 -1
1479524553073 12 3
1479524556425 0 1
1479524557659 9 1
1479524559217 11 1
1479524561269 6 -1
1479524563747 0 -2
1479524565591 2 -1
1479524567357 12 -1
1479524569353 10 -2
1479524571848 3 2
1479524574284 7 3
1479524576211 11 2
1479524578672 9 2
1479524580733 12 -1
1479524581984 2 -2
1479524587138 4 2
1479524588785 0 1
1479524590404 5 -1
1479524593949 1 -2
1479524595976 8 -2
1479524598704 3 1
1479524606022 3 -1
1479524607295 8 2
1479524610745 1 2
1479524612612 5 1
1479524614439 4 -2
1479524615908 12 1
1479524620544 4 1
1479524624650 6 4
1479524629365 0 -1
1479524633536 2 1
1479524635708 11 -3
1479524638212 12 -2
1479524641188 4 1
1479524645623 12 1
1479524647329 11 3
1479524649906 2 -1
1479524651059 0 1
1479524653551 6 -4
1479524656439 5 -1
1479524660274 1 -2
1479524663458 8 -2
1479524669392 7 -1
1479524670706 3 1
1479524672777 7 2
1479524676379 0 -1
1479524677604 2 1
1479524682084 11 -2
1479524687440 7 -2
1479524688613 3 -1
1479524689812 8 2
1479524692320 1 2
1479524694282 5 1
1479524696012 4 -2
1479524697539 12 1
1479524698941 2 1
1479524702150 9 -3
1479524704008 11 2
1479524707594 12 -1
1479524709280 3 -1
1479524710496 7 -1
1479524711913 10 2
1479524714561 2 1
1479524718665 0 1
1479524721453 10 -1
1479524723218 7 2
1479524726738 6 1
1479524728757 11 -3
1479524730560 3 -1
1479524733584 7 -3
1479524734843 10 1
1479524737185 12 2
1479524739292 0 1
1479524746055 7 2
1479524749143 9 1
1479524752940 0 -1
1479524754218 3 1
1479524758917 11 3
1479524762045 6 -1
1479524763305 0 -1
1479524768297 9 -1
1479524770032 0 2
1479524772018 6 1
1479524774488 11 -3
1479524776860 7 -2
1479524779219 3 -1
1479524783722 0 -1
1479524785716 12 -3
1479524791119 10 -1
1479524793330 0 1
1479524795673 7 3
1479524799691 3 1
1479524805614 3 -1
1479524810104 7 -3
1479524813953 10 1
1479524818997 7 2
1479524820803 10 -1
1479524822293 7 1
1479524829279 7 -3
1479524830953 10 1
1479524834738 3 1
1479524838034 3 -1
1479524846389 10 -1
