1482046024658 R
1482046027561 6 3
1482046028521 R
1482046029493 R
1482046029853 R
1482046058956 6 -1
1482046064289 0 -1
1482046066269 1 1
1482046067765 5 1
1482046068625 4 -2
1482046071497 12 1
1482046072953 0 1
1482046073505 4 1
1482046074199 6 4
1482046075905 4 -1
1482046083141 0 -1
1482046084249 2 2
1482046085025 11 -3
1482046086637 12 -2
1482046095094 12 2
1482046097550 9 -4
1482046101653 3 -2
1482046103710 10 2
1482046104549 12 1
1482046105335 2 1
1482046106661 0 2
1482046110182 7 -2
1482046121966 0 -2
1482046123253 12 -3
1482046124390 10 -1
1482046126038 7 3
1482046130482 7 -3
1482046131437 2 -1
1482046132405 10 -1
1482046133174 3 2
1482046148226 3 -2
1482046149098 2 -1
1482046149954 4 4
1482046151453 5 -1
1482046152041 6 -1
1482046152722 1 -2
1482046153557 8 -2
1482046155347 4 -2
1482046156842 3 3
1482046159110 7 4
1482046163602 3 -3
1482046164642 4 2
1482046165490 2 1
1482046166618 2 -1
1482046167474 10 1
1482046168242 2 2
1482046169302 0 2
1482046170142 6 -1
1482046170898 5 -1
1482046174606 9 1
1482046175430 6 -1
1482046198070 4 -1
1482046199978 7 -2
1482046202482 7 1
1482046222212 8 2
1482046223414 1 2
1482046226547 5 1
1482046228494 6 2
1482046229822 0 -2
1482046232534 1 -2
1482046235866 7 -2
1482046237159 4 1
1482046237786 10 1
1482046239942 12 3
1482046241771 9 1
1482046242318 11 1
1482046243186 0 2
1482046244411 5 -2
1482046245586 6 -3
1482046275047 2 1
1482046275658 12 1
1482046277139 4 -4
1482046278082 2 -1
1482046281287 12 -1
1482046282491 7 1
1482046284082 8 -2
1482046286467 8 2
1482046296011 2 1
1482046296582 12 1
1482046297683 4 2
1482046299931 3 1
1482046300563 11 2
1482046301435 5 -1
1482046305591 4 -2
1482046306550 2 -1
1482046307895 12 -1
1482046309759 8 -2
1482046315559 0 -1
1482046316623 0 -1
1482046317219 2 -1
1482046317783 12 -1
1482046318619 10 -4
1482046319292 2 1
1482046320015 12 1
1482046321711 0 2
1482046322339 3 2
1482046322971 7 2
1482046323611 0 3
