1482802037096 R
1482802038486 R
1482802038980 R
1482802041569 2 -1
1482802049734 9 1
1482802055723 6 -1
1482802057501 7 1
1482802070178 9 -2
1482802072168 2 1
1482802073850 7 -1
1482802075412 6 2
1482802077771 5 1
1482802082974 10 1
1482802085708 0 -1
1482802087463 3 2
1482802088789 11 1
1482802155299 R
1482802166757 9 -1
1482802168262 6 1
1482802177796 5 1
1482802179104 10 1
1482802180581 0 -1
1482802182054 3 2
1482802189595 1 -3
1482802190994 12 -1
1482802191902 9 -1
1482802193052 7 -1
1482802194527 3 -1
1482802202688 3 1
1482802203942 11 1
1482802207088 7 1
1482802210792 13 -1
1482802212791 8 1
1482802214283 4 1
1482802215281 10 1
1482802219350 11 -1
1482802221803 3 -1
1482802223229 1 1
1482802224916 9 1
1482802225757 1 1
1482802228758 6 -3
1482802229836 9 1
1482802231273 7 1
1482802232208 3 1
1482802236271 1 -2
1482802241131 11 3
1482802245715 1 2
1482802246743 3 -1
1482802248550 6 1
1482802258225 1 -2
1482802276321 R
1482802285341 9 -1
1482802287348 6 1
1482802291983 5 1
1482802294315 10 1
1482802301035 6 -2
1482802302117 7 1
1482802303290 9 1
1482802309003 9 -1
1482802310840 7 -1
1482802314155 6 2
1482802318596 10 -1
