1482268652538 R
1482268739546 2 -1
1482268740486 9 1
1482268742790 9 -2
1482268747574 6 -1
1482268748326 7 1
1482268749246 9 2
1482268752718 7 -1
1482268753934 6 1
1482268760989 6 -1
1482268761830 7 1
1482268763286 9 -2
1482268764166 2 1
1482268765238 5 1
1482268765879 10 1
1482268766790 0 -1
1482268767670 3 1
1482268770702 7 -1
1482268771526 6 2
1482268772126 3 1
1482268772879 11 1
1482268775398 1 -3
1482268776022 7 -1
1482268776511 9 -1
1482268778415 12 -1
1482268780518 13 -1
1482268781447 8 1
1482268782062 4 1
1482268782998 10 1
1482268784918 11 -1
1482268785519 3 -1
1482268786830 6 -3
1482268787910 3 1
1482268788670 7 2
1482268789272 9 2
1482268791462 11 3
1482268793910 3 -1
1482268794502 6 1
1482268796446 6 -1
1482268797166 3 1
1482268798685 11 -2
1482268799397 7 -2
1482268800165 9 -2
1482268803118 7 2
1482268803759 11 -1
1482268804295 3 -1
1482268805334 7 -1
1482268806694 6 3
1482268807566 3 1
1482268809647 7 -1
1482268813140 R
1482268818414 2 -1
1482268821006 9 1
1482268822758 6 -1
1482268829599 9 -1
1482268830511 2 1
1482268831455 5 1
1482268832120 10 1
1482268833887 0 -1
1482268834559 3 1
1482268835399 7 1
1482268836567 1 -3
1482268837391 9 -2
1482268838015 7 -2
1482268841202 6 2
1482268842246 7 1
1482268842838 9 1
1482268843590 1 3
1482268844390 3 -1
1482268845006 0 1
1482268845759 10 -1
1482268846566 6 -2
1482268848070 7 1
1482268849063 9 1
1482268850798 10 1
1482268853718 7 -1
1482268854199 9 -1
1482268854975 10 -1
1482268856022 6 2
1482268857550 5 -1
1482268858279 2 -1
1482268859990 6 -2
1482268860886 9 2
1482268862114 7 1
1482268866354 7 -1
1482268867019 9 -2
1482268867730 6 2
1482268869554 2 1
1482268870491 5 1
1482268871178 10 1
1482268871994 0 -1
1482268873146 0 1
1482268874162 10 -1
1482268874883 5 -1
1482268876955 2 -1
1482268877643 6 -2
1482268878978 7 1
1482268889690 7 -1
1482268893162 9 2
1482268894026 6 1
1482268898051 9 -2
1482268903386 6 -1
1482268904378 6 2
1482268905778 6 -2
1482268913362 9 2
1482268919713 9 -2
1482268924395 6 2
1482268925659 2 1
1482268926387 5 1
1482268926971 10 1
1482268927595 0 -1
1482268928563 3 2
1482268932459 11 1
1482268933059 1 -3
1482268933971 7 -1
1482268934611 9 -1
1482268935515 12 -1
1482268937771 11 -1
1482268938795 3 -1
1482268940003 6 -2
1482268942331 7 2
1482268943691 7 -1
1482268944539 9 1
1482268947235 12 1
1482268948058 1 3
1482268948779 3 -1
1482268949610 0 1
1482268951522 7 1
1482268952122 9 1
1482268954210 10 -1
1482268955010 5 -1
1482268955883 2 -1
1482268957098 7 -1
1482268957730 9 1
1482268959762 6 1
1482268969742 R
1482268990689 5 1
1482268991321 10 1
1482268992025 0 -1
1482268992761 3 1
1482268995961 6 -1
1482268996906 7 1
1482268997642 3 -1
1482268998482 0 1
1482269002946 10 -1
1482269003866 5 -1
1482269008106 2 -1
1482269009042 9 1
1482269011178 7 -1
1482269012225 6 1
1482269014691 9 -2
1482269015489 6 1
1482269016737 2 1
1482269017865 5 1
1482269018689 10 1
1482269021143 0 -1
1482269022873 3 2
1482269024073 1 -3
1482269025153 7 -1
1482269026249 9 -1
1482269027017 12 -1
1482269029057 3 -1
1482269030345 6 -2
1482269032313 13 -1
1482269033577 8 1
1482269034369 4 1
1482269035145 10 1
1482269035937 6 -1
1482269039033 3 1
1482269040417 7 2
1482269044009 9 2
1482269045007 9 -2
1482269051103 7 -2
1482269051943 3 -1
1482269053200 6 1
1482269053999 10 -1
1482269054559 4 -1
1482269055055 8 -1
1482269055743 13 1
1482269057359 6 2
1482269058279 3 1
1482269059136 3 -1
1482269060223 6 -2
1482269063007 7 1
1482269065407 9 1
1482269066544 12 1
1482269067463 1 3
1482269068471 3 -1
1482269070575 0 1
1482269072119 10 -1
1482269074047 5 -1
1482269078223 2 -1
1482269079270 9 2
1482269083598 9 -2
1482269084510 9 2
1482269085487 7 1
1482269088158 9 -2
1482269089310 2 1
1482269090766 5 1
1482269093046 10 1
1482269094126 0 -1
1482269095670 3 1
1482269096894 1 -3
1482269098215 7 -2
1482269101220 6 2
1482269102287 3 1
1482269102983 9 -1
1482269103807 12 -1
1482269105339 3 -1
1482269107003 6 -2
1482269108219 13 -1
1482269109019 8 1
1482269110251 4 1
1482269111171 10 1
1482269112243 6 -1
1482269115122 3 1
1482269120522 3 -1
1482269121738 6 3
1482269122874 3 1
1482269124066 10 -1
1482269124666 4 -1
1482269125650 8 -1
1482269126603 13 1
1482269127970 7 1
1482269129290 7 -1
