1482073491160 R
1482073507267 6 -1
1482073509884 7 1
1482073512418 2 -1
1482073513523 9 1
1482073515001 7 -1
1482073518501 7 1
1482073520638 7 -1
1482073523140 6 1
1482073525662 9 -2
1482073526379 6 1
1482073527425 2 1
1482073528775 5 1
1482073530993 10 1
1482073532425 0 -1
1482073533459 3 2
1482073534595 1 -3
1482073535571 7 -1
1482073536288 9 -1
1482073537074 12 -1
1482073538309 13 -1
1482073539657 8 1
1482073540374 4 1
1482073541337 10 1
1482073543083 3 -1
1482073544294 6 -3
1482073549566 7 2
1482073550410 9 2
1482073554120 9 -2
1482073554988 7 -2
1482073556421 6 3
1482073557449 3 1
1482073558546 11 1
1482073560787 11 -1
1482073561640 3 -1
1482073562374 6 -3
1482073566904 R
1482073574407 9 -1
1482073575510 6 1
1482073578416 6 -2
1482073579253 2 -1
1482073581322 9 2
1482073583857 7 1
1482073587732 7 -1
1482073588436 6 1
1482073591076 9 -2
1482073592252 2 1
1482073593543 6 1
1482073595186 5 1
1482073596912 10 1
1482073597640 0 -1
1482073599168 3 2
1482073600445 11 1
1482073601266 1 -3
1482073602185 11 -1
1482073603838 7 -1
1482073604486 9 -1
1482073605201 12 -1
1482073606164 13 -1
1482073606833 8 1
1482073608301 4 1
1482073609135 10 1
1482073610448 3 -1
1482073611927 6 -3
1482073616408 6 3
1482073617553 7 1
1482073618081 9 1
1482073619443 1 2
1482073621615 3 1
1482073623587 10 -1
1482073624759 3 -1
1482073625448 6 -2
1482073626085 4 -1
1482073626981 8 -1
1482073628131 13 1
1482073631616 12 1
1482073632389 1 1
1482073633504 3 -1
1482073644917 0 1
1482073646209 6 2
1482073647664 10 -1
1482073648333 5 -1
1482073648991 2 -1
1482073650189 6 -2
1482073654673 7 1
1482073655683 9 2
1482073657221 9 -2
1482073658007 2 1
1482073659299 5 1
1482073660297 10 1
1482073661054 0 -1
1482073662163 7 -1
1482073663273 0 1
1482073665274 0 -1
1482073666049 3 1
1482073666695 1 -3
1482073667516 7 -1
1482073668373 9 -1
1482073669077 12 -1
1482073671402 13 -1
1482073672318 8 1
1482073672929 4 1
1482073673903 6 2
1482073674584 10 1
1482073677186 7 1
1482073677919 9 1
1482073679081 1 2
1482073680231 3 1
1482073681593 11 1
1482073685609 1 -2
1482073686558 7 -1
1482073687170 9 -1
1482073690018 10 -1
1482073691526 4 -1
1482073692360 8 -1
1482073693251 13 1
1482073695864 11 -1
1482073697219 7 1
1482073697971 3 -1
1482073699151 6 -2
1482073700365 7 1
1482073702044 9 2
1482073702749 12 1
1482073703500 1 3
1482073704780 3 -1
1482073706646 0 1
1482073709638 0 -1
1482073711331 3 1
1482073714219 1 -3
1482073715615 7 -2
1482073718774 7 2
1482073720839 1 3
1482073722778 3 -1
1482073724421 0 1
1482073726100 10 -1
1482073726767 5 -1
1482073727546 2 -1
1482073728471 9 1
1482073732631 7 -1
1482073735094 U
1482073735308 U
1482073735508 U
1482073735708 U
1482073735895 U
1482073736092 U
1482073736303 U
1482073736943 U
1482073737119 U
1482073737296 U
1482073737507 U
1482073737707 U
1482073737930 U
1482073738517 U
1482073738868 U
1482073739080 U
1482073739279 U
1482073739502 U
1482073739948 U
1482073745111 7 -1
1482073745933 13 -1
1482073746696 8 1
1482073747436 4 1
1482073748082 10 1
1482073748851 6 -1
1482073749867 3 1
1482073751462 7 2
1482073754175 7 -2
1482073754926 3 -1
1482073758367 6 3
1482073760051 3 1
1482073761372 10 -1
1482073763860 10 1
1482073765175 10 -1
1482073765725 4 -1
1482073767687 8 -1
1482073768403 13 1
1482073770434 3 -1
1482073771908 6 -2
1482073776989 7 2
1482073777940 1 1
1482073782837 R
1482073786235 2 -1
1482073787244 9 1
1482073789520 6 -1
