1479420580078 R
1479420581759 R
1479420585291 9 -1
1479420586258 9 1
1479420592738 6 -1
1479420594820 7 1
1479420596746 9 -1
1479420597570 7 -1
1479420598644 6 2
1479420600818 5 1
1479420601994 10 1
1479420602934 0 -1
1479420604098 3 2
1479420609082 3 -2
1479420609882 3 2
1479420611098 1 -3
1479420612402 7 -1
1479420613804 9 -1
1479420615274 12 -1
1479420621514 3 -1
1479420622373 6 -2
1479420625978 13 -1
1479420626786 8 1
1479420628026 4 1
1479420629058 10 1
1479420629770 6 -1
1479420632994 3 1
1479420646098 7 2
1479420647628 9 2
1479420648834 11 3
1479420654926 11 -3
1479420656770 3 -1
1479420658618 6 1
1479420661842 7 -2
1479420662513 9 -2
1479420664722 6 2
1479420666170 3 1
1479420667019 11 1
1479420668818 11 -1
1479420673473 7 1
1479420675138 9 1
1479420676433 3 -1
1479420677082 6 -3
1479420678925 9 1
1479420679553 7 1
1479420681010 3 1
1479420682074 1 2
1479420685058 3 -1
1479420685698 7 -1
1479420686506 9 -1
1479420688154 6 3
1479420689651 10 -1
1479420690267 4 -1
1479420691531 8 -1
1479420692226 13 1
1479420694458 6 -2
1479420699082 1 -2
1479420700572 7 -1
1479420701201 9 -1
1479420703185 6 2
1479420705210 3 1
1479420706270 11 1
1479420709338 11 -1
1479420710577 3 -1
1479420712121 6 -2
1479420724206 R
1479420864274 6 -1
1479420868785 7 1
1479420876168 2 -1
1479420882064 9 1
1479420882938 9 -2
1479420884569 2 1
1479420885480 5 1
1479420886184 10 1
