1479797645180 R
1479797654224 0 1
1479797655730 7 -2
1479797659209 4 -2
1479797660472 1 1
1479797662464 5 -1
1479797663232 11 -1
1479797671425 R
1479797677368 4 -1
1479797678591 1 1
1479797681823 11 -1
1479797685252 0 1
1479797686631 7 -2
1479797687826 4 -1
1479797697024 R
1479797704614 3 1
1479797705881 10 1
1479797708678 4 -1
1479797709559 7 1
1479797710246 4 -1
1479797711478 3 1
1479797712455 1 1
1479797713861 10 3
1479797725950 3 -2
1479797727366 1 -1
1479797730167 0 1
1479797731057 4 2
1479797732749 7 -4
1479797734022 11 -1
1479797735509 0 -1
1479797744030 5 -1
1479797749846 4 -1
1479797751076 4 -1
1479797753987 3 2
1479797756533 3 -2
1479797757406 0 1
1479797758109 7 1
1479797761020 4 2
1479797762685 4 -2
1479797766093 R
1479797787219 3 1
1479797789211 10 1
1479797791371 4 -1
1479797792475 1 1
1479797793403 10 3
1479797794608 3 -1
1479797795139 1 -1
1479797797133 4 1
1479797798003 0 1
1479797798708 7 -3
1479797799893 0 -1
1479797801715 11 -1
1479797802538 5 -1
1479797803467 4 -2
1479797805570 1 3
1479797806715 2 -1
1479797807555 10 -1
1479797808538 12 -2
1479797811025 3 2
1479797811579 10 -2
1479797812291 2 -2
1479797814875 8 -2
1479797818091 1 -3
1479797819354 5 1
1479797820650 11 2
1479797823522 9 -2
1479797825479 6 -2
1479797826177 11 2
1479797826838 5 2
1479797827801 3 2
1479797828646 0 1
1479797834097 3 -1
1479797835376 11 -4
1479797836609 3 1
1479797837945 4 2
1479797848351 R
1479797852873 11 -1
1479797853821 4 -1
1479797855008 1 1
1479797856315 3 1
1479797863296 11 2
1479797864319 7 1
1479797865376 4 -1
1479797866807 3 -1
1479797867783 0 1
1479797870791 0 -1
1479797871663 3 2
1479797872479 10 4
1479797873704 3 -2
1479797875112 0 1
1479797876383 4 1
1479797877434 7 -4
1479797878671 5 -1
1479797879925 4 -1
1479797880921 1 1
1479797883143 11 -2
1479797884119 1 1
1479797885664 10 -1
1479797886495 2 -1
1479797887519 12 -2
1479797889894 0 1
1479797896329 4 1
1479797897758 11 1
1479797898702 7 2
1479797902888 12 2
1479797903908 2 1
1479797904502 10 1
1479797908776 7 -2
1479797909646 4 -1
1479797916605 2 -1
1479797917381 10 -1
1479797918149 12 -2
1479797920678 U
1479797922262 R
