1479362208427 R
1479362213954 3 1
1479362216802 10 1
1479362218826 10 -1
1479362219594 3 -1
1479362220402 0 1
1479362221474 7 -2
1479362223818 4 -2
1479362224626 5 -1
1479362225378 11 -1
1479362227066 1 3
1479362227954 0 1
1479362229818 4 1
1479362230682 7 1
1479362233835 2 -1
1479362234522 12 -2
1479362235754 6 -2
1479362240178 6 2
1479362241258 12 2
1479362241978 2 1
1479362242810 2 -1
1479362244594 2 1
1479362245266 0 -1
1479362246733 1 -3
1479362249450 11 2
1479362250234 5 1
1479362251026 7 2
1479362251745 4 -1
1479362254273 1 1
1479362255209 1 -1
1479362259353 4 2
1479362260417 7 -3
1479362261761 5 -1
1479362262466 11 -2
1479362263130 4 -2
1479362264233 1 3
1479362268665 2 -1
1479362269401 12 -2
1479362270761 6 -2
1479362272769 6 2
1479362274505 12 2
1479362275321 2 1
1479362276041 1 -3
1479362277521 5 1
1479362278929 5 -1
1479362279617 4 2
1479362280482 7 1
1479362282089 7 -1
1479362282777 4 -2
1479362285385 1 3
1479362287153 2 -1
1479362288049 12 -2
1479362288825 6 -2
1479362290937 6 2
1479362292273 12 2
1479362293153 2 1
1479362294553 0 1
1479362295576 4 1
1479362296497 11 1
1479362297384 7 1
1479362299914 2 -1
1479362300552 12 -2
1479362303016 12 2
1479362304240 11 -1
1479362306488 7 -1
1479362307136 4 -1
1479362309368 2 1
1479362310032 2 -1
1479362310664 12 -2
1479362311296 6 -2
1479362313352 0 -1
1479362314704 1 -1
1479362316384 11 2
1479362317296 6 2
1479362318912 12 2
1479362319392 2 1
1479362320152 1 -2
1479362321496 5 1
1479362322179 4 2
1479362323328 7 3
1479362324954 0 -1
1479362325800 4 -2
1479362326944 1 1
1479362327728 3 2
1479362328266 10 4
1479362329520 1 -1
1479362330161 3 -2
1479362331168 0 1
1479362332048 4 2
1479362332936 7 -4
1479362334279 4 -2
1479362335152 5 -1
1479362335648 11 -2
1479362336600 1 3
1479362338207 10 -1
1479362338960 2 -1
1479362339552 12 -2
1479362340599 6 -2
1479362342535 1 -1
1479362345511 6 2
1479362346103 12 2
1479362348143 10 1
1479362349247 0 -1
1479362349920 3 2
1479362350575 2 -2
1479362351263 10 -3
1479362352903 1 -2
1479362353576 8 -2
1479362354775 12 -2
1479362355399 1 3
1479362358607 9 -2
1479362359367 6 -2
1479362360561 1 -2
1479362361247 11 4
1479362362016 5 3
1479362363063 3 2
1479362363911 0 1
1479362367720 4 1
1479362368927 4 -1
1479362369439 0 -1
1479362370103 3 -2
1479362372863 5 -3
1479362373920 1 2
1479362375991 2 1
1479362376791 10 1
1479362378046 2 -1
1479362378559 10 -1
1479362379351 1 -3
1479362380518 5 3
1479362382815 3 2
1479362384150 4 2
1479362385022 0 1
1479362385870 7 4
1479362386854 2 -1
1479362388090 10 -1
1479362388910 0 -1
1479362389999 4 -2
1479362390959 3 -4
1479362392262 0 1
1479362394159 5 -2
1479362394918 11 -3
1479362395774 9 2
1479362397758 9 -2
1479362398334 5 2
1479362399566 5 -2
1479362400054 11 3
1479362400878 5 2
1479362401798 5 -2
1479362402414 11 -3
1479362403991 4 2
1479362404727 7 -2
1479362405894 5 -1
1479362406967 4 -1
1479362408006 1 3
1479362409096 9 2
1479362409895 6 2
1479362410622 0 4
