1482688248904 R
1482688260100 0 1
1482688262004 7 -2
1482688265852 4 -2
1482688273034 11 1
1482688274234 4 2
1482688275617 5 -1
1482688280809 4 -2
1482688286096 1 2
1482688287584 2 -1
1482688289016 12 -2
1482688292855 6 -2
1482688294719 11 -2
1482688295616 1 1
1482688296665 0 1
1482688300247 4 1
1482688301191 7 1
1482688306293 6 2
1482688314157 0 -1
1482688328554 1 -1
1482688331978 7 -1
1482688333338 4 -1
1482688339425 6 -2
1482688341313 1 1
1482688348064 4 1
1482688348928 7 1
1482688352119 11 1
1482688353207 1 -1
1482688354391 11 1
1482688360886 6 2
1482688362286 12 2
1482688363286 2 1
1482688364598 1 -2
1482688370237 11 -2
1482688371485 1 3
1482688372533 0 1
1482688375620 2 -1
1482688376852 12 -2
1482688380035 7 -1
1482688380979 4 -1
1482688384459 0 -1
1482688386371 1 -1
1482688390418 1 1
1482688395761 12 2
1482688396577 2 1
1482688397897 1 -3
1482688405520 4 1
1482688408880 5 1
1482688410200 11 1
1482688411551 7 3
1482688415119 0 -1
1482688418230 0 1
1482688420678 7 -2
1482688421686 5 -1
1482688422524 1 3
1482688427085 0 1
1482688438180 7 -1
1482688438980 4 -1
1482688440612 0 -1
1482688442227 4 1
1482688444467 1 -3
1482688450066 1 3
1482688460707 4 -1
1482688461850 0 1
1482688463497 4 1
1482688465488 7 1
1482688467472 2 -1
1482688469376 12 -2
1482688478103 6 -2
1482688483110 7 -1
1482688484030 4 -1
1482688488469 4 1
1482688489589 7 1
1482688490477 0 -1
1482688496253 6 2
1482688507099 12 2
1482688508587 2 1
1482688510898 1 -3
1482688518106 4 1
1482688519033 5 1
1482688519689 11 1
1482688520713 7 2
1482688521761 0 -1
1482688523979 4 -2
1482688528693 3 2
1482688530000 1 1
1482688539039 10 4
1482688541902 3 -2
1482688545589 4 1
1482688546462 7 -1
1482688547517 11 -2
1482688548798 0 1
1482688550847 7 -3
1482688555157 4 -1
1482688556068 5 -1
1482688557268 1 2
1482688558540 0 1
1482688562091 2 -1
1482688563531 12 -1
1482688567548 0 -2
1482688569307 3 2
1482688573586 3 -2
1482688575841 0 2
1482688579873 0 -1
1482688581674 1 -1
1482688583225 11 2
1482688584489 11 -2
1482688593199 1 1
1482688601374 0 -1
1482688605494 10 -1
1482688606534 12 1
1482688607358 2 1
1482688608662 1 -2
1482688609717 5 1
1482688610573 11 2
1482688611517 4 1
1482688615006 11 -2
1482688615700 5 -1
1482688617244 1 2
1482688620756 3 1
1482688621843 10 -2
1482688628547 10 2
1482688630202 3 -1
1482688631179 0 2
1482688636306 4 -1
1482688637970 0 -2
1482688639529 1 -2
1482688643561 5 1
1482688644601 4 1
1482688645408 11 2
1482688646233 0 1
1482688647408 7 4
1482688649424 0 -1
1482688650312 4 -1
1482688651480 3 2
1482688652631 10 -3
1482688653919 3 -2
1482688655255 1 -1
1482688658926 0 1
1482688660470 4 2
1482688661615 7 -3
1482688662504 5 -1
1482688663318 4 -2
1482688664318 11 -1
1482688665502 1 3
1482688667541 2 -1
1482688668910 12 -2
1482688671909 12 2
1482688674572 0 1
1482688678380 11 -1
1482688692898 0 -1
1482688693826 2 1
1482688694914 1 -3
1482688698337 1 3
1482688715055 2 -1
1482688717527 12 -2
1482688722062 12 2
1482688723934 2 1
1482688726542 2 -1
1482688744404 4 1
1482688747251 7 1
1482688750354 1 -1
1482688751946 11 2
1482688753362 2 1
1482688754322 1 -2
1482688755106 5 1
1482688756674 7 2
1482688757450 11 -1
1482688759977 4 -1
1482688765368 4 1
1482688769712 7 -1
1482688772071 7 -1
1482688772880 5 -1
1482688773967 1 3
1482688790613 1 -2
1482688791677 5 1
1482688793789 7 2
1482688794724 4 -1
1482688795588 0 -1
1482688796732 3 2
1482688801851 10 4
1482688803780 1 -1
1482688804819 3 -2
1482688806139 0 1
1482688809490 4 1
1482688810770 7 -4
1482688812011 4 -1
1482688812594 5 -1
1482688813242 11 -1
1482688819801 1 3
1482688822817 2 -1
1482688823681 10 -1
1482688824705 12 -2
1482688828120 0 -1
1482688830720 3 2
1482688832887 1 -1
1482688834759 10 -2
1482688835735 2 -2
1482688836831 1 -2
1482688839407 8 -2
1482688842031 9 -2
1482688842878 6 -2
1482688844126 5 3
1482688845382 3 2
1482688848133 4 2
1482688850909 4 -2
1482688854917 3 -1
1482688855924 11 4
1482688857356 3 1
1482688859644 4 2
1482688860747 0 1
1482688861813 7 4
1482688862668 2 -1
1482688863486 10 -1
1482688867579 4 -2
1482688868971 3 -1
1482688870179 11 -3
1482688871810 0 -1
1482688872562 3 -3
1482688873850 0 1
1482688875258 5 -2
1482688876394 9 2
1482688877369 6 2
1482688881500 4 4
1482688883441 7 -2
1482688884600 5 -1
1482688885800 1 3
1482688887968 0 2
1482688901283 0 3
