1480059606604 R
1480059664670 0 1
1480059670022 7 -2
1480059671885 4 -2
1480059673769 5 -1
1480059676482 11 -1
1480059678707 1 3
1480059680403 0 1
1480059682111 2 -1
1480059683831 12 -2
1480059685914 6 -2
1480059691483 6 2
1480059705008 11 1
1480059706992 4 1
1480059708490 0 -1
1480059715392 7 1
1480059726721 0 1
1480059730763 7 -1
1480059732227 4 -1
1480059734200 11 -1
1480059741046 12 2
1480059742892 2 1
1480059747609 R
1480059755825 0 1
1480059757442 7 -2
1480059758802 4 -2
1480059761207 5 -1
1480059762826 1 3
1480059766384 2 -1
1480059769024 12 -2
1480059770926 6 -2
1480059775035 0 1
1480059778365 4 1
1480059779849 7 1
1480059785508 7 -1
1480059787561 4 -1
1480059790580 11 -1
1480059794919 6 2
1480059800589 12 2
1480059802412 2 1
1480059810468 0 -1
1480059816876 2 -1
1480059818525 12 -2
1480059820340 6 -2
1480059827110 0 1
1480059831948 4 1
1480059833435 7 1
1480059837715 11 1
1480059845825 6 2
1480059849175 12 2
1480059851068 2 1
1480059855776 7 -1
1480059857171 4 -1
