1482237481748 R
1482237485796 7 -1
1482237486700 1 1
1482237490315 4 -2
1482237493124 11 -1
1482237494900 0 -1
1482237496820 1 -2
1482237498757 12 -1
1482237500964 7 2
1482237502061 1 1
1482237504188 0 1
1482237505021 11 1
1482237506292 3 -1
1482237507508 5 -1
1482237509460 0 2
1482237511068 1 -1
1482237511949 7 -2
1482237513036 8 -2
1482237514925 2 1
1482237519645 R
1482237528740 12 -1
1482237535093 3 1
1482237536293 11 -1
1482237537228 0 -1
1482237541820 12 1
1482237543797 12 -1
1482237544684 3 -1
1482237546020 4 -2
1482237548837 7 1
1482237552379 7 -2
1482237555755 1 -1
1482237557236 8 -2
1482237560988 8 2
1482237563684 1 2
1482237565412 12 1
1482237566876 5 1
1482237567595 9 1
1482237568411 0 1
1482237568915 10 1
1482237569643 11 3
1482237570268 3 -1
1482237570899 9 -2
1482237571579 5 -2
1482237575459 0 -1
1482237577027 10 2
1482237578379 1 -3
1482237579299 10 1
1482237580347 12 -2
1482237581763 6 -3
1482237582468 8 -2
1482237583707 12 1
1482237584731 8 2
1482237585715 12 1
1482237586468 10 -3
1482237587899 2 2
1482237589564 12 -2
1482237590259 8 -2
1482237590962 2 1
1482237592268 4 4
1482237593115 12 1
1482237595787 5 1
1482237596363 3 3
1482237597443 1 -1
1482237599788 0 1
1482237601564 11 -1
1482237602451 6 -1
1482237625315 4 -1
1482237626228 8 1
1482237628052 2 -2
1482237628781 8 1
1482237629444 12 1
1482237635188 5 1
1482237639876 2 1
1482237643780 5 -1
1482237644364 10 1
1482237647052 10 -1
1482237647804 6 1
1482237648428 7 1
1482237649204 11 2
1482237654829 10 -1
1482237656579 5 1
1482237659749 0 -1
1482237661964 1 2
1482237662757 3 -3
1482237663556 5 -2
1482237664365 1 -1
1482237667149 10 2
1482237670196 5 1
1482237677004 3 3
1482237678155 1 -1
1482237679123 0 1
1482237679987 10 -2
1482237680923 4 -2
1482237681653 2 -1
1482237684787 12 -1
1482237685412 8 -1
1482237686301 2 2
1482237692491 4 2
1482237698171 0 -1
1482237698915 1 2
1482237700483 3 -3
1482237701715 5 -1
1482237703451 1 -1
1482237710251 10 1
1482237711170 11 -1
1482237711899 7 -1
1482237713012 8 -1
1482237714059 4 1
1482237717650 4 -1
1482237720531 2 -3
1482237721186 8 2
1482237722427 12 1
1482237725138 12 -2
1482237726011 8 -2
1482237726899 4 1
1482237727650 12 1
1482237729835 2 3
1482237740979 5 1
1482237741476 3 3
1482237742660 1 -1
1482237743348 0 1
1482237745844 11 -1
1482237746483 6 -1
1482237747612 6 1
1482237748812 6 -1
1482237771796 4 -3
1482237772716 8 1
1482237774956 6 1
1482237775589 7 1
1482237776373 11 2
1482237776988 10 -1
1482237780548 R
1482237782732 2 1
1482237784085 2 -1
1482237789901 7 -1
1482237790875 1 1
1482237793315 4 -2
1482237795355 3 -1
1482237796242 5 -1
1482237799779 0 2
1482237801787 10 4
1482237803843 11 2
1482237805315 9 -1
1482237807347 0 -3
1482237816035 5 2
1482237817068 4 1
1482237825426 5 -2
1482237825995 4 -1
1482237826770 10 -3
1482237829434 0 3
1482237830634 10 3
1482237831891 1 -3
1482237833803 11 -1
1482237835043 12 -1
1482237836891 8 -2
1482237838363 8 2
1482237839322 12 1
1482237841091 1 3
1482237842570 10 -3
1482237846723 10 3
1482237850523 1 -3
1482237851794 10 -3
1482237853194 12 -1
1482237855835 12 1
1482237856603 10 3
1482237857714 1 3
1482237859131 10 -3
1482237861292 12 -1
1482237863219 8 -1
1482237863948 8 1
1482237864770 12 1
1482237869516 0 -2
1482237871082 12 -2
1482237872650 6 -1
1482237873218 8 -1
1482237874315 2 3
1482237896387 9 1
1482237897195 11 -1
1482237897858 10 -1
1482237898658 1 -1
1482237899379 8 -1
1482237900907 2 -3
1482237901771 6 1
1482237902562 12 1
1482237904474 0 2
1482237906130 1 -1
1482237907210 8 2
1482237907994 12 1
1482237911266 7 1
1482237914059 R
1482237923091 7 -1
1482237925114 7 1
1482237927332 7 -1
1482237929554 1 1
1482237931619 1 -1
1482237932250 12 -1
1482237933266 7 2
1482237944674 7 -2
1482237945546 1 1
1482237946186 12 1
1482237947803 4 -2
1482237948814 2 1
1482237949755 10 3
1482237950691 11 2
1482237953579 9 -1
1482237954139 3 -1
1482237955188 5 -1
1482237956171 2 -1
1482237959498 10 1
1482237960906 12 -2
1482237961651 0 -1
1482237962339 1 -3
1482237964571 6 -3
1482237967466 6 2
1482237969034 1 2
1482237970714 0 1
1482237971586 11 -1
1482237975699 1 1
1482237979938 9 1
1482237980691 11 -1
1482237982050 1 -1
1482237983091 7 2
1482237983955 7 -2
1482237986450 8 -2
1482237987002 6 1
1482237987818 12 1
1482237988562 0 2
1482237989388 1 -1
1482237990524 8 2
1482237991132 12 1
1482237992642 10 -1
1482237994714 1 2
1482237995354 10 -3
1482237996322 1 -2
1482237997194 12 -1
1482237998114 8 -2
1482237999634 8 2
1482238002610 2 1
1482238003675 2 -1
1482238005258 1 2
1482238006698 12 1
1482238007498 0 -2
1482238015211 0 2
1482238016666 10 4
1482238017946 11 2
1482238019082 10 -3
1482238020051 2 1
1482238021298 11 -2
1482238022210 10 -1
1482238023122 1 -2
1482238024034 12 -1
1482238024786 8 -2
1482238027739 1 1
1482238028754 0 -2
1482238031387 12 -1
1482238032426 8 2
1482238033153 1 1
1482238034258 6 -1
1482238034754 8 -1
1482238035723 2 2
1482238037650 4 2
1482238042114 1 -1
1482238043570 1 1
1482238047291 R
1482238051402 12 -1
1482238052074 7 -1
1482238056251 1 1
1482238056914 12 1
1482238058890 3 -1
1482238059601 5 -1
1482238060195 4 -2
1482238061795 12 -2
1482238062698 6 -1
1482238063210 8 -1
1482238063890 1 -1
1482238064571 8 -1
1482238067018 6 1
1482238067626 12 1
1482238068226 0 2
1482238069227 1 -1
1482238070218 8 2
1482238073682 8 -2
1482238075770 1 1
1482238082465 2 1
1482238084098 R
1482238085522 3 1
1482238089522 11 -1
1482238095698 3 -1
1482238097155 4 -2
1482238101083 7 -1
1482238101555 1 1
1482238102074 10 4
1482238107985 11 2
1482238108802 11 1
1482238109939 9 -1
1482238110570 3 -1
1482238111354 5 -1
1482238112554 10 -3
1482238114009 0 2
1482238115194 12 -1
1482238116018 8 -1
1482238119546 8 1
1482238120626 12 1
1482238122602 10 2
1482238123473 1 -3
1482238124955 11 -1
1482238126042 10 -2
1482238127161 12 -1
1482238127803 8 -2
1482238129698 8 2
1482238130394 12 1
1482238133194 R
1482238163723 4 -2
1482238166226 2 1
1482238170284 7 -1
1482238171066 1 1
1482238174404 10 3
1482238175786 11 2
1482238185875 3 -1
1482238186371 9 -1
1482238186891 0 -1
1482238190667 10 -2
1482238193595 5 -1
1482238194707 2 -1
1482238197571 10 3
1482238200555 0 3
1482238201667 1 -3
1482238204715 11 -1
1482238213635 10 -3
1482238215026 12 -1
1482238216250 8 -2
1482238218410 8 1
1482238219195 7 1
1482238219714 8 1
1482238220987 12 1
1482238222203 11 2
1482238224522 10 -1
1482238225515 1 2
1482238226947 0 -3
1482238228595 5 2
1482238230154 4 2
1482238230796 2 1
1482238232371 3 3
1482238233202 9 3
1482238234100 0 1
1482238235234 0 -1
1482238236002 1 -3
1482238236754 0 1
1482238237466 10 1
1482238238499 11 -4
1482238239187 10 -1
1482238239755 0 -1
1482238240931 7 -1
