1482014784330 R
1482014787690 3 -1
1482014788748 5 -1
1482014789553 0 1
1482014791091 12 -1
1482014791825 8 -1
1482014792340 7 -1
1482014793162 8 -1
1482014796241 8 2
1482014797136 7 2
1482014799736 4 -2
1482014800600 0 1
1482014801753 1 -1
1482014804865 1 1
1482014805594 7 -2
1482014806500 8 -2
1482014807360 8 2
1482014807939 1 1
1482014808513 12 1
1482014809525 0 -2
1482014815040 R
1482014825560 3 -1
1482014828385 5 -1
1482014829066 4 -2
1482014829889 0 2
1482014832769 7 -1
1482014833569 12 -1
1482014834241 8 -2
1482014835681 2 1
1482014836355 2 -1
1482014837367 0 -2
1482014839040 0 2
1482014840817 0 -2
1482014841345 4 2
1482014841873 5 1
1482014843088 3 2
1482014844194 11 -1
1482014844947 0 -1
1482014845716 1 -1
1482014847108 8 2
1482014848064 1 2
1482014849137 10 1
1482014849852 10 -1
1482014852263 R
1482014854840 5 1
1482014858871 3 -1
1482014864818 9 2
1482014865585 3 2
1482014866790 11 -1
1482014867466 0 -1
1482014868528 1 -2
1482014869572 7 -1
1482014870866 10 1
1482014871396 10 -1
1482014872405 1 3
1482014873427 9 -2
1482014875908 5 -1
1482014876769 4 -1
1482014877537 1 -2
1482014878265 12 -1
1482014879134 12 1
1482014880182 12 -1
1482014880849 12 1
1482014881526 3 -1
1482014882629 4 -1
1482014884887 12 -1
1482014885603 8 -2
1482014887378 1 1
1482014888005 1 -1
1482014893712 R
1482014895501 11 -1
1482014896112 0 -1
1482014898846 0 1
1482014899767 11 1
1482014900485 3 -1
1482014903373 5 -1
1482014904128 4 -2
1482014905285 0 2
1482014906195 1 -1
1482014906867 12 -1
1482014908500 1 1
1482014909025 0 -2
1482014909846 12 -1
1482014911233 7 -1
1482014911920 1 1
1482014914640 6 -1
1482014915216 8 -1
1482014915895 2 3
1482014919973 1 -1
1482014921805 1 1
1482014923342 2 -3
1482014924192 6 1
1482014924768 12 1
1482014925390 0 2
1482014926118 1 -2
1482014927406 8 1
1482014928086 12 1
1482014929108 1 2
1482014930721 10 4
1482014932949 11 2
1482014933743 9 -1
1482014934854 0 -2
1482014935860 0 -1
1482014936820 1 -3
1482014938660 12 -2
1482014940709 6 -3
1482014941780 8 -2
1482014943303 12 1
1482014943872 12 -1
1482014944366 8 2
1482014945045 12 2
1482014945796 10 -3
1482014946517 12 -2
1482014947189 8 -2
1482014947956 12 1
1482014948868 2 3
1482014949637 4 4
1482014950688 12 -1
1482014951985 12 1
1482014952575 5 1
1482014953237 5 -1
1482014953953 5 1
1482014954532 3 3
1482014955215 1 -1
1482014957132 1 1
1482014957743 3 -3
1482014959765 4 -3
1482014960587 8 1
1482014961925 8 -1
1482014963123 8 1
1482014963937 7 1
1482014964622 11 1
1482014965184 10 -1
1482014966292 1 1
1482014967507 9 1
1482014968164 9 -1
1482014969086 5 -1
1482014969707 4 -1
1482014970612 1 -1
1482014971716 12 -1
1482014972963 6 2
1482014974020 1 2
1482014975218 0 1
1482014976091 0 -1
1482014976800 1 -2
1482014977573 6 -2
1482014979010 12 1
1482014980837 1 1
1482014981559 1 -1
1482014982525 1 1
1482014983194 4 3
1482014984097 5 1
1482014985218 3 3
1482014986166 9 1
1482014986930 9 -1
1482014987556 1 -2
1482014989716 1 2
1482014990241 3 -3
1482014991257 5 -1
1482014992309 1 -1
1482014993219 10 1
1482014993850 10 -1
1482014995492 2 -3
1482014996115 4 -3
1482014997689 8 1
1482014999026 12 1
1482015000042 1 1
1482015000660 1 -1
1482015001331 12 -2
1482015002058 6 3
1482015002917 1 2
1482015003634 0 1
1482015005420 6 -1
1482015006033 8 -1
1482015006657 2 2
1482015007664 2 1
1482015011700 2 -3
1482015012468 6 1
1482015013139 8 1
1482015013956 12 2
1482015014626 0 2
1482015015538 1 -2
1482015016705 12 -1
1482015018038 8 -1
1482015019234 8 1
1482015019969 12 1
1482015022593 10 4
1482015023426 1 2
1482015024761 11 -2
1482015025572 7 -1
1482015027059 1 1
1482015027831 10 -3
1482015029029 12 -1
1482015029803 8 -1
1482015031922 9 1
1482015032580 11 -1
1482015033200 10 -1
1482015033977 1 -2
1482015034977 8 -1
1482015038240 1 1
1482015038924 0 -2
1482015039876 4 2
1482015040978 4 -2
1482015041666 12 -1
1482015042514 6 -1
1482015043236 2 3
1482015044059 4 2
1482015045920 8 1
1482015050102 4 -2
1482015050917 2 -3
1482015052307 2 3
1482015054371 2 -2
1482015054898 6 1
1482015055523 8 1
1482015057061 12 2
1482015057695 0 2
1482015058359 1 -1
1482015061187 1 1
1482015063314 12 -1
1482015065074 8 -2
1482015068097 8 2
1482015068638 1 1
1482015069067 12 1
1482015069640 10 3
1482015070512 11 2
1482015072181 9 -1
1482015073430 1 -3
1482015074337 10 -2
1482015076259 12 -1
1482015077075 8 -2
1482015078418 8 2
1482015079046 12 1
1482015080482 10 2
1482015081491 7 1
1482015082744 11 1
1482015083601 10 -2
1482015084848 10 -1
1482015085589 12 -1
1482015086193 8 -1
1482015088271 R
1482015088783 R
1482015093250 7 -1
1482015093921 1 1
1482015095654 5 1
1482015096415 9 2
1482015099056 9 -2
1482015099648 5 -1
1482015100227 4 -2
