1482041252493 R
1482041254419 11 -1
1482041256204 0 -1
1482041257687 1 -1
1482041258996 1 1
1482041259508 1 -1
1482041260292 7 -1
1482041260901 1 2
1482041261438 10 2
1482041263013 0 1
1482041263619 11 3
1482041264470 9 -1
1482041265126 3 -1
1482041266035 5 -1
1482041268766 4 -2
1482041270317 0 -1
1482041271519 10 2
1482041273837 1 -2
1482041274589 5 2
1482041275176 4 1
1482041275821 3 2
1482041277071 3 -2
1482041277805 4 -1
1482041278247 5 -1
1482041278710 1 -1
1482041280359 10 -3
1482041281016 12 -1
1482041281800 8 -2
1482041282448 8 2
1482041282946 5 -1
1482041283502 12 -1
1482041284072 6 -3
1482041284638 8 -2
1482041285761 2 3
1482041290043 4 4
1482041293297 12 1
1482041293778 5 1
1482041294370 3 3
1482041295410 1 -1
1482041296192 1 1
1482041297335 3 -3
1482041299441 3 3
1482041306112 3 -3
1482041310761 4 -1
1482041311505 8 1
1482041312431 7 1
1482041312971 11 1
1482041313881 10 -1
1482041314763 1 1
1482041316298 3 3
1482041319932 3 -3
1482041322772 5 -1
1482041323917 5 1
1482041324437 3 3
1482041325843 1 -2
1482041329638 0 1
1482041330090 10 1
1482041331023 11 -2
1482041331669 7 -1
1482041332054 6 -1
1482041333651 8 -1
1482041334910 4 1
1482041336100 4 -1
1482041336581 8 1
1482041337646 7 1
1482041338027 6 1
1482041340974 11 2
1482041341614 0 -1
1482041344689 10 -1
1482041345752 1 2
1482041347172 3 -3
1482041348137 5 -1
1482041348856 1 -1
1482041349991 12 -1
1482041350911 6 1
1482041351549 6 -1
1482041352254 12 1
1482041363168 10 1
1482041363852 11 -1
1482041364393 7 -1
1482041365073 8 -1
1482041365747 4 1
1482041368562 4 -1
1482041370515 2 -1
1482041371820 8 2
1482041372313 7 2
1482041373211 7 -2
1482041374305 7 1
1482041374819 12 1
1482041375324 11 1
1482041377147 10 -1
1482041378660 1 1
1482041379593 5 2
1482041380614 9 4
1482041381581 3 3
1482041383294 1 -2
1482041386482 5 -1
1482041388139 5 1
1482041389861 1 2
1482041394333 9 -1
1482041413865 1 -2
1482041416207 10 1
1482041416606 0 1
1482041417185 11 -4
1482041417978 10 -1
1482041418343 6 -1
1482041418754 7 -1
1482041420090 0 -1
1482041420647 1 4
1482041423617 9 -2
1482041425583 3 -2
1482041433867 0 1
1482041434450 11 1
1482041434881 3 -1
1482041435491 5 -2
1482041438514 12 -2
1482041439003 1 -1
1482041439571 8 -2
1482041441805 8 1
1482041444243 2 1
1482041445105 12 1
1482041445797 0 3
1482041449699 0 1
