1482600390341 R
1482600468415 R
1482600473558 3 -1
1482600475399 5 -1
1482600477826 4 -2
1482600480596 0 2
1482600483994 2 1
1482600485172 2 -1
1482600492169 12 -1
1482600496467 0 -2
1482600498341 4 2
1482600499744 5 1
1482600501379 3 2
1482600503169 11 -1
1482600504510 0 -1
1482600506043 1 -1
1482600511574 7 -1
1482600514577 1 2
1482600516027 12 1
1482600518401 4 -1
1482600519755 0 1
1482600525453 3 -1
1482600527006 4 -1
1482600530940 5 1
1482600532642 9 1
1482600535244 1 -1
1482600558788 4 2
1482600560784 9 1
1482600562249 3 1
1482600568329 0 -1
1482600570487 9 -2
1482600572211 2 1
1482600573985 R
1482600580790 7 -1
1482600582264 1 1
1482600585610 10 2
1482600588799 11 2
1482600591507 9 -1
1482600593032 3 -1
1482600594597 5 -1
1482600596451 4 -2
1482600598798 10 -1
1482600600875 0 2
1482600604057 0 -1
1482600605661 4 2
1482600611853 4 -2
1482600616014 10 3
1482600617957 11 -1
1482600623524 1 -1
1482600624870 12 -1
1482600627977 11 1
1482600630946 0 1
1482600632442 1 -2
1482600634062 12 1
1482600635974 10 -3
1482600641254 2 1
1482600645578 11 -1
1482600652044 10 2
1482600654467 1 3
1482600660452 10 -2
1482600662575 2 -1
1482600669163 9 1
1482600670769 11 -1
1482600672196 10 -1
1482600675081 0 -1
1482600681162 2 1
1482600690127 0 1
1482600692498 2 -1
1482600704560 1 -1
1482600705990 1 -1
1482600708202 12 -1
1482600712039 8 -2
1482600718321 2 1
