1481495932029 R
1481495939466 11 -1
1481495943065 7 -1
1481495945407 1 1
1481495946282 10 2
1481495947284 11 3
1481495948342 3 -1
1481495949050 9 -1
1481495950246 5 -1
1481495951391 4 -2
1481495952481 10 2
1481495953820 0 2
1481495957105 1 -3
1481495958603 11 -1
1481495961042 7 1
1481495962561 1 2
1481495965252 9 1
1481495966004 11 -1
1481495967691 7 -1
1481495970269 1 1
1481495971629 10 -4
1481495972968 10 3
1481495973835 11 2
1481495978043 10 -2
1481495979729 2 1
1481495981938 9 -1
1481495983083 0 -3
1481495984117 5 2
1481495984713 4 2
1481495985759 2 -1
1481495986855 5 -2
1481495990484 12 -2
1481495991261 6 -1
1481495992509 2 2
1481495993420 2 -2
1481495994489 6 1
1481495995772 12 2
1481495996549 10 1
1481495997853 0 2
1481496002612 11 -1
1481496004739 10 -1
1481496008195 4 -2
1481496010510 12 -1
1481496011567 8 -1
1481496012884 0 1
1481496013929 9 1
1481496014874 11 -1
1481496015808 10 -1
1481496016697 1 -2
1481496019543 8 1
1481496021050 12 1
1481496022671 1 2
1481496031052 10 4
1481496032222 11 2
1481496033227 9 -1
1481496034506 0 -3
1481496035721 5 2
1481496036744 4 1
1481496040514 1 -3
1481496041706 7 1
1481496042350 11 1
1481496045531 3 2
1481496046954 1 2
1481496048063 0 1
1481496048883 9 2
1481496052303 11 -4
1481496054958 7 -1
1481496055791 1 1
1481496056859 0 -1
1481496058288 9 -1
1481496058930 3 -1
1481496059796 4 -1
1481496061350 5 -1
1481496062254 10 -4
1481496064869 1 -2
1481496066278 12 -1
1481496067153 8 -2
1481496071676 4 2
1481496072328 3 1
1481496073363 2 1
1481496074084 3 1
1481496077629 1 1
1481496082095 R
1481496086282 7 -1
1481496087104 12 -1
1481496087685 8 -2
1481496090677 3 -1
1481496091645 5 -1
1481496092398 12 -1
1481496093231 6 -1
1481496094097 2 3
1481496096315 4 -2
1481496098128 8 1
1481496098722 1 1
1481496101837 10 1
1481496102445 11 2
1481496103379 9 -1
1481496104673 0 -1
1481496106776 4 2
1481496109769 R
1481496112941 7 -1
1481496114133 1 1
1481496118724 1 -1
1481496119297 12 -1
1481496119920 8 -2
1481496125822 4 -2
1481496127063 3 -1
1481496127647 5 -1
1481496128590 12 -1
1481496129637 6 -1
1481496130436 2 3
1481496131954 8 1
1481496132538 1 1
1481496135353 4 2
1481496138445 1 -1
1481496139030 8 -1
1481496140516 4 -2
1481496141584 2 -3
1481496142810 6 1
1481496143530 12 1
1481496147591 5 1
1481496148255 4 2
1481496149178 3 2
1481496150303 11 -1
1481496153970 0 -1
1481496155050 1 -1
1481496156595 1 1
1481496157729 8 2
1481496158324 1 1
1481496159438 0 1
1481496162082 2 1
1481496162644 3 1
1481496166424 12 1
1481496166976 5 1
1481496167707 9 2
1481496170598 0 -1
1481496171655 1 -4
1481496172803 0 1
1481496177078 R
1481496189611 4 -2
1481496191039 7 -1
1481496191637 12 -1
1481496192344 8 -2
1481496194887 3 -1
1481496195967 5 -1
1481496196957 12 -1
1481496197656 6 -1
1481496198423 2 3
1481496200051 4 2
1481496203346 8 1
1481496205531 4 -2
1481496208140 4 2
1481496211065 1 1
1481496212156 10 1
1481496212920 11 2
1481496213833 9 -1
1481496216374 4 -2
1481496217319 2 -3
1481496218208 6 1
1481496218997 8 1
1481496219704 12 2
1481496220638 0 2
1481496221713 11 -1
1481496226252 11 1
1481496227624 9 1
1481496228513 11 -2
1481496229386 10 -1
1481496230279 1 -2
1481496231282 12 -1
1481496232046 8 -2
1481496234229 2 1
1481496235533 1 1
1481496236591 0 -1
1481496238752 8 2
1481496239414 12 1
1481496239977 1 1
1481496241127 2 -1
1481496242059 0 1
1481496243183 1 -2
1481496244871 12 -1
1481496245781 8 -2
1481496248403 2 1
1481496250833 1 1
1481496252692 8 2
1481496253468 1 1
1481496254264 12 1
1481496255537 2 -1
1481496259417 10 3
1481496260148 11 2
1481496261129 9 -1
1481496262274 1 -3
1481496263592 11 -1
1481496265076 11 1
1481496265820 7 1
1481496266493 11 -1
1481496267292 7 -1
1481496268655 10 -2
1481496270066 12 -1
1481496270678 8 -2
1481496275878 8 2
1481496276394 12 1
1481496277181 10 2
1481496279332 11 1
1481496280995 1 3
1481496282829 9 1
1481496283799 11 -2
1481496285622 1 -2
1481496287250 10 1
1481496287947 12 -1
1481496288612 8 -2
1481496290314 1 1
1481496291380 0 -2
1481496293684 5 1
1481496294371 3 1
1481496295170 11 -1
1481496297307 8 2
1481496297836 12 1
1481496299512 1 1
1481496301200 5 1
1481496301999 5 -1
1481496302658 10 -4
1481496304305 5 1
1481496306309 1 -1
1481496308177 5 -1
1481496308726 12 -1
1481496309423 8 -2
1481496312004 4 2
1481496313023 3 1
1481496315907 8 2
1481496316704 12 1
1481496317231 5 1
1481496318052 9 2
1481496319529 0 -1
1481496320257 1 -2
1481496321011 10 1
