1481067961008 R
1481067964791 4 -2
1481067969020 7 -1
1481067970621 1 1
1481067974182 10 3
1481067975427 11 2
1481067976782 3 -1
1481067978350 9 -1
1481067979893 5 -1
1481067982628 1 -1
1481067984741 10 1
1481067985876 12 -2
1481067987340 8 -2
1481067989988 12 1
1481067991460 0 2
1481067993195 1 -2
1481067995459 11 -1
1481067998299 8 2
1481067999291 12 1
1481068000755 10 -3
1481068004586 11 1
1481068009962 10 3
1481068012729 1 3
1481068013724 0 -3
1481068015403 12 -2
1481068016395 1 -3
1481068018796 6 -3
1481068021814 12 2
1481068023323 10 -3
1481068025882 12 -2
1481068027113 8 -2
1481068029913 2 3
1481068031200 4 4
1481068032921 12 1
1481068104552 4 -4
1481068112325 8 1
1481068113799 8 -1
1481068114805 12 -1
1481068116246 6 2
1481068117670 6 -2
1481068118925 4 4
1481068120166 12 1
1481068123724 5 1
1481068124809 3 3
1481068126092 1 -1
1481068128012 4 -3
1481068129156 8 1
1481068130933 7 1
1481068131755 11 1
1481068133164 10 -1
1481068135155 4 2
1481068138035 0 1
1481068140348 0 -1
1481068145604 R
1481068150434 11 -1
1481068153067 7 -1
1481068154411 1 1
1481068156378 10 2
1481068158098 11 3
1481068159329 9 -1
1481068160433 3 -1
1481068161905 5 -1
1481068163177 4 -2
1481068164569 10 2
1481068165929 1 -1
1481068168274 12 -1
1481068169850 8 -2
1481068171497 0 2
1481068172785 1 -2
1481068174657 11 -1
1481068178865 1 2
1481068183704 1 -2
1481068186145 1 2
1481068187007 0 -2
1481068188353 12 -1
1481068190608 6 -1
1481068192968 8 2
1481068193688 1 1
1481068196447 11 1
1481068197407 0 -1
1481068198783 1 -3
1481068200223 6 -2
1481068201607 12 2
1481068204408 7 1
1481068205384 11 1
1481068208423 1 1
1481068209489 9 1
1481068210932 5 2
1481068211959 9 1
1481068213824 3 1
1481068218271 R
1481068226415 4 -2
1481068231358 7 -1
1481068234334 11 -1
1481068591958 12 -1
1481068593627 7 2
1481068597557 0 -1
1481068598692 4 2
1481068599868 3 1
1481068601770 1 -1
1481068602825 7 -2
1481068603851 12 1
1481068604764 1 2
1481068606818 4 -1
1481068608196 10 4
1481068611345 10 -4
1481068615060 1 -2
1481068616562 12 -1
1481068617665 8 -2
1481068619562 2 1
1481068621615 3 1
1481068624113 R
1481068627530 12 -1
1481068629144 8 -1
1481068629907 7 -1
1481068631520 8 1
1481068632560 12 1
1481068634817 12 -1
1481068636423 3 -1
1481068637499 5 -1
1481068639049 12 -1
1481068642127 8 -2
1481068643080 8 2
1481068645919 1 1
1481068647607 6 -1
1481068648796 4 -2
1481068650159 6 1
1481068651142 12 2
1481068652318 0 2
1481068653734 1 -2
1481068655725 12 -1
1481068656926 8 -2
1481068661822 R
1481068663798 11 -1
1481068666240 7 -1
1481068669342 12 -1
1481068671517 4 -2
1481068673751 2 1
1481068674701 4 2
1481068675728 3 2
1481068678679 4 -1
1481068681870 1 1
1481068683159 12 1
1481068684255 10 3
1481068685637 1 -1
1481068688560 11 3
1481068689709 0 -1
1481068690512 9 -1
1481068691670 1 -3
1481068694381 10 -2
1481068698078 12 -1
1481068702333 12 1
1481068706612 1 1
1481068707708 3 -3
1481068709214 5 -1
1481068710236 4 -1
1481068712075 10 2
1481068713701 1 3
1481068715045 0 3
1481068716420 1 -3
1481068723171 11 -1
1481068727275 1 3
1481068730244 11 1
1481068732436 9 1
1481068733563 11 -2
1481068734778 10 -3
1481068737610 1 -2
1481068739938 12 -1
1481068741233 8 -2
1481068744379 2 -1
1481068748898 1 1
1481068793968 1 -1
1481068795239 8 2
1481068796527 12 1
1481068798681 1 2
1481068799888 10 4
1481068801536 1 -2
1481068805616 12 -1
1481068807775 7 2
1481068810399 7 -2
1481068811607 12 1
1481068813158 10 -1
1481068815126 10 1
1481069192193 1 2
1481069194587 10 -4
1481069197897 10 3
1481069199313 1 -2
1481069205482 R
1481069210529 3 -1
1481069211835 5 -1
1481069213314 4 -2
1481069215992 7 -1
1481069219512 1 1
1481069225632 0 2
1481069227912 0 -1
1481069231144 0 -1
1481069233879 10 3
1481069235369 11 2
1481069236529 0 -1
1481069237635 10 -2
1481069239528 10 3
