1482796637283 R
1482796641041 2 1
1482796642777 2 -1
1482796645503 4 -2
1482796646973 5 1
1482796650827 9 1
1482796652407 11 -1
1482796654121 0 -1
1482796656776 9 -1
1482796666520 4 2
1482796668115 9 2
1482796669092 3 1
1482796671059 0 1
1482796672091 11 1
1482796673305 3 -2
1482796675043 9 -2
1482796676216 5 -2
1482796678924 4 -2
1482796680450 0 2
1482796688647 1 -1
1482796690733 7 -1
1482796694407 12 -1
1482796696740 8 -2
1482796708775 1 1
1482796719420 8 2
1482796720988 12 1
1482796721732 1 1
1482796725305 0 -2
1482796727044 5 2
1482796728880 4 2
1482796730432 4 -2
1482796731745 5 -2
1482796732827 0 2
1482796733967 2 1
1482796735646 12 -1
1482796737801 10 1
1482796741820 12 1
1482796743863 2 -1
1482796746596 10 -1
1482796752260 10 1
1482796754938 10 3
1482796758514 1 -2
1482796766027 12 -1
1482796767485 8 -2
1482796773406 1 1
1482796774633 11 2
1482796783912 0 -2
1482796787309 U
1482796788539 R
1482796793870 4 -1
1482796797552 7 -1
1482796801041 1 1
1482796804184 10 4
1482796807152 3 -1
1482796818019 5 -1
1482796819118 4 -1
1482796821255 10 -4
1482796825156 2 1
1482796826899 0 2
1482796830451 10 3
1482796833395 2 -1
1482796834733 10 1
1482796837412 0 -2
1482796839424 0 2
1482796840573 12 -1
1482796841904 1 -2
1482796848952 1 1
1482796851824 1 -1
1482796854415 12 1
1482796857007 10 -1
1482796859353 2 1
1482796871193 11 2
1482796875827 1 2
1482796877125 10 -2
1482796881940 9 -1
1482796885805 11 -1
1482796893532 9 1
1482796895357 11 1
1482796896740 11 -2
1482796898471 10 -1
1482796902705 1 -2
1482796906430 12 -1
1482796910450 2 -1
1482796911692 12 1
1482796914320 12 -1
1482796915599 8 -2
1482796919451 2 1
1482796983634 8 2
1482796985011 12 1
1482796988960 1 2
1482796993539 10 3
1482796996986 1 -2
1482796998239 7 1
1482797000599 11 3
1482797001625 9 -1
1482797002762 1 -1
1482797005231 10 -3
1482797009023 2 -1
1482797017384 12 -1
1482797019192 10 1
1482797020559 11 -2
1482797022163 7 -1
1482797025309 8 -2
1482797032677 2 1
