1479556781328 R
1479556788091 9 -1
1479556789906 11 1
1479556808642 R
1479556811085 2 -2
1479556816379 5 1
1479556817874 12 1
1479556823073 9 -1
1479556825240 11 2
1479556830253 11 -2
1479556831593 1 -1
1479556836796 1 1
1479556844903 9 1
1479556846504 2 3
1479556856777 2 -3
1479556861247 9 -1
1479556866283 11 1
1479556867872 2 3
1479556872922 12 -1
1479556874428 8 -1
1479556882302 8 1
1479556883502 12 1
1479556890634 11 -1
1479556893632 1 -1
1479556895492 2 -3
1479556898130 3 2
1479556903647 12 -1
1479556905460 5 -1
1479556912922 5 1
1479556914322 12 1
1479556919955 R
1479556927253 2 1
1479556935021 5 1
1479556937023 12 1
1479556940035 9 -1
1479556942387 11 2
1479556946449 4 -2
1479556948342 10 1
1479556949412 2 1
1479556951825 11 1
1479556956110 1 -1
1479556966701 12 -1
1479556969016 0 1
1479556973371 1 1
1479556977794 11 -1
1479556979373 2 -1
1479556980951 4 1
1479556983598 6 1
1479556990401 12 1
1479556994566 7 1
1479557000567 12 -1
1479557001333 5 -1
1479557002756 0 1
1479557006521 7 -1
1479557008392 0 -1
1479557011737 0 -1
1479557012934 11 -2
1479557014524 9 1
1479557020243 5 1
1479557021324 12 1
1479557029808 6 -1
1479557031799 9 -1
1479557033457 11 3
1479557038637 0 1
1479557043119 9 1
1479557052063 4 -1
1479557053734 2 1
1479557056475 9 -1
1479557058805 11 -1
1479557061100 6 1
1479557066653 2 -1
1479557067809 4 1
1479557070964 12 -1
