1481096618310 R
1481096620541 8 -1
1481096621628 8 -1
1481096623610 4 1
1481096675663 4 -2
1481096676951 9 1
1481096677982 1 1
1481096679144 10 2
1481096680543 0 2
1481096681645 6 -2
1481096688430 6 2
1481096689398 12 3
1481096690500 5 2
1481096692571 7 -1
1481096693846 6 -3
1481096719112 6 3
1481096720957 12 -2
1481096722579 10 -1
1481096727621 0 -3
1481096728700 10 -1
1481096735412 10 2
1481096736588 12 2
1481096737641 6 -3
1481096739710 12 -2
1481096740887 10 -2
1481096742622 1 -2
1481096743848 9 -3
1481096745150 4 2
1481096748591 9 2
1481096749942 9 -2
1481096750883 10 1
1481096752073 1 1
1481096755318 3 1
1481096756224 5 1
1481096757771 12 -1
1481096758737 6 1
1481096778354 10 -1
1481096779332 9 2
1481096780459 6 1
1481096781673 0 1
1481096783968 4 -2
1481096785007 9 1
1481096786182 10 1
1481096787644 0 2
1481096788796 6 -2
1481096792500 12 1
1481096794210 5 -2
1481096795299 3 -1
1481096796403 1 -1
1481096802917 5 1
1481096808490 R
1481096811884 8 -2
1481096812814 4 1
1481096814845 6 -1
1481096815785 1 -1
1481096817372 4 -2
1481096818921 1 2
1481096820310 6 1
1481096822388 1 -1
1481096823505 4 2
1481096826402 12 1
1481096827489 5 2
1481096843602 R
1481096850561 8 -2
1481096852444 4 -1
1481096853388 9 1
1481096854180 1 1
1481096854972 10 2
1481096856136 0 2
1481096859826 10 -1
1481096860855 1 -1
1481096862972 12 1
1481096863800 5 2
1481096864643 0 -3
1481096866103 10 -1
1481096867021 9 -1
1481096868344 4 2
1481096869733 4 -2
1481096870727 9 1
1481096872234 1 1
1481096873424 10 2
1481096874488 0 3
1481096875346 10 -1
1481096876766 1 -1
1481096877907 5 -1
1481096879638 5 -1
1481096880321 12 -1
1481096881907 6 -2
1481096882775 1 -1
