1481115508344 R
1481115508344 R
1481115510868 13 1
1481115510868 13 1
1481115512156 8 -2
1481115512156 8 -2
1481115513515 13 -1
1481115513515 13 -1
1481115517072 4 -1
1481115517072 4 -1
1481115518861 9 1
1481115518861 9 1
1481115522788 1 1
1481115522788 1 1
1481115524381 10 2
1481115524381 10 2
1481115535735 8 2
1481115535735 8 2
1481115537158 2 2
1481115537158 2 2
1481115539021 7 2
1481115539021 7 2
1481115546068 7 -2
1481115546068 7 -2
1481115547700 2 -2
1481115547700 2 -2
1481115549343 8 -2
1481115549343 8 -2
1481115551424 0 2
1481115551424 0 2
1481115553596 6 -2
1481115553596 6 -2
1481115559167 6 2
1481115559167 6 2
1481115563359 12 3
1481115563359 12 3
1481115565773 6 -2
1481115565773 6 -2
1481115568781 6 2
1481115568781 6 2
1481115570477 12 -3
1481115570477 12 -3
1481115572678 0 -2
1481115572678 0 -2
1481115575463 10 -2
1481115575463 10 -2
1481115576799 9 -1
1481115576799 9 -1
1481115578182 4 1
1481115578182 4 1
1481115585184 6 -1
1481115585184 6 -1
1481115586900 1 -2
1481115586900 1 -2
1481115588088 4 1
1481115588088 4 1
1481115598040 4 -2
1481115598040 4 -2
1481115599746 9 1
1481115599746 9 1
1481115604370 9 -1
1481115604370 9 -1
1481115607350 1 1
1481115607350 1 1
1481115609573 6 1
1481115609573 6 1
1481115612743 4 2
1481115612743 4 2
1481115626184 8 2
1481115626184 8 2
1481115627372 13 2
1481115627372 13 2
1481115629948 8 -2
1481115629948 8 -2
1481115632284 13 -2
1481115632284 13 -2
1481115633809 12 1
1481115633809 12 1
1481115635579 5 2
1481115635579 5 2
1481115640161 7 -1
1481115640161 7 -1
1481115649330 5 -1
1481115649330 5 -1
1481115660389 8 2
1481115660389 8 2
1481115663538 8 -2
1481115663538 8 -2
1481115674811 5 1
1481115674811 5 1
1481115678447 R
1481115678447 R
1481115684336 4 1
1481115684336 4 1
1481115685691 8 -2
1481115685691 8 -2
1481115689586 6 -1
1481115689586 6 -1
1481115690881 1 -1
1481115690881 1 -1
1481115693461 4 -2
1481115693461 4 -2
1481115696116 9 1
1481115696116 9 1
1481115697424 10 1
1481115697424 10 1
1481115703596 2 1
1481115703596 2 1
1481115704916 8 1
1481115704916 8 1
1481115707060 8 -1
1481115707060 8 -1
1481115710453 8 2
1481115710453 8 2
1481115712203 11 2
1481115712203 11 2
1481115714120 5 -1
1481115714120 5 -1
1481115714965 5 1
1481115714965 5 1
1481115716408 11 -2
1481115716408 11 -2
1481115717641 8 -2
1481115717641 8 -2
1481115726995 1 2
1481115726995 1 2
1481115728178 6 1
1481115728178 6 1
1481115729359 10 1
1481115729359 10 1
1481115731403 2 -1
1481115731403 2 -1
1481115736910 0 2
1481115736910 0 2
1481115738339 6 -2
1481115738339 6 -2
1481115741093 10 -1
1481115741093 10 -1
1481115742878 1 -2
1481115742878 1 -2
1481115745850 6 1
1481115745850 6 1
1481115753425 6 -1
1481115753425 6 -1
1481115762874 1 2
1481115762874 1 2
1481115764240 10 1
1481115764240 10 1
1481115768708 10 -1
1481115768708 10 -1
1481115769956 1 -2
1481115769956 1 -2
1481115774585 6 1
1481115774585 6 1
1481115777597 6 -1
1481115777597 6 -1
1481115780305 1 2
1481115780305 1 2
1481115783316 10 1
1481115783316 10 1
1481115788011 6 2
1481115788011 6 2
1481115794009 0 -1
1481115794009 0 -1
1481115797679 0 1
1481115797679 0 1
1481115798829 6 -2
1481115798829 6 -2
1481115800029 10 -1
1481115800029 10 -1
1481115801296 1 -2
1481115801296 1 -2
1481115810730 6 1
1481115810730 6 1
1481115814362 0 -1
1481115814362 0 -1
1481115816445 8 2
1481115816445 8 2
