1482442039353 R
1482442044930 8 -2
1482442049107 4 -1
1482442050450 9 1
1482442051981 1 1
1482442053950 10 2
1482442056769 0 2
1482442063964 0 -2
1482442069919 2 2
1482442071883 8 2
1482442074169 11 2
1482442075174 7 2
1482442076336 5 -1
1482442077567 0 -1
1482442079911 6 -3
1482442090010 6 3
1482442091441 0 1
1482442092360 12 1
1482442093950 5 3
1482442099570 11 -2
1482442100393 7 -3
1482442102682 2 -2
1482442104180 8 -2
1482442107185 10 -2
1482442108318 9 -1
1482442109205 1 -1
1482442110917 4 2
1482442128965 0 -1
1482442133569 R
1482442142909 4 1
1482442144183 8 -2
1482442151951 4 -2
1482442153375 9 1
1482442154534 1 1
1482442156165 10 2
1482442160054 2 2
1482442161201 8 2
1482442162510 7 2
1482442163516 11 1
1482442164863 11 1
1482442167869 5 -1
1482442171028 7 -2
1482442172520 11 -1
1482442180383 8 -2
1482442182264 2 -1
1482442183541 6 -1
1482442184601 10 -1
1482442185952 1 -2
1482442187012 1 2
1482442188416 10 1
1482442189462 6 1
1482442193299 12 3
1482442194748 0 -1
1482442200339 12 -3
1482442206670 R
1482442225911 4 1
1482442231397 8 -2
1482442239541 6 -1
1482442246230 8 2
1482442247863 13 2
1482442250678 8 -2
1482442253360 13 -2
1482442255338 4 -2
1482442256579 9 1
1482442257130 1 1
1482442259076 10 2
1482442262420 6 1
1482442264993 12 3
1482442266725 5 2
1482442268453 0 2
1482442270883 6 -2
1482442275625 5 -2
1482442277452 6 2
1482442279332 12 -3
1482442281010 6 -2
1482442282839 10 -1
1482442285386 10 1
1482442288242 6 2
1482442289858 12 3
1482442291193 5 2
1482442292464 7 -1
1482442295300 6 -1
1482442297189 3 1
1482442299064 5 1
1482442301286 0 -3
1482442320435 R
1482442326530 4 1
1482442329220 4 -2
1482442330616 8 -1
1482442332024 9 1
1482442333008 1 1
1482442334375 10 2
1482442336029 8 -1
