1481595192832 R
1481595298989 4 1
1481595301388 8 -2
1481595308566 13 2
1481595311401 8 2
1481595341016 12 1
1481595342819 5 2
1481595344336 7 -1
1481595348191 7 1
1481595352795 0 -1
1481595358880 8 -2
1481595360252 13 -2
1481595361586 4 -2
1481595362894 9 1
1481595365594 10 1
1481595367591 0 3
1481595370675 1 1
1481595371822 10 1
1481595376618 7 -1
1481595385395 5 -1
1481595400387 10 -1
1481595401775 1 -1
1481595405577 U
1481595408503 R
1481595412341 4 1
1481595413740 8 -2
1481595416150 4 -2
1481595417141 9 1
1481595418100 1 1
1481595419371 10 2
1481595421215 0 2
1481595423237 6 -2
1481595426828 10 -1
1481595428276 1 -2
1481595443478 R
1481595453582 8 -2
1481595455453 4 1
1481595458420 4 -2
1481595459433 9 1
1481595460431 1 1
1481595462892 10 1
1481595465081 0 2
1481595466889 6 -2
1481595468941 1 -2
1481595471366 6 1
1481595485923 6 -1
1481595492528 1 2
1481595494867 10 1
1481595568424 6 2
1481595570670 12 1
1481595572192 5 2
1481595573664 7 -1
