1482453151348 R
1482453278782 4 1
1482453284510 6 -1
1482453285534 1 -1
1482453290726 8 -2
1482453313096 R
1482453324573 8 -2
1482453326093 4 1
1482453339523 12 1
1482453340785 5 2
1482453345979 7 -1
1482453348455 8 2
1482453353065 8 -2
1482453359297 7 1
1482453360312 5 -2
1482453362228 12 -1
1482453363401 6 -1
1482453364667 1 -1
1482453366723 4 -2
1482453367714 9 1
1482453369323 10 1
1482453370751 0 2
1482453372985 6 -1
1482453379007 6 1
1482453380101 6 -1
1482453386890 1 1
1482453392478 1 1
1482453401434 10 1
1482453417630 6 1
1482453420495 6 1
1482453438359 0 -2
1482453442129 R
1482453468291 8 -2
1482453478984 1 1
1482453496243 4 -1
1482453496974 9 1
1482453498695 10 2
1482453500891 0 2
1482453504507 6 -2
1482453505564 10 -1
1482453510305 10 1
1482453518500 6 2
1482453521276 12 3
1482453525747 12 -3
1482453533390 6 -2
1482453536077 6 2
1482453538132 0 -2
1482453539630 10 -2
1482453540948 9 -1
1482453543898 4 1
1482453544906 1 -1
1482453546024 4 1
1482453548560 6 -1
1482453549570 1 -1
1482453563632 8 2
1482453566694 8 -2
1482453569347 R
1482453597085 12 1
1482453598303 5 2
1482453599723 0 -1
1482453604301 7 -1
1482453605519 8 -2
1482453609073 4 -1
1482453609801 9 1
1482453610763 1 1
1482453613053 10 2
1482453645889 10 -2
1482453647565 9 -1
1482453648969 4 1
1482453664473 4 -1
1482453665583 9 1
