1480525029212 R
1480525036547 4 1
1480525038619 13 2
1480525042667 8 -2
1480525044955 13 -2
1480525046739 4 -2
1480525047620 1 1
1480525048515 9 1
1480525049987 10 2
1480525050931 12 3
1480525053011 6 -1
1480525054547 6 1
1480525056186 0 2
1480525057235 5 2
1480525058877 7 -1
1480525059859 0 -3
1480525061075 12 -2
1480525061755 12 2
1480525062539 6 -2
1480525063739 6 1
1480525065755 3 1
1480525066507 5 1
1480525068251 0 3
1480525069171 6 -2
1480525070308 5 -2
1480525071051 12 -2
1480525072019 3 -1
1480525073659 10 -1
1480525075203 10 1
1480525076339 10 -1
1480525077227 1 -2
1480525079164 1 2
1480525080109 3 2
1480525082347 5 2
1480525085095 12 -1
1480525087227 6 2
1480525089347 7 1
1480525090003 0 -3
1480525091162 8 2
1480525092363 2 1
1480525093075 11 2
1480525093963 7 -1
1480525094940 6 -2
1480525096492 12 1
1480525097157 5 -1
1480525097715 3 -2
1480525098947 1 -2
1480525100262 1 2
1480525101267 10 1
1480525103027 12 1
1480525107218 3 1
1480525107876 5 1
1480525108603 12 -2
1480525109915 6 2
1480525111250 2 1
1480525112515 11 -2
1480525115883 2 -2
1480525116690 6 -2
1480525119091 12 2
1480525120123 5 -1
1480525120779 3 -1
1480525122716 12 -1
1480525123523 10 -2
1480525124314 1 -2
1480525124956 9 -3
1480525126866 10 1
1480525127532 8 2
1480525128371 4 2
1480525129666 13 2
1480525130803 2 1
1480525133283 13 -2
1480525134341 2 -1
1480525135228 8 -4
1480525138908 10 -1
1480525139467 1 1
1480525140154 9 2
1480525140915 3 1
1480525141796 5 1
1480525143941 8 2
1480525145067 8 -2
1480525145978 4 -2
1480525146540 1 1
1480525146979 9 1
1480525147739 10 2
1480525148531 12 2
1480525149187 6 2
1480525149978 0 3
1480525150915 5 -2
1480525151778 6 -2
1480525153355 12 -2
1480525154196 3 -1
1480525155170 10 -1
1480525155755 1 -2
1480525157219 1 2
1480525157819 10 1
1480525159844 5 1
1480525161314 3 1
1480525161842 5 1
1480525162523 12 -1
1480525163483 6 2
1480525166906 6 -2
1480525168050 10 -1
1480525170034 10 1
1480525172094 6 2
1480525173922 0 -2
1480525174883 8 2
1480525175602 2 2
1480525176627 11 2
1480525177323 7 3
1480525178827 0 -1
1480525179676 6 -2
1480525180682 12 1
1480525181324 5 -1
1480525181803 3 -1
1480525183947 11 -2
1480525187923 3 1
1480525188461 5 1
1480525189115 12 -1
1480525190525 6 2
1480525191531 7 -3
1480525192570 2 -2
1480525193203 8 -2
1480525194835 2 2
1480525195674 8 2
1480525197458 8 -2
1480525198731 2 -2
1480525199628 7 1
1480525200522 0 3
1480525202210 6 -1
1480525203202 10 -1
1480525203882 1 -1
1480525204859 1 1
1480525205827 6 1
1480525207026 0 -3
1480525207618 10 -1
1480525208186 6 -1
1480525209530 3 1
1480525212307 10 1
1480525212875 6 1
1480525213508 8 2
1480525214139 R
1480525215290 R
1480525216290 R
1480525217666 R
1480525219930 4 -1
1480525220563 1 1
1480525221187 9 1
1480525222108 10 2
1480525223394 8 -2
1480525224402 12 3
1480525225634 6 -1
1480525226666 6 1
1480525227394 0 2
1480525228290 5 2
1480525229330 7 -1
1480525230274 6 -3
1480525231610 12 -2
1480525233027 10 -1
1480525233650 1 -2
1480525235310 1 2
1480525236218 10 1
1480525237170 3 1
1480525237818 5 1
1480525238371 12 -1
1480525239427 6 2
1480525240891 0 -3
1480525242418 2 2
1480525243210 11 1
1480525244058 7 2
1480525245434 11 -1
1480525246090 7 -2
1480525246834 6 -2
1480525248826 12 1
1480525249722 5 -1
1480525250378 3 -1
1480525251844 2 -2
1480525253746 10 -2
1480525254450 1 -2
1480525255075 9 -3
1480525255675 4 2
1480525257570 8 4
1480525259530 10 1
1480525260778 13 2
1480525261546 2 1
1480525261986 2 -1
1480525263338 13 -2
1480525265893 8 -4
1480525267138 10 -1
1480525269530 4 -2
1480525270330 8 4
1480525273274 8 -4
1480525273762 1 2
1480525274562 9 3
1480525275891 10 2
1480525277550 12 2
1480525278309 6 3
1480525281866 0 3
1480525283178 7 1
1480525283794 5 -2
1480525284881 6 -2
1480525285897 3 1
1480525286460 5 3
1480525287309 7 -1
1480525288441 6 1
1480525289163 0 -3
1480525291249 6 -2
1480525292524 6 2
1480525293066 0 3
1480525294017 7 1
1480525294970 5 -3
1480525296073 3 -1
1480525297114 6 -1
1480525297691 6 2
1480525298737 12 -3
1480525299714 0 -2
1480525301779 6 -1
1480525302466 10 -2
1480525303163 1 -2
