1481127891859 R
1481127895145 12 1
1481127905131 12 -1
1481127909210 6 -1
1481127916041 6 1
1481127923018 12 1
1481127924274 5 2
1481127926858 7 -1
1481127931153 8 -2
1481127934914 4 -1
1481127936115 1 1
1481127937089 9 1
1481127937953 10 2
1481127942393 0 2
1481127947273 12 2
1481127953385 12 -2
1481127954449 10 -1
1481127955306 1 -1
1481127963618 5 -1
1481127980603 1 1
1481127981443 10 1
1481127982442 12 2
1481127983579 6 -3
1481127985570 12 -2
1481127989683 10 -1
1481127990539 1 -2
1481127998322 1 2
1481128010866 R
1481128022979 8 -2
1481128042602 6 -1
1481128043474 1 -1
1481128044235 4 1
1481128052018 4 -2
1481128053042 9 1
1481128053930 10 1
1481128067009 10 -1
1481128067842 9 -1
1481128081841 9 1
1481128082553 10 1
1481128083344 0 2
1481128098216 6 -1
1481128100913 6 1
1481128102393 0 -1
1481128104320 0 -1
1481128106936 2 1
1481128107673 2 -1
1481128108448 10 -1
1481128109330 9 -1
1481128110496 4 1
1481128112233 1 2
1481128114321 6 1
1481128118778 12 1
1481128120680 5 2
1481128121481 0 -1
1481128125232 7 -1
1481128128601 R
1481128174032 8 -2
1481128177216 8 2
1481128185368 8 -2
1481128190505 4 -1
1481128191072 9 1
1481128195368 10 1
1481128196184 0 2
1481128199440 6 -2
1481128201936 6 2
1481128208753 0 -2
1481128209737 10 -1
1481128212809 9 -1
1481128216089 4 2
1481128222466 4 -2
1481128227801 9 1
1481128228536 1 1
1481128229505 10 2
1481128230489 0 2
1481128232305 6 -2
1481128275256 10 -1
1481128276135 1 -2
1481128279391 6 1
1481128281983 0 -2
1481128283351 10 -1
1481128284240 9 -1
1481128305144 1 2
1481128306127 6 1
1481128307679 6 -1
1481128325448 6 1
1481128326048 12 1
1481128326719 5 2
1481128327471 0 -1
1481128330649 7 -1
1481128332384 9 1
1481128333713 10 2
1481128334512 12 2
1481128335496 6 -3
1481128338440 12 -2
1481128339376 10 -2
1481128340336 9 -3
1481128354264 10 2
1481128355408 12 2
1481128357112 12 -2
1481128358024 10 -2
1481128359129 9 3
1481128360816 3 2
1481128361672 5 1
1481128362416 12 -1
1481128363481 6 2
1481128364664 0 1
1481128365680 10 1
1481128366392 0 2
1481128367664 6 -2
1481128369088 3 -1
1481128381912 12 1
1481128383160 5 -2
1481128384024 3 -1
1481128384856 1 -2
1481128387816 5 1
1481128391631 1 2
1481128392192 10 1
1481128393864 12 2
1481128396930 5 -1
1481128397904 3 1
1481128398960 12 -2
1481128401225 10 -1
1481128402199 1 -1
1481128402745 3 -1
1481128404361 R
1481128417864 8 -2
1481128419584 4 -1
1481128437168 6 -1
1481128438352 1 -1
1481128439407 9 1
1481128440160 10 1
1481128442361 10 -1
1481128442961 9 -1
1481128443543 4 2
1481128445904 R
1481128447561 8 -2
1481128448832 4 -1
1481128449447 9 1
1481128450055 1 1
1481128450800 10 2
1481128451831 0 2
1481128454334 12 3
1481128456854 6 -2
1481128463534 5 2
1481128464638 6 2
1481128465359 12 -2
1481128470438 10 -1
1481128472454 10 1
1481128476294 R
1481128477702 8 -2
1481128478639 4 1
1481128485950 6 -1
1481128487631 1 -1
1481128489614 4 -1
1481128490807 4 -1
1481128491375 9 1
1481128495742 10 1
1481128502822 0 2
1481128506934 6 -1
1481128510486 6 1
1481128512614 0 -2
1481128514070 10 -1
1481128514702 9 -1
1481128515542 4 2
1481128519511 13 2
1481128520190 8 2
1481128525054 13 -2
1481128527607 4 -1
1481128528798 1 2
1481128530358 6 1
1481128533310 8 -2
1481128537246 4 -1
1481128538079 9 1
1481128538990 10 2
1481128547213 0 2
1481128548765 6 -2
1481128553902 10 -1
1481128555158 1 -2
1481128558158 R
1481128562694 6 -1
1481128563621 1 -1
1481128565253 4 1
1481128566791 8 -2
1481128568958 R
1481128571387 6 -1
1481128574464 R
1481128577375 12 1
1481128578390 5 2
1481128580367 0 -1
1481128584783 7 -1
1481128586695 8 -2
1481128587863 4 1
1481128588998 4 -2
1481128590767 9 1
1481128593143 10 1
1481128597710 1 1
1481128598943 10 1
1481128599847 12 2
1481128608454 0 3
1481128619623 7 1
1481128620647 5 -2
1481128628191 0 -2
1481128635607 6 -1
1481128638470 0 2
1481128639533 6 -1
