1482794932712 R
1482794934829 8 -2
1482794938714 12 1
1482794940038 5 2
1482794941718 4 1
1482794944273 8 2
1482794948680 8 -2
1482794951943 5 -2
1482794952942 12 -1
1482794964669 12 1
1482794971842 5 2
1482794973621 7 -1
1482794976805 0 -1
1482794983610 8 2
1482794986411 0 1
1482794990077 0 -1
1482794999582 13 2
1482795004129 7 1
1482795009432 8 -2
1482795010459 7 -1
1482795017709 13 -2
1482795022240 4 -2
1482795023183 9 1
1482795024035 1 1
1482795025300 10 2
1482795030872 8 2
1482795032600 2 2
1482795034311 7 3
1482795035564 11 2
1482795049468 7 -3
1482795051553 2 -1
1482795052179 11 -2
1482795053400 2 -1
1482795054963 0 2
1482795056194 8 -2
1482795060399 5 -1
1482795063169 5 1
1482795065813 0 1
1482795069257 7 1
1482795072460 5 -2
1482795073340 12 -1
1482795075257 6 -2
1482795079432 10 -1
1482795080375 1 -2
1482795096782 6 1
1482795103758 6 -1
1482795106772 1 2
1482795108026 10 1
1482795109998 6 2
1482795112679 12 3
1482795115312 0 -2
1482795117322 5 2
1482795118400 0 -1
1482795128193 7 -1
1482795130221 12 -2
1482795134791 10 -2
1482795136066 1 -1
1482795137048 9 -1
1482795138644 4 2
1482795145393 13 2
1482795146191 8 1
1482795147915 8 1
1482795151473 0 1
1482795152647 8 -2
1482795153848 13 -2
1482795157467 5 -1
1482795174338 4 -2
1482795175529 9 1
1482795177158 1 1
1482795178362 10 2
1482795183009 2 2
1482795184481 8 2
1482795187618 2 -2
1482795188272 8 -2
1482795192996 5 1
1482795197435 0 2
1482795199940 7 1
1482795204460 5 -2
1482795205485 12 -1
1482795208074 6 -2
1482795211723 10 -1
1482795212952 1 -2
1482795227806 1 2
1482795228931 10 1
1482795231297 3 1
1482795233726 R
1482795236059 4 1
1482795237051 8 -2
1482795238802 12 1
1482795241978 5 2
1482795243862 7 -1
1482795248983 4 -2
1482795249989 9 1
1482795250624 1 1
1482795252028 10 2
1482795257707 5 -1
1482795262241 0 2
1482795266631 7 1
1482795267546 5 -1
1482795268800 12 -1
1482795270568 6 -2
1482795274040 10 -1
1482795276124 1 -2
1482795286615 1 2
1482795287432 10 1
1482795289385 6 2
1482795291698 10 -1
1482795296427 12 1
1482795299033 5 2
1482795303074 0 -3
1482795306791 8 2
1482795311302 2 1
1482795314236 8 -2
1482795315249 2 -1
1482795317918 1 -1
1482795321235 10 -1
1482795323830 0 1
1482795324674 5 -2
1482795326537 12 -1
1482795330925 9 -1
1482795332671 4 2
1482795338965 12 1
1482795340373 5 2
1482795345713 7 -1
1482795352323 4 -2
1482795353212 9 1
1482795354122 1 1
1482795356737 10 2
1482795359728 2 2
1482795361173 8 2
1482795363434 7 3
1482795365119 0 -1
1482795369959 0 1
1482795370907 0 -1
1482795372321 0 1
1482795373018 5 -2
1482795375145 12 -1
1482795377968 7 -2
1482795378949 2 -2
1482795379893 8 -2
1482795386277 10 -2
1482795390973 6 -1
1482795395165 1 -2
1482795400454 9 -1
1482795401656 4 2
1482795414032 8 2
1482795416684 8 -2
1482795418378 R
1482795420661 4 1
1482795424286 12 1
1482795426165 5 2
1482795428029 7 -1
1482795431203 5 -1
1482795435794 8 -2
1482795439459 4 -2
1482795440781 1 1
1482795441433 9 1
1482795442970 10 2
1482795448230 8 2
1482795450369 2 2
1482795451681 7 3
1482795456255 5 1
1482795457116 0 -1
1482795459998 7 -3
1482795462559 2 -2
1482795463596 8 -2
