1482795565119 R
1482795568291 13 1
1482795572125 4 1
1482795572946 13 1
1482795573913 8 -2
1482795581006 6 -1
1482795582380 3 1
1482795583662 3 -1
1482795585815 6 1
1482795587125 12 1
1482795588093 5 2
1482795589207 7 -1
1482795589867 7 1
1482795594645 8 2
1482795596313 8 -2
1482795596939 13 -2
1482795600299 4 -2
1482795601242 9 1
1482795601961 1 1
1482795603421 10 2
1482795609641 0 2
1482795614560 5 -2
1482795619215 12 -1
1482795621560 6 -2
1482795623709 10 -1
1482795624860 1 -2
1482795629952 6 1
1482795634003 0 -1
1482795635839 1 2
1482795637879 3 2
1482795644546 3 -2
1482795646279 10 1
1482795647445 6 1
1482795649624 0 1
1482795656021 12 3
1482795660810 5 2
1482795662031 7 -1
1482795665459 6 -3
1482795668721 3 1
1482795670523 12 -2
1482795672845 10 -1
1482795673918 3 -1
1482795676030 1 -2
1482795684472 1 2
1482795686768 10 1
1482795688627 12 2
1482795690164 3 1
1482795691877 6 2
1482795695949 7 1
1482795702441 6 -1
1482795705604 5 -2
1482795706755 3 -1
1482795709520 6 2
1482795710910 12 -3
1482795713791 6 -2
1482795717876 10 -1
1482795720047 1 -2
1482795722481 6 1
1482795724051 0 -1
1482795728497 0 -1
1482795729415 10 -1
1482795730982 9 -1
1482795732795 4 2
1482795735117 8 2
1482795738039 13 2
1482795742177 13 -2
1482795743038 4 -2
1482795743971 9 1
1482795745006 1 2
1482795746315 10 2
1482795748536 2 2
1482795750764 7 2
1482795754776 11 2
1482795755800 5 -1
1482795761242 0 -1
1482795763966 11 -1
1482795765929 11 1
1482795766917 7 -2
1482795767932 2 -1
1482795769071 8 -1
1482795771126 10 -1
1482795772224 1 -2
1482795780477 R
1482795807541 6 -1
1482795812143 8 -2
1482795814269 4 1
1482795815228 1 -1
1482795818917 8 2
1482795821153 4 -2
1482795822245 8 -2
1482795823719 9 1
1482795824603 1 2
1482795826155 10 2
1482795827429 6 1
1482795832547 2 2
1482795833858 7 1
1482795834889 7 -1
1482795836206 2 -2
1482795837412 10 -2
