1482894504514 R
1482894504514 R
1482894504632 R
1482894504632 R
1482894515728 1 1
1482894515728 1 1
1482894526680 8 -1
1482894526680 8 -1
1482894541239 12 2
1482894541239 12 2
1482894542576 3 1
1482894542576 3 1
1482894547807 4 3
1482894547807 4 3
1482894550184 0 1
1482894550184 0 1
1482894552048 11 2
1482894552048 11 2
1482894554993 0 -2
1482894554993 0 -2
1482894557048 13 1
1482894557048 13 1
1482894558257 7 1
1482894558257 7 1
1482894560936 0 1
1482894560936 0 1
1482894575136 7 -1
1482894575136 7 -1
1482894575904 2 -1
1482894575904 2 -1
1482894576736 0 -1
1482894576736 0 -1
1482894580072 13 -1
1482894580072 13 -1
1482894581968 4 -2
1482894581968 4 -2
1482894583672 5 1
1482894583672 5 1
1482894584313 13 1
1482894584313 13 1
1482894585720 13 1
1482894585720 13 1
1482894588024 0 1
1482894588024 0 1
1482894590407 11 -1
1482894590407 11 -1
1482894592880 7 2
1482894592880 7 2
1482894593928 2 2
1482894593928 2 2
1482894595768 11 -2
1482894595768 11 -2
1482894597528 4 -1
1482894597528 4 -1
1482894600896 3 -1
1482894600896 3 -1
1482894602744 8 1
1482894602744 8 1
1482894607191 0 -1
1482894607191 0 -1
1482894608552 2 -1
1482894608552 2 -1
1482894609216 7 -1
1482894609216 7 -1
1482894611152 5 -1
1482894611152 5 -1
1482894613647 13 -1
1482894613647 13 -1
1482894614768 3 -1
1482894614768 3 -1
1482894619496 8 -1
1482894619496 8 -1
1482894622959 12 -1
1482894622959 12 -1
1482894624455 6 -2
1482894624455 6 -2
1482894632552 3 1
1482894632552 3 1
1482894634777 3 -1
1482894634777 3 -1
1482894642081 R
1482894642081 R
1482894642176 R
1482894642176 R
1482894651208 9 1
1482894651208 9 1
1482894652633 10 1
1482894652633 10 1
1482894653056 10 -1
1482894653056 10 -1
1482894656064 10 1
1482894656064 10 1
1482894657840 5 1
1482894657840 5 1
1482894660264 8 1
1482894660264 8 1
1482894676832 8 -2
1482894676832 8 -2
1482894686697 3 1
1482894686697 3 1
1482894689448 4 1
1482894689448 4 1
1482894693193 10 -1
1482894693193 10 -1
1482894693795 5 -1
1482894693795 5 -1
1482894694985 9 -1
1482894694985 9 -1
1482894701721 6 -1
1482894701721 6 -1
1482894721953 5 1
1482894721953 5 1
1482894799937 R
1482894799937 R
1482894804560 8 -1
1482894804560 8 -1
1482894805808 6 -2
1482894805808 6 -2
1482894807081 9 2
1482894807081 9 2
