1482679595704 R
1482679624874 8 -1
1482679625361 3 1
1482679628170 3 -1
1482679631614 3 1
1482679632652 4 1
1482679633397 11 2
1482679635463 2 -1
1482679636583 11 -1
1482679638690 R
1482679641428 9 1
1482679642192 6 -1
1482679642554 9 1
1482679644179 9 -2
1482679644647 1 1
1482679644958 6 1
1482679646628 12 2
1482679647139 0 1
1482679647686 8 -1
1482679648067 3 1
1482679650231 4 3
1482679650935 11 2
1482679651433 4 -2
1482679657697 0 -1
1482679658712 12 -2
1482679659306 6 -1
1482679659579 1 -1
1482679659938 9 2
1482679662287 9 -2
1482679663086 1 1
1482679663481 6 1
1482679664309 12 2
1482679668418 11 -2
1482679668906 4 -1
1482679672122 12 -1
1482679672715 3 -1
1482679675043 8 1
1482679681510 0 1
1482679683208 8 -1
1482679683573 3 1
1482679683939 12 1
1482679686349 4 1
1482679686817 11 2
1482679688364 4 2
1482679689439 4 -1
1482679692013 4 -1
1482679692327 0 -1
1482679692716 13 2
1482679693156 2 1
1482679696597 7 1
1482679697365 11 -3
1482679698973 4 -1
1482679709418 3 -1
1482679710958 3 1
1482679712215 2 -1
1482679712584 13 -1
1482679715094 12 -1
1482679715360 3 -1
1482679715748 6 -2
1482679717500 6 2
1482679718043 3 1
1482679718309 12 1
1482679721299 13 1
1482679722991 11 1
1482679723508 7 -1
1482679724934 13 -2
1482679725374 0 1
1482679736409 5 1
1482679737437 5 -1
1482679738192 12 -1
1482679738465 3 -1
1482679739200 6 -2
1482679742362 6 2
1482679743079 12 1
1482679743470 3 1
1482679743812 4 1
1482679744394 11 2
1482679746370 12 -1
1482679746745 6 -1
1482679748133 6 1
1482679748801 12 1
1482679749394 0 -1
1482679749880 12 -2
1482679750319 6 -1
1482679751233 1 -1
1482679751517 9 2
1482679756473 9 -2
1482679756899 1 1
1482679757201 6 1
1482679761820 12 1
1482679765412 0 1
1482679769456 2 -1
1482679810839 11 -1
1482679813564 R
1482679816578 8 -1
1482679818777 3 1
1482679823419 4 1
1482679824305 4 -1
1482679824856 3 -1
1482679825945 6 -2
1482679827972 6 2
1482679828470 3 1
1482679831186 1 1
1482679832147 12 2
1482679834299 0 1
1482679836192 3 -1
1482679841082 3 1
1482679841739 0 -1
1482679842481 13 2
1482679843512 2 1
1482679843962 2 -1
1482679844283 13 -2
1482679846038 3 -1
1482679846304 12 -1
1482679846805 6 -2
1482679848079 6 2
1482679848554 3 1
1482679848842 12 1
1482679852205 4 1
1482679853357 11 2
1482679853888 0 -1
1482679855615 4 2
1482679856381 3 -2
1482679858711 R
1482679865062 8 -1
1482679865477 3 1
1482679866436 4 1
1482679866855 11 2
1482679867296 0 -1
1482679870446 1 1
1482679871636 1 -1
1482679872286 6 -1
1482679873634 5 1
1482679874684 5 -1
1482679879315 9 2
1482679880126 9 -2
1482679886230 1 1
1482679886689 6 1
1482679887510 12 1
1482679888619 12 1
1482679889205 13 2
1482679889633 2 1
1482679890098 7 1
1482679890918 0 1
1482679891407 11 -3
1482679891938 0 -1
1482679894545 2 -1
1482679895218 13 -1
1482679895630 12 -1
1482679898915 4 -1
1482679899436 3 -2
1482679901927 12 1
1482679905279 13 1
1482679906945 13 -1
1482679907427 12 -1
1482679909312 6 -2
1482679912856 6 2
1482679915456 6 -2
1482679917936 3 1
1482679918789 3 -1
1482679919486 3 1
1482679919846 0 1
1482679920206 11 1
1482679920588 7 -1
1482679921114 13 -1
1482679921573 12 -1
1482679922792 1 -1
1482679930984 6 1
1482679933125 3 1
1482679933927 4 1
1482679937330 4 -1
1482679938357 1 1
1482679939449 12 1
1482679939869 13 1
1482679940243 7 1
1482679940632 11 -1
1482679941690 0 -1
1482679942793 3 -2
1482679944949 6 1
1482679947001 3 2
