1482679639981 R
1482679639981 R
1482679700229 8 -1
1482679700229 8 -1
1482679701092 3 1
1482679701092 3 1
1482679701740 6 -1
1482679701740 6 -1
1482679702645 9 2
1482679702645 9 2
1482679707493 3 -1
1482679707493 3 -1
1482679708517 6 -1
1482679708517 6 -1
1482679710588 9 -2
1482679710588 9 -2
1482679711349 1 1
1482679711349 1 1
1482679712108 12 1
1482679712108 12 1
1482679712845 0 1
1482679712845 0 1
1482679716036 6 2
1482679716036 6 2
1482679716709 3 1
1482679716709 3 1
1482679717445 12 1
1482679717445 12 1
1482679718644 4 3
1482679718644 4 3
1482679724197 11 2
1482679724197 11 2
1482679725621 2 -1
1482679725621 2 -1
1482679727564 3 -1
1482679727564 3 -1
1482679731924 0 -2
1482679731924 0 -2
1482679732892 3 -2
1482679732892 3 -2
1482679733717 4 -2
1482679733717 4 -2
1482679735325 12 -2
1482679735325 12 -2
1482679736036 1 -3
1482679736036 1 -3
1482679736909 6 -2
1482679736909 6 -2
1482679738086 9 2
1482679738086 9 2
1482679738932 5 3
1482679738932 5 3
1482679741733 10 2
1482679741733 10 2
1482679742732 5 -3
1482679742732 5 -3
1482679743709 1 2
1482679743709 1 2
1482679745004 1 -2
1482679745004 1 -2
1482679745980 12 1
1482679745980 12 1
1482679746692 5 3
1482679746692 5 3
1482679749092 10 -2
1482679749092 10 -2
1482679750461 13 1
1482679750461 13 1
1482679751444 7 2
1482679751444 7 2
1482679753556 7 -2
1482679753556 7 -2
1482679754412 13 -1
1482679754412 13 -1
1482679755516 5 -3
1482679755516 5 -3
1482679758732 9 -1
1482679758732 9 -1
1482679759716 6 2
1482679759716 6 2
1482679760636 12 1
1482679760636 12 1
1482679761620 4 2
1482679761620 4 2
1482679762332 3 1
1482679762332 3 1
1482679764908 3 -1
1482679764908 3 -1
1482679765796 4 -2
1482679765796 4 -2
1482679766437 12 -2
1482679766437 12 -2
1482679767181 1 2
1482679767181 1 2
1482679768869 6 -2
1482679768869 6 -2
1482679769756 9 1
1482679769756 9 1
1482679770420 1 -2
1482679770420 1 -2
1482679771597 5 3
1482679771597 5 3
1482679772196 12 1
1482679772196 12 1
1482679775012 5 -3
1482679775012 5 -3
1482679777244 12 -1
1482679777244 12 -1
1482679778171 9 -2
1482679778171 9 -2
1482679779292 1 3
1482679779292 1 3
1482679780117 12 1
1482679780117 12 1
1482679782235 13 1
1482679782235 13 1
1482679783243 7 1
1482679783243 7 1
1482679783989 5 1
1482679783989 5 1
1482679784948 7 1
1482679784948 7 1
1482679787779 6 2
1482679787779 6 2
1482679788899 12 1
1482679788899 12 1
1482679789811 4 1
1482679789811 4 1
1482679790779 8 1
1482679790779 8 1
1482679791493 11 1
1482679791493 11 1
1482679792227 4 -2
1482679792227 4 -2
1482679793331 3 2
1482679793331 3 2
1482679795323 7 -2
1482679795323 7 -2
1482679796259 13 -1
1482679796259 13 -1
1482679797092 0 2
1482679797092 0 2
1482679798779 2 1
1482679798779 2 1
1482679800563 12 -1
1482679800563 12 -1
1482679801468 6 -1
1482679801468 6 -1
1482679803060 5 -1
1482679803060 5 -1
1482679804932 R
1482679804932 R
1482679807940 8 -1
1482679807940 8 -1
1482679812291 6 -2
1482679812291 6 -2
1482679813147 9 2
1482679813147 9 2
1482679816428 6 1
1482679816428 6 1
1482679816996 3 1
1482679816996 3 1
1482679818227 4 1
1482679818227 4 1
1482679818899 11 2
1482679818899 11 2
1482679820196 2 -1
1482679820196 2 -1
1482679821099 0 -1
1482679821099 0 -1
1482679822483 5 1
1482679822483 5 1
1482679823539 10 2
1482679823539 10 2
1482679824579 10 -2
1482679824579 10 -2
1482679825235 5 -1
1482679825235 5 -1
1482679828732 0 1
1482679828732 0 1
1482679829627 11 -1
1482679829627 11 -1
1482679832053 9 -2
1482679832053 9 -2
1482679832867 1 1
1482679832867 1 1
1482679833340 6 1
1482679833340 6 1
1482679834107 12 2
1482679834107 12 2
1482679835020 0 1
1482679835020 0 1
1482679836332 4 2
1482679836332 4 2
1482679837435 3 -1
1482679837435 3 -1
1482679838411 8 1
1482679838411 8 1
1482679839587 11 2
1482679839587 11 2
1482679842115 0 -2
1482679842115 0 -2
1482679843084 3 -2
1482679843084 3 -2
1482679844060 4 -3
1482679844060 4 -3
1482679846588 3 2
1482679846588 3 2
1482679851731 13 2
1482679851731 13 2
1482679852675 7 1
1482679852675 7 1
1482679853340 5 1
1482679853340 5 1
1482679854244 7 1
1482679854244 7 1
1482679855243 13 -1
1482679855243 13 -1
1482679856188 3 -2
1482679856188 3 -2
1482679857067 4 2
1482679857067 4 2
1482679857939 11 -1
1482679857939 11 -1
1482679858547 8 -1
1482679858547 8 -1
1482679859267 4 -1
1482679859267 4 -1
1482679861267 13 1
1482679861267 13 1
1482679863499 13 -1
1482679863499 13 -1
1482679864163 12 -1
1482679864163 12 -1
1482679865068 6 -2
1482679865068 6 -2
1482679867787 7 -2
1482679867787 7 -2
1482679868747 13 -1
1482679868747 13 -1
1482679869451 12 -1
1482679869451 12 -1
1482679870251 1 -3
1482679870251 1 -3
1482679871052 12 1
1482679871052 12 1
1482679871779 5 2
1482679871779 5 2
1482679872491 9 2
1482679872491 9 2
1482679873987 13 1
1482679873987 13 1
1482679874955 7 2
1482679874955 7 2
1482679875579 10 2
1482679875579 10 2
1482679876451 7 1
1482679876451 7 1
1482679877307 3 -1
1482679877307 3 -1
1482679878211 0 1
1482679878211 0 1
1482679879003 10 -1
1482679879003 10 -1
1482679879691 5 -1
1482679879691 5 -1
1482679883155 11 -1
1482679883155 11 -1
1482679884115 1 -1
1482679884115 1 -1
1482679886787 9 -1
1482679886787 9 -1
1482679887507 6 2
1482679887507 6 2
1482679888235 12 1
1482679888235 12 1
1482679896412 5 -1
1482679896412 5 -1
1482679899963 13 1
1482679899963 13 1
1482679902275 R
1482679902275 R
1482679904434 8 -1
1482679904434 8 -1
1482679905515 6 -2
1482679905515 6 -2
1482679906515 9 2
1482679906515 9 2
1482679907331 10 2
1482679907331 10 2
1482679908347 5 1
1482679908347 5 1
1482679909530 6 1
1482679909530 6 1
1482679910266 3 1
1482679910266 3 1
1482679912651 5 -1
1482679912651 5 -1
1482679913170 10 -2
1482679913170 10 -2
1482679914522 9 -2
1482679914522 9 -2
1482679915164 1 1
1482679915164 1 1
1482679915658 6 1
1482679915658 6 1
1482679916260 12 2
1482679916260 12 2
1482679916995 0 1
1482679916995 0 1
1482679920507 4 3
1482679920507 4 3
1482679924611 11 2
1482679924611 11 2
1482679925586 2 -1
1482679925586 2 -1
1482679928586 3 -1
1482679928586 3 -1
1482679929068 8 1
1482679929068 8 1
1482679929754 11 1
1482679929754 11 1
1482679935563 0 -2
1482679935563 0 -2
1482679936330 3 -2
1482679936330 3 -2
1482679937171 4 -3
1482679937171 4 -3
1482679938219 3 2
1482679938219 3 2
1482679939994 12 -2
1482679939994 12 -2
1482679940754 1 -1
1482679940754 1 -1
