1482679801459 R
1482679813650 6 -1
1482679816362 6 1
1482679827866 8 -1
1482679830954 3 1
1482679842890 1 1
1482679844498 12 2
1482679858210 0 1
1482679883522 4 3
1482679885402 0 -1
1482679888362 0 1
1482679890354 4 -3
1482679917490 0 -1
1482679919370 13 2
1482679920834 2 1
1482679926978 2 -1
1482679929042 13 -2
1482679930850 0 1
1482679939170 R
1482679957970 8 -1
1482679959266 3 1
1482679965130 3 -1
1482679968138 8 2
1482679978666 1 1
1482679979714 12 1
1482679981458 0 1
1482679984514 8 -2
1482679985898 3 1
1482679986786 12 1
1482679998202 5 1
1482680114186 0 -1
1482680119130 5 -1
1482680120906 5 1
1482680122554 R
1482680129978 8 -1
1482680131410 3 1
1482680133650 1 1
1482680136706 12 2
1482680144114 4 3
1482680154706 4 -3
1482680156434 0 1
1482680158194 5 1
1482680160538 3 -1
1482680161594 12 -1
1482680163058 6 -2
1482680168954 0 -1
1482680170170 12 -1
1482680171554 1 -1
1482680173474 9 2
1482680185258 6 1
1482680190770 6 -1
1482680197314 10 2
