1482871985141 R
1482871985141 R
1482871993563 1 1
1482871993563 1 1
1482871995856 12 2
1482871995856 12 2
1482872004230 8 -1
1482872004230 8 -1
1482872005470 3 1
1482872005470 3 1
1482872043189 3 -1
1482872043189 3 -1
1482872050792 12 -1
1482872050792 12 -1
1482872053447 6 -2
1482872053447 6 -2
1482872060243 6 1
1482872060243 6 1
1482872063100 3 1
1482872063100 3 1
1482872065560 6 1
1482872065560 6 1
1482872066511 12 1
1482872066511 12 1
1482872069957 4 1
1482872069957 4 1
1482872073928 11 2
1482872073928 11 2
1482872076984 2 -1
1482872076984 2 -1
1482872091176 0 1
1482872091176 0 1
1482872108203 0 -1
1482872108203 0 -1
1482872112370 4 1
1482872112370 4 1
1482872114111 11 -1
1482872114111 11 -1
1482872119840 4 -1
1482872119840 4 -1
1482872122474 12 -1
1482872122474 12 -1
1482872123864 6 -1
1482872123864 6 -1
1482872127969 12 -1
1482872127969 12 -1
1482872130247 12 1
1482872130247 12 1
1482872133589 11 1
1482872133589 11 1
1482872136926 5 1
1482872136926 5 1
1482872142040 13 1
1482872142040 13 1
1482872143163 13 -1
1482872143163 13 -1
1482872146885 11 -1
1482872146885 11 -1
1482872149490 6 1
1482872149490 6 1
1482872150445 12 1
1482872150445 12 1
1482872161302 4 1
1482872161302 4 1
1482872181339 R
1482872181339 R
1482872188188 8 -1
1482872188188 8 -1
1482872196465 3 1
1482872196465 3 1
1482872203016 1 1
1482872203016 1 1
1482872206036 1 -1
1482872206036 1 -1
1482872207934 9 1
1482872207934 9 1
1482872211844 4 1
1482872211844 4 1
1482872213950 11 2
1482872213950 11 2
1482872215200 2 -1
1482872215200 2 -1
1482872226354 R
1482872226354 R
1482872239417 6 -1
1482872239417 6 -1
1482872241583 9 2
1482872241583 9 2
1482872244899 8 -1
1482872244899 8 -1
1482872252718 6 -1
1482872252718 6 -1
1482872257622 6 1
1482872257622 6 1
1482872258602 8 1
1482872258602 8 1
1482872262833 R
1482872262833 R
1482872283570 1 1
1482872283570 1 1
1482872285694 12 2
1482872285694 12 2
1482872290014 12 -2
1482872290014 12 -2
1482872290826 12 2
1482872290826 12 2
1482872299684 8 -1
1482872299684 8 -1
1482872300779 3 1
1482872300779 3 1
1482872304378 5 1
1482872304378 5 1
1482872307601 4 2
1482872307601 4 2
1482872308906 11 2
1482872308906 11 2
1482872310181 4 -1
1482872310181 4 -1
1482872312555 13 2
1482872312555 13 2
1482872313512 13 -2
1482872313512 13 -2
1482872314744 R
1482872314744 R
1482872316461 9 1
1482872316461 9 1
1482872319593 8 -1
1482872319593 8 -1
1482872323666 6 -2
1482872323666 6 -2
1482872325459 9 -1
1482872325459 9 -1
1482872326555 1 1
1482872326555 1 1
1482872330176 1 -1
1482872330176 1 -1
1482872332033 1 1
1482872332033 1 1
1482872339456 6 1
1482872339456 6 1
1482872340562 3 1
1482872340562 3 1
1482872342372 12 1
1482872342372 12 1
1482872347515 3 -1
1482872347515 3 -1
1482872349020 12 -1
1482872349020 12 -1
1482872350019 6 -1
1482872350019 6 -1
1482872351043 1 -1
1482872351043 1 -1
1482872352362 9 2
1482872352362 9 2
1482872353952 5 1
1482872353952 5 1
1482872355787 9 -2
1482872355787 9 -2
1482872356943 R
1482872356943 R
1482872358138 9 1
1482872358138 9 1
1482872359589 6 -1
1482872359589 6 -1
1482872365509 R
1482872365509 R
1482872368518 5 1
1482872368518 5 1
1482872369298 8 -1
1482872369298 8 -1
1482872370817 6 -2
1482872370817 6 -2
1482872371848 1 1
1482872371848 1 1
1482872375944 6 2
1482872375944 6 2
1482872378313 3 1
1482872378313 3 1
1482872379593 1 -1
1482872379593 1 -1
1482872385033 4 1
1482872385033 4 1
1482872386687 6 -1
1482872386687 6 -1
1482872388299 9 2
1482872388299 9 2
1482872390321 10 2
1482872390321 10 2
1482872391687 5 -1
1482872391687 5 -1
