1482658181117 R
1482658182915 8 -1
1482658183803 8 2
1482658185650 1 1
1482658186911 12 1
1482658189013 0 1
1482658190503 8 -2
1482658191751 3 1
1482658192584 12 1
1482658193773 4 3
1482658195712 0 -1
1482658198474 4 -3
1482658201290 3 -1
1482658202429 12 -2
1482658208066 6 -2
1482658208851 1 -1
1482658214183 6 2
1482658214946 1 1
1482658216491 3 1
1482658217292 12 2
1482658218272 4 3
1482658219469 0 1
1482658223430 U
1482658224526 R
1482658225719 9 1
1482658229653 8 -1
1482658231666 3 1
1482658233702 4 1
1482658235524 6 -1
1482658236522 9 1
1482658241134 4 -1
1482658244314 3 -1
1482658245255 6 -1
1482658246784 9 -2
1482658248219 6 2
1482658249406 3 1
1482658251233 R
1482658252633 9 1
1482658254236 U
1482658255514 8 -1
1482658256931 6 -2
1482658257961 9 2
1482658267054 5 1
1482658267910 10 2
1482658272497 6 1
1482658273491 3 1
1482658275270 4 1
1482658276194 11 2
1482658277031 2 -1
1482658278577 2 1
1482658279097 0 -1
1482658280026 2 -1
1482658283586 5 -1
1482658284259 10 -2
1482658285508 9 -2
1482658286349 1 1
1482658287119 6 1
1482658288030 12 2
1482658289849 4 2
1482658292249 13 1
1482658293971 7 1
1482658296109 7 -1
1482658297318 3 -3
1482658298187 4 -2
1482658300310 13 1
1482658301214 5 1
1482658303422 13 -2
1482658304222 5 -1
1482658305528 4 2
1482658306633 8 1
1482658307696 11 1
1482658308849 4 -3
1482658310874 3 2
1482658311763 0 2
1482658317998 12 -1
1482658318954 12 1
1482658320547 5 1
1482658322229 0 -2
1482658323683 13 2
1482658324493 7 2
1482658326231 0 1
1482658326991 2 2
1482658327775 0 -1
1482658330799 2 -2
1482658331680 7 -2
1482658332982 13 -2
1482658333958 0 2
1482658338695 12 -1
1482658339610 6 -1
1482658341499 R
1482658343131 8 -1
1482658348133 6 -2
1482658349235 9 2
1482658353047 5 1
1482658353825 10 2
1482658436799 R
1482658438727 8 -1
1482658439603 6 -2
1482658440713 9 2
1482658443039 5 1
1482658443672 10 2
1482658448380 U
1482658448772 U
1482658449036 U
1482658449405 U
1482658449916 U
1482658450453 R
1482658452279 8 -1
1482658453339 6 -2
1482658454502 9 2
1482658455319 5 1
1482658456000 10 2
1482658459307 6 1
1482658460043 3 1
1482658461179 4 1
1482658462508 11 2
1482658463318 2 -1
1482658464173 0 -1
1482658465807 10 -2
1482658466383 5 -1
1482658467780 9 -2
1482658468702 6 1
1482658469368 1 1
1482658470439 12 2
1482658472185 0 2
1482658474371 2 1
1482658475509 11 -2
1482658476236 4 -1
1482658478395 3 -1
1482658479294 12 -1
1482658480300 6 -2
1482658483396 5 1
1482658488078 6 2
1482658489138 12 1
1482658489789 3 1
1482658492294 4 2
1482658493071 11 2
1482658494151 2 -1
1482658498503 4 -1
1482658500761 5 -1
1482658501725 4 2
1482658504244 3 -1
1482658506744 0 -2
1482658507641 3 -2
1482658509620 4 -2
