1480468681123 R
1480468686149 9 1
1480468686972 5 1
1480468687896 5 -1
1480468688754 9 -1
1480468689419 1 1
1480468690114 12 2
1480468695525 13 2
1480468696300 7 1
1480468697151 11 -1
1480468697723 0 -1
1480468698531 3 -1
1480468699166 8 -1
1480468700043 3 2
1480468701289 0 1
1480468701742 4 1
1480468702549 11 3
1480468703195 2 -1
1480468703886 7 -1
1480468704660 0 -1
1480468705508 13 -2
1480468706862 4 2
1480468707706 3 -3
1480468708491 4 -2
1480468709439 12 -2
1480468710193 6 -2
1480468710853 1 -3
1480468711587 9 2
1480468712295 5 3
1480468712840 12 1
1480468713933 10 2
1480468714459 13 1
1480468715196 7 3
1480468716191 3 -1
1480468716916 0 1
1480468718909 11 -1
1480468719978 1 -1
1480468721529 5 -2
1480468722532 6 1
1480468723283 10 -1
1480468723863 9 -1
1480468724385 6 1
1480468724926 12 1
1480468725786 4 1
1480468726508 1 1
1480468726919 8 1
1480468727475 11 2
1480468728509 0 -1
1480468729049 4 -2
1480468729830 3 2
1480468730910 7 -3
1480468733660 13 -1
1480468734699 10 -1
1480468735916 12 -1
1480468739144 12 -1
1480468739551 12 2
1480468741749 13 2
1480468743456 10 1
1480468744103 7 3
1480468745155 3 -2
1480468745889 13 -1
1480468747032 0 1
1480468747713 4 1
1480468748475 11 -2
1480468749387 1 -1
1480468750099 8 -1
1480468750934 12 -1
1480468752309 6 -2
1480468753101 5 2
1480468757131 9 1
1480468763005 10 1
1480468766686 5 -1
1480468767746 6 1
1480468768971 10 -1
1480468769521 9 -1
1480468770266 6 1
1480468771109 12 1
1480468771851 4 1
1480468774294 4 -1
1480468775132 1 1
1480468775813 11 1
1480468776551 0 -1
1480468777284 3 1
1480468777930 7 -3
1480468779049 13 -1
1480468779795 5 -2
1480468781593 4 2
1480468783554 4 -2
1480468784203 12 -2
1480468784877 1 2
1480468786409 8 1
1480468787098 11 1
1480468788018 4 -1
1480468789362 3 2
1480468792915 0 1
1480468794212 0 -1
1480468794740 3 -2
1480468795284 1 -2
1480468795936 12 2
1480468797640 12 -1
1480468798421 6 -1
1480468799021 9 1
1480468799782 5 2
1480468800529 10 -1
1480468801535 12 -1
1480468802000 5 -2
1480468802829 9 -2
1480468804087 6 1
1480468804700 12 2
1480468806652 13 1
1480468809128 12 -1
1480468809792 8 1
1480468810753 4 1
1480468811675 11 -1
1480468812917 8 -2
1480468814393 6 -2
1480468815449 5 3
1480468816582 9 1
1480468817524 13 -1
1480468819839 13 1
1480468820392 10 1
1480468821037 7 3
1480468822087 3 -1
1480468822894 0 1
1480468826088 0 -1
1480468826679 3 1
1480468827249 7 -3
1480468827959 13 -1
1480468828565 12 -1
1480468829553 5 -2
1480468830445 10 -1
1480468831467 9 1
1480468833330 1 1
1480468834062 5 2
1480468836630 5 -3
1480468838373 10 2
1480468838903 5 3
1480468840063 1 -1
1480468840754 12 1
1480468841189 13 1
1480468842052 7 3
1480468843203 3 -1
1480468845548 0 1
1480468846542 11 -1
1480468846928 1 -1
1480468849189 5 -2
1480468849989 6 1
1480468851278 10 -1
1480468852384 9 -1
1480468854821 6 1
1480468855702 12 1
1480468857239 4 1
1480468858731 4 -1
1480468859264 13 1
1480468861843 5 1
1480468863686 13 -1
1480468864784 4 1
1480468865358 1 1
1480468865864 8 1
1480468866405 11 2
1480468867196 0 -1
1480468867726 3 1
1480468868992 7 -3
1480468870114 13 -1
1480468871880 4 -2
1480468873692 10 -1
1480468875280 5 -2
1480468876173 3 1
1480468879116 R
1480468884041 9 1
1480468886689 9 -1
1480468887299 1 1
1480468888164 8 -1
1480468888975 3 1
1480468889616 12 2
1480468890400 0 1
1480468891240 4 1
1480468892084 4 1
1480468892997 11 2
1480468893596 2 -1
1480468894630 0 -2
1480468895744 4 1
1480468896910 3 -3
1480468898039 4 -2
1480468899079 13 1
1480468900003 5 1
1480468902191 7 1
1480468903767 12 -1
1480468906180 12 1
1480468906937 4 1
1480468908769 7 -1
1480468909584 13 -1
1480468910341 4 -1
1480468911285 12 -2
1480468912390 8 1
1480468913077 11 1
1480468913803 4 -1
1480468914948 3 2
1480468916822 12 1
1480468917711 0 2
1480468918910 0 -2
1480468919656 13 1
1480468920407 5 -1
1480468921907 6 -1
1480468923079 13 -1
1480468926846 12 -1
1480468928344 1 -1
1480468931890 9 1
1480468932770 6 1
1480468933447 3 -2
1480468934330 1 -2
1480468935565 12 2
1480468936772 5 2
1480468937587 13 1
1480468938598 10 1
1480468939149 7 3
1480468940059 3 -1
1480468941503 0 1
1480468942148 4 1
1480468942903 11 -2
1480468943668 1 -1
1480468944099 8 -1
1480468944701 12 -1
1480468945306 6 -2
1480468945995 5 1
1480468949851 1 1
1480468950306 11 1
1480468950839 0 -1
1480468951841 3 1
1480468952509 7 -3
1480468953556 13 -1
1480468954252 10 -1
1480468955925 12 -1
1480468956429 5 -1
1480468957035 6 2
1480468958662 12 1
1480468960849 12 -1
1480468961740 5 -2
1480468962390 1 2
1480468963255 8 1
1480468963757 11 1
1480468964459 4 -1
1480468965145 3 2
1480468966060 0 1
1480468966688 2 1
1480468970426 9 -1
1480468972061 1 1
1480468972569 12 2
1480468973208 0 1
1480468976464 12 -1
1480468977510 6 -1
1480468979052 6 1
1480468979650 8 1
1480468980689 0 -2
