1480521262883 R
1480521266446 3 -1
1480521269447 5 1
1480521271918 5 -2
1480521273006 4 -1
1480521273919 9 -2
1480521278959 4 1
1480521279855 5 1
1480521281255 5 -1
1480521281922 4 -1
1480521283934 3 1
1480521285334 3 -1
1480521286015 2 -2
1480521287519 7 1
1480521288503 7 -1
1480521291335 4 1
1480521292422 5 1
1480521293780 5 -1
1480521294463 9 2
1480521295126 5 2
1480521299018 5 -2
1480521300744 4 -1
1480521301572 9 -2
1480521308317 2 2
1480521309886 3 1
1480521310550 0 1
1480521311414 11 3
1480521313080 10 -1
1480521313631 5 -1
1480521314462 1 -2
1480521316506 8 -2
1480521317214 6 -1
1480521318189 4 1
1480521318757 9 4
1480521320723 9 -4
1480521322365 6 1
1480521324029 8 2
1480521325214 4 -1
1480521329190 3 1
1480521329919 11 -1
1480521333173 3 -1
1480521334981 1 2
1480521335757 5 1
1480521336285 10 1
1480521336921 11 -2
1480521338285 3 -1
1480521339088 2 -1
1480521341684 7 1
1480521342569 7 -1
1480521343079 2 1
1480521344525 3 1
1480521345484 11 3
1480521346488 0 -1
1480521349597 0 1
1480521354189 11 -2
1480521355175 3 -1
1480521356253 2 -1
1480521360629 2 1
1480521361380 4 1
1480521362132 5 -1
1480521364179 4 -1
1480521367599 2 -1
1480521368523 7 1
1480521369984 7 -1
1480521370772 2 1
1480521371356 3 1
1480521372100 11 2
1480521372652 10 -1
1480521373181 0 -1
1480521373845 1 -2
1480521376279 8 -2
1480521378748 8 2
1480521379284 3 3
1480521380867 8 -2
1480521382144 2 -2
1480521383131 6 -3
1480521385818 6 3
1480521386548 7 4
1480521387892 2 2
1480521388940 11 1
1480521389970 2 -2
1480521391611 11 -1
1480521392249 11 1
1480521394162 2 2
1480521394796 8 2
1480521395340 3 -4
1480521396854 2 -2
1480521397751 8 -2
1480521399214 7 -3
1480521401181 6 -3
1480521402699 4 3
1480521403811 8 2
1480521405939 1 2
1480521406748 5 2
1480521407309 10 2
1480521408850 10 -2
1480521409701 5 -2
1480521410690 1 -2
1480521413995 1 2
1480521415730 9 4
1480521416536 10 3
1480521417331 5 3
1480521417976 2 -2
1480521418795 2 2
1480521419268 10 -3
1480521421299 10 3
1480521423728 2 -2
1480521425848 2 2
1480521426464 5 -1
1480521427159 10 -3
1480521428022 5 -2
1480521428708 1 -2
1480521431851 8 -2
1480521432714 7 1
1480521434354 6 1
1480521435900 6 -1
1480521436405 7 -1
1480521437243 8 2
1480521441634 1 2
1480521442372 5 3
1480521444372 10 3
1480521445601 2 -2
1480521446385 0 1
1480521447469 3 1
1480521448318 11 -4
1480521449185 3 -1
1480521449710 6 -1
1480521450549 7 -1
1480521458342 0 -1
1480521460609 4 -1
1480521461208 9 -2
1480521462764 9 2
1480521463215 4 1
1480521465394 0 1
1480521469548 0 -1
1480521470296 2 4
1480521473498 5 -2
1480521474026 10 -2
1480521474988 4 -3
1480521475940 4 3
1480521480388 10 2
1480521482673 10 -2
1480521484248 0 1
1480521486105 11 1
1480521488393 5 2
1480521489897 3 1
1480521490974 11 1
1480521491521 5 -3
1480521492138 10 -1
1480521492885 1 -2
1480521493882 0 4
