1481565850595 R
1481565863485 0 1
1481565874534 9 -2
1481565879602 5 -1
1481565884351 3 -1
1481565887500 4 -1
1481565894677 3 1
1481565899221 R
1481565904632 9 -2
1481565911019 0 1
1481565912783 11 3
1481565915584 5 -2
1481565924915 11 -2
1481565925948 3 -1
1481565937874 2 -1
1481565940068 R
1481565952423 5 -1
1481565962603 3 -1
1481565976682 0 1
1481565977609 9 -2
1481565979412 2 -1
1481565982707 11 1
1481565985858 5 -1
1481565987194 4 -1
1481565991162 2 1
1481565993121 3 1
1481565995813 11 2
1481565997851 10 -1
1481566003917 1 -2
1481566009913 0 1
1481566011680 11 -1
1481566024052 8 -1
1481566026050 8 1
1481566031717 4 1
1481566034554 0 -1
1481566035618 1 2
1481566040336 5 2
1481566042589 10 1
1481566047229 11 1
1481566050623 5 -2
1481566052038 10 -1
1481566053696 1 -2
1481566054593 0 1
1481566055861 4 -1
1481566060951 4 1
1481566062404 0 -1
1481566063291 1 2
1481566064471 10 1
1481566066216 11 -2
1481566070429 5 2
1481566071978 11 -1
1481566078993 5 -1
1481566083543 4 -1
1481566087142 0 -1
1481566088009 3 -1
1481566090330 2 -2
1481566094873 2 2
1481566100715 3 1
1481566108408 9 2
1481566109393 4 1
1481566110279 5 2
1481566117729 9 -1
1481566118480 5 -2
1481566119298 4 -1
1481566120001 9 -1
1481566121230 3 -1
1481566129577 R
1481566144718 5 1
1481566146064 0 1
1481566149584 11 3
1481566153484 11 -2
1481566155005 3 -1
1481566157618 2 -1
1481566160679 5 -3
1481566167651 5 3
1481566174427 11 -1
1481566175723 0 -1
1481566177439 2 -1
1481566183600 5 -2
1481566184750 9 -2
1481566185833 4 -1
1481566190679 R
1481566199913 0 1
1481566202369 11 3
1481566207848 5 -1
1481566209329 4 -1
1481566211806 9 -2
1481566216846 11 -3
1481566217743 3 -1
1481566222735 9 2
1481566223935 4 1
1481566226031 5 2
1481566230341 2 -1
1481566232728 9 -1
