1481540070023 R
1481540070023 R
1481540070716 R
1481540070716 R
1481540078552 1 -1
1481540078552 1 -1
1481540081217 10 2
1481540081217 10 2
1481540082524 6 -2
1481540082524 6 -2
1481540086095 2 1
1481540086095 2 1
1481540086818 2 -1
1481540086818 2 -1
1481540090761 10 -1
1481540090761 10 -1
1481540093225 10 1
1481540093225 10 1
1481540095940 0 1
1481540095940 0 1
1481540097177 0 -1
1481540097177 0 -1
1481540098313 3 -1
1481540098313 3 -1
1481540099480 7 -2
1481540099480 7 -2
1481540102175 4 -1
1481540102175 4 -1
1481540103914 5 3
1481540103914 5 3
1481540104920 10 1
1481540104920 10 1
1481540106096 1 1
1481540106096 1 1
1481540107122 0 1
1481540107122 0 1
1481540107887 12 2
1481540107887 12 2
1481540108670 12 2
1481540108670 12 2
1481540110390 2 -1
1481540110390 2 -1
1481540112059 3 -1
1481540112059 3 -1
1481540114060 1 -1
1481540114060 1 -1
1481540116734 0 2
1481540116734 0 2
1481540118213 1 1
1481540118213 1 1
1481540119238 12 -3
1481540119238 12 -3
1481540120656 1 -1
1481540120656 1 -1
1481540122084 10 -1
1481540122084 10 -1
1481540122887 10 -1
1481540122887 10 -1
1481540124576 5 -2
1481540124576 5 -2
1481540125451 5 -1
1481540125451 5 -1
1481540126597 4 1
1481540126597 4 1
1481540127734 4 -1
1481540127734 4 -1
1481540130457 5 3
1481540130457 5 3
1481540132227 10 2
1481540132227 10 2
1481540133466 1 1
1481540133466 1 1
1481540134308 12 3
1481540134308 12 3
1481540136068 6 -1
1481540136068 6 -1
1481540137669 1 -1
1481540137669 1 -1
1481540138882 10 -3
1481540138882 10 -3
1481540141577 5 -2
1481540141577 5 -2
1481540142916 5 2
1481540142916 5 2
1481540143688 5 -2
1481540143688 5 -2
1481540144564 1 1
1481540144564 1 1
1481540145487 12 -2
1481540145487 12 -2
1481540146895 5 -1
1481540146895 5 -1
1481540147870 4 1
1481540147870 4 1
1481540150363 1 2
1481540150363 1 2
1481540152193 10 2
1481540152193 10 2
1481540154042 6 1
1481540154042 6 1
1481540154736 12 -1
1481540154736 12 -1
1481540155721 10 -1
1481540155721 10 -1
1481540157862 10 1
1481540157862 10 1
1481540159883 12 1
1481540159883 12 1
1481540160506 12 1
1481540160506 12 1
1481540161480 6 -1
1481540161480 6 -1
1481540162566 10 -2
1481540162566 10 -2
1481540163663 1 -2
1481540163663 1 -2
1481540165160 4 -1
1481540165160 4 -1
1481540166376 4 1
1481540166376 4 1
1481540168196 12 -1
1481540168196 12 -1
1481540170045 4 -1
1481540170045 4 -1
1481540170869 5 3
1481540170869 5 3
1481540172156 5 -3
1481540172156 5 -3
1481540174668 4 1
1481540174668 4 1
1481540177884 1 2
1481540177884 1 2
1481540179051 10 2
1481540179051 10 2
1481540181142 0 -1
1481540181142 0 -1
1481540185253 0 1
1481540185253 0 1
1481540186006 10 -2
1481540186006 10 -2
