1480485719727 R
1480485726517 1 -1
1480485732757 10 2
1480485736468 6 -2
1480485743014 7 -2
1480485748702 3 -1
1480485750950 4 -1
1480485752868 5 3
1480485755732 10 1
1480485762871 10 -2
1480485766020 5 -2
1480485768605 5 -1
1480485769869 4 1
1480485770851 10 1
1480485771675 3 1
1480485773052 6 1
1480485774435 7 2
1480485777654 10 -1
1480485789515 2 1
1480485790819 6 1
1480485792149 10 -1
1480485795316 1 1
1480485798867 1 -1
1480485800038 10 2
1480485801427 2 -1
1480485802485 6 -2
1480485806979 6 1
1480485809163 6 -1
1480485815419 7 -2
1480485819501 3 -1
1480485821236 4 -1
1480485823229 5 3
1480485824546 10 1
1480485835826 10 -2
1480485837196 5 -3
1480485838354 4 1
1480485839308 3 1
1480485840268 10 1
1480485844949 10 -1
1480485846900 7 2
1480485849619 6 2
1480485856177 6 -1
1480485862089 7 -2
1480485866811 R
1480485879369 1 -1
1480485882273 10 2
1480485892321 6 -2
1480485900098 7 -2
1480485911472 10 -1
1480485925735 3 -1
1480485927904 4 -1
1480485935839 5 3
1480485941459 10 2
1480485943863 7 2
1480485945279 2 1
1480485948553 2 -1
1480485951097 7 -2
1480485954039 1 1
1480485957983 7 2
1480485960224 2 1
1480485961905 2 -1
1480485962791 2 1
1480485964575 0 1
1480485965959 1 -1
1480485967240 10 -1
1480485969616 5 -3
1480485971246 4 1
1480485976254 12 1
1480485978032 2 -2
1480485980304 3 -1
1480485981662 0 1
1480485986846 7 -2
1480485988320 0 1
1480485990022 10 -1
1480485996327 4 -1
1480486001054 4 1
1480486006504 4 -1
1480486008597 5 3
1480486010917 10 2
1480486015981 10 -2
1480486019941 5 -3
