1482067815943 R
1482067821892 8 2
1482067822701 7 1
1482067832886 0 1
1482067833836 1 1
1482067834868 9 -1
1482067836597 2 -2
1482067838780 0 1
1482067843660 8 -2
1482067853534 7 -1
1482067854660 6 1
1482067864260 6 -1
1482067866614 0 -1
1482067867540 2 2
1482067868672 9 1
1482067869604 1 -1
1482067870588 0 -1
1482067872959 10 1
1482067875333 6 1
1482067876308 2 1
1482067879244 0 2
1482067884756 0 -2
1482067885575 2 -1
1482067886184 4 -1
1482067887604 6 -2
1482067890885 7 2
1482067891611 8 2
1482067897613 10 2
1482067898606 4 -1
1482067899199 2 -1
1482067900927 12 2
1482067901910 3 -1
1482067902668 5 -2
1482067904916 11 -2
1482067905772 7 1
1482067906755 8 1
1482067911301 9 2
1482067914292 4 -1
1482067920524 0 1
1482067923964 0 -1
1482067925012 4 1
1482067926588 9 -1
1482067930340 7 -1
1482067932325 7 1
1482067936540 9 -1
1482067940439 9 2
1482067943348 4 -1
1482067946532 4 1
1482067950412 4 -1
1482067951830 0 1
1482067952812 1 3
1482067955662 7 -1
1482067957860 11 1
1482067958683 5 1
1482067959428 1 1
1482067968742 8 -1
1482067971452 1 -1
1482067972238 5 -1
1482067973093 11 -1
1482067973772 7 1
1482067974435 8 1
1482067978988 0 -1
1482067980069 4 1
1482067980820 9 -3
1482067983686 2 -1
1482067992396 2 1
1482067993375 2 -1
1482067997710 2 1
1482068002012 8 -1
1482068005107 8 1
1482068021508 9 3
1482068022446 4 -1
1482068025213 0 1
1482068026683 1 -3
1482068027634 0 -1
1482068028531 4 1
1482068030515 9 -2
1482068035253 7 -1
1482068036533 7 1
1482068044141 9 2
1482068045837 4 -1
1482068046741 0 1
1482068048683 1 3
1482068049442 0 -1
1482068050316 4 1
1482068050900 9 -3
1482068052028 2 -1
1482068057163 2 1
1482068058070 9 3
1482068058854 4 -1
1482068060501 8 -1
1482068062182 7 -1
1482068063084 11 2
1482068076339 4 1
1482068076988 9 -3
1482068078790 2 -1
1482068082860 R
1482068089708 6 1
1482068090492 2 1
1482068093428 2 -2
1482068096021 2 2
1482068102644 0 2
1482068107332 0 -2
1482068108414 2 -2
1482068109628 6 -1
1482068110780 6 1
1482068111990 4 -1
1482068114671 4 1
1482068117220 6 -1
1482068145836 R
1482068152340 2 -1
1482068154885 6 1
1482068158900 0 1
1482068159572 1 1
1482068161621 9 -1
1482068162612 2 -1
1482068166351 0 1
1482068167828 6 -1
1482068168811 8 2
1482068170716 7 1
1482068184500 R
1482068198014 6 1
1482068199244 2 1
1482068200636 10 1
1482068202948 7 1
1482068203748 8 1
1482068204500 9 2
1482068206638 10 -1
1482068207983 2 -2
1482068208750 6 -1
1482068209509 8 1
1482068210628 9 -2
1482068211486 7 -1
1482068212460 2 1
1482068216828 0 1
1482068218052 1 1
1482068220884 10 1
1482068221476 9 -1
1482068230613 R
1482068243276 0 1
1482068245245 6 1
1482068246252 2 1
1482068248244 1 1
1482068249044 1 -1
1482068249838 10 1
1482068253256 0 -1
1482068255108 7 1
1482068255907 8 1
1482068257140 9 2
1482068259191 10 -1
1482068260389 2 -2
1482068262182 6 -1
1482068263085 8 1
1482068264404 9 -2
1482068265357 7 -1
1482068268364 4 -1
1482068269086 6 -1
1482068273236 7 2
1482068274053 8 -2
1482068276828 9 1
1482068278096 9 -1
1482068279252 7 -2
1482068281597 6 2
1482068282788 4 1
1482068284901 2 2
1482068288004 0 1
1482068290596 10 1
1482068291692 1 1
1482068292620 10 -1
1482068294997 2 -2
1482068295703 6 -1
