1482696017207 R
1482696019339 8 1
1482696022426 8 -2
1482696027350 8 2
1482696030375 0 1
1482696031252 7 1
1482696031802 8 -3
1482696033750 9 -1
1482696034339 4 -1
1482696037132 5 -1
1482696037751 12 -1
1482696039078 11 -1
1482696039822 3 2
1482696041118 2 1
1482696042831 10 1
1482696043715 7 2
1482696044342 1 -1
1482696044886 0 -1
1482696047159 0 1
1482696047840 7 -1
1482696049322 11 1
1482696051006 4 2
1482696051525 12 1
1482696053201 5 1
1482696054023 9 2
1482696055077 8 3
1482696056233 1 2
1482696057365 7 -2
1482696058490 0 -1
1482696059250 10 -1
1482696060080 2 -2
1482696061546 6 1
1482696062438 6 -1
1482696063647 1 -1
1482696064563 8 -2
1482696065664 8 2
1482696066353 9 -1
1482696067338 4 -1
1482696068152 3 -2
1482696069842 2 1
1482696070703 0 1
1482696071603 7 1
1482696073061 8 -3
1482696074249 9 -1
1482696076025 0 1
1482696078933 0 -1
1482696079693 4 -1
1482696081702 3 2
1482696082338 2 1
1482696083013 4 2
1482696084440 5 -1
1482696085697 12 -1
1482696086582 0 1
1482696093346 10 4
1482696094897 2 -1
1482696095571 6 1
1482696096270 4 -1
1482696096867 6 1
1482696098372 7 3
1482696099264 1 -1
1482696100466 0 -2
1482696101777 2 -2
1482696103716 6 -1
1482696104848 3 -1
1482696105337 4 -1
1482696106167 11 -3
1482696108618 11 3
1482696109595 4 1
1482696110108 3 1
1482696110635 4 1
1482696111333 10 -4
1482696112769 4 -2
1482696114545 11 -3
1482696115367 3 -1
1482696117950 4 1
1482696118625 4 -1
1482696119843 12 3
1482696123247 11 2
1482696123976 2 2
1482696126738 2 -2
1482696127366 11 -2
1482696129019 11 2
1482696131788 2 2
1482696132455 0 1
1482696135535 0 -1
1482696136256 2 -2
1482696136931 10 1
1482696139468 7 -1
1482696140429 6 -1
1482696141461 3 -1
1482696142229 11 -2
1482696143128 4 1
1482696145557 5 3
1482696147364 9 1
1482696148131 8 3
1482696149140 2 -1
1482696150257 0 1
1482696154711 0 -1
1482696155246 2 1
1482696155750 8 -3
1482696156278 9 -1
1482696157946 5 -3
1482696161266 12 -3
1482696164430 3 1
1482696165361 3 1
1482696167308 9 1
1482696167914 4 1
1482696168441 9 1
1482696170388 9 -2
1482696171559 10 3
1482696172413 2 1
1482696173344 2 -1
1482696173894 4 -2
1482696174593 11 3
1482696177589 2 3
1482696178318 0 1
1482696179319 7 -1
1482696185161 2 -1
1482696185960 7 1
1482696186447 0 -1
1482696187038 2 -2
1482696187688 11 -3
1482696188642 2 1
1482696194545 2 -1
1482696195850 4 2
1482696197587 9 2
1482696198339 8 1
1482696201023 8 -1
1482696202373 9 -2
1482696202986 4 -2
1482696205694 3 -2
1482696207253 3 2
1482696207796 4 2
1482696208299 10 -3
1482696208966 4 -2
1482696209549 3 -2
1482696210145 5 3
1482696210742 12 3
1482696211923 11 1
1482696213046 11 -1
1482696213513 4 1
1482696214807 9 1
1482696215536 8 3
1482696216639 2 -1
1482696217368 0 1
1482696223650 7 -1
1482696224248 11 -1
1482696231616 11 1
1482696232044 7 1
1482696235192 0 -1
1482696236131 2 1
1482696237364 8 -3
1482696238179 9 -1
1482696240095 4 -1
1482696240723 11 1
1482696241863 11 -1
1482696249053 11 1
1482696253854 11 -1
1482696254474 4 1
1482696256615 9 1
1482696257577 8 3
1482696258213 2 -1
1482696258733 0 1
1482696260253 0 -1
1482696261990 0 1
1482696263048 0 -1
1482696263634 2 1
1482696265464 8 -2
1482696266124 8 -1
1482696267015 9 -1
1482696267691 9 1
1482696268055 9 -1
1482696268916 5 -3
1482696270072 3 1
1482696270739 12 -3
1482696271321 3 1
1482696271794 4 1
1482696273004 9 2
1482696274386 8 1
1482696275076 8 -1
1482696276650 9 -2
1482696277325 10 3
1482696277985 4 -2
1482696278550 11 3
1482696279443 4 2
1482696280692 2 3
1482696282437 0 2
1482696286751 7 -1
1482696290544 4 -1
1482696291165 4 1
1482696293012 7 1
1482696293530 1 1
1482696294920 7 -2
1482696296014 10 -4
1482696300536 2 -1
1482696302397 4 -1
1482696310551 4 1
1482696311026 2 1
1482696312468 0 -1
1482696317821 10 4
1482696319458 4 -2
1482696320497 2 -1
1482696322731 7 1
1482696323390 7 1
1482696324585 0 -1
1482696325562 2 -1
1482696327035 11 -3
1482696327788 3 -2
1482696332342 11 1
1482696333724 11 1
1482696334445 2 1
1482696335012 0 1
1482696335788 7 -2
1482696341290 7 2
1482696341731 0 -1
1482696342275 2 -1
1482696343422 2 1
1482696344005 0 1
1482696344581 7 -2
1482696345369 3 2
1482696347348 2 1
1482696351360 2 -1
1482696352058 7 2
1482696355154 7 -2
1482696355697 2 1
1482696356347 11 1
1482696357357 4 2
1482696358256 10 -4
1482696360288 0 1
1482696362313 0 -1
1482696364066 5 1
1482696365331 5 -1
1482696366223 4 -2
1482696367023 2 -1
1482696370343 11 -1
1482696371321 3 -2
1482696372771 12 3
1482696374764 5 1
1482696375920 5 -1
1482696377332 12 -2
1482696378528 12 -1
1482696379178 11 1
1482696380357 3 2
1482696381180 6 2
1482696382522 6 -1
1482696383461 6 -1
1482696383980 4 2
1482696384803 0 1
1482696806215 2 1
1482696812243 4 -1
1482696812724 3 -1
1482696813671 12 1
1482696815029 5 1
1482696816853 0 -1
1482696817365 9 1
1482696817947 2 -1
1482696818505 3 -1
1482696820841 3 2
1482696822106 9 -1
1482696822618 4 -1
1482696825939 11 -1
1482696826715 6 2
1482696827770 6 -1
1482696828530 6 -1
1482696829042 2 1
1482696830556 11 1
1482696831448 4 2
1482696832207 10 2
1482696834582 7 2
1482696835521 0 -1
1482696837352 1 -1
1482696838485 5 -1
1482696838849 12 -1
1482696839454 10 2
1482696841859 9 2
1482696842923 8 1
1482696844001 2 -3
1482696845141 9 -1
1482696845956 4 -1
1482696846724 3 -2
1482696848928 2 2
1482696850891 1 1
1482696851549 0 1
1482696852276 7 -3
1482696852861 0 -1
1482696853901 2 -1
1482696854800 3 2
1482696856097 2 2
1482696856863 4 1
1482696857794 10 -4
1482696861860 2 -2
1482696862473 4 -1
1482696867338 5 1
1482696867725 12 1
1482696868423 8 2
1482696870969 8 -2
1482696872505 4 1
1482696872956 9 1
1482696873769 1 1
1482696874925 8 2
1482696876811 1 -1
1482696877525 9 -1
1482696878263 4 -1
1482696878845 3 -2
1482696880373 2 1
1482696882065 8 -2
1482696882694 5 -1
1482696883166 12 -1
